Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Demand and Supply Planning,Historical Demand Analysis,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Historical Demand Analysis,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Historical Demand Analysis,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Historical Demand Analysis,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Historical Demand Analysis,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Historical Demand Analysis,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Historical Demand Analysis,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Historical Demand Analysis,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Historical Demand Analysis,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Historical Demand Analysis,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Seasonal Trends,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Seasonal Trends,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Seasonal Trends,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Seasonal Trends,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Seasonal Trends,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Seasonal Trends,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Seasonal Trends,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Seasonal Trends,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Seasonal Trends,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Seasonal Trends,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Demand Variability,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Demand Variability,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Demand Variability,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Demand Variability,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Demand Variability,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Demand Variability,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Demand Variability,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Demand Variability,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Demand Variability,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Demand Variability,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Customer Segmentation Demand,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Customer Segmentation Demand,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Customer Segmentation Demand,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Customer Segmentation Demand,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Customer Segmentation Demand,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Customer Segmentation Demand,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Customer Segmentation Demand,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Customer Segmentation Demand,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Customer Segmentation Demand,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Customer Segmentation Demand,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Forecast Accuracy,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Forecast Accuracy,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Forecast Accuracy,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Forecast Accuracy,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Forecast Accuracy,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Forecast Accuracy,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Forecast Accuracy,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,Forecast Accuracy,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,Forecast Accuracy,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,Forecast Accuracy,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,Demand by Region,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,Demand by Region,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,Demand by Region,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,Demand by Region,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,Demand by Region,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,Demand by Region,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,Demand by Region,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
