Process,Topic,SAP Table,Business Table
Demand and Supply Planning,Historical Demand Analysis,MDKP,Demand Planning
Demand and Supply Planning,Historical Demand Analysis,MDTB,Demand Planning
Demand and Supply Planning,Historical Demand Analysis,PBIM,Demand Planning
Demand and Supply Planning,Historical Demand Analysis,PBED,Demand Planning
Demand and Supply Planning,Historical Demand Analysis,PLAF,Demand Planning
Demand and Supply Planning,Historical Demand Analysis,EBAN,Purchase Requisition
Demand and Supply Planning,Historical Demand Analysis,RESB,Production Order
Demand and Supply Planning,Historical Demand Analysis,MARA,Material Master
Demand and Supply Planning,Historical Demand Analysis,MARC,Material Master
Demand and Supply Planning,Historical Demand Analysis,MARD,Material Master
Demand and Supply Planning,Seasonal Trends,MDKP,Demand Planning
Demand and Supply Planning,Seasonal Trends,MDTB,Demand Planning
Demand and Supply Planning,Seasonal Trends,PBIM,Demand Planning
Demand and Supply Planning,Seasonal Trends,PBED,Demand Planning
Demand and Supply Planning,Seasonal Trends,PLAF,Demand Planning
Demand and Supply Planning,Seasonal Trends,EBAN,Purchase Requisition
Demand and Supply Planning,Seasonal Trends,RESB,Production Order
Demand and Supply Planning,Seasonal Trends,MARA,Material Master
Demand and Supply Planning,Seasonal Trends,MARC,Material Master
Demand and Supply Planning,Seasonal Trends,MARD,Material Master
Demand and Supply Planning,Demand Variability,MDKP,Demand Planning
Demand and Supply Planning,Demand Variability,MDTB,Demand Planning
Demand and Supply Planning,Demand Variability,PBIM,Demand Planning
Demand and Supply Planning,Demand Variability,PBED,Demand Planning
Demand and Supply Planning,Demand Variability,PLAF,Demand Planning
Demand and Supply Planning,Demand Variability,EBAN,Purchase Requisition
Demand and Supply Planning,Demand Variability,RESB,Production Order
Demand and Supply Planning,Demand Variability,MARA,Material Master
Demand and Supply Planning,Demand Variability,MARC,Material Master
Demand and Supply Planning,Demand Variability,MARD,Material Master
Demand and Supply Planning,Customer Segmentation Demand,MDKP,Demand Planning
Demand and Supply Planning,Customer Segmentation Demand,MDTB,Demand Planning
Demand and Supply Planning,Customer Segmentation Demand,PBIM,Demand Planning
Demand and Supply Planning,Customer Segmentation Demand,PBED,Demand Planning
Demand and Supply Planning,Customer Segmentation Demand,PLAF,Demand Planning
Demand and Supply Planning,Customer Segmentation Demand,EBAN,Purchase Requisition
Demand and Supply Planning,Customer Segmentation Demand,RESB,Production Order
Demand and Supply Planning,Customer Segmentation Demand,MARA,Material Master
Demand and Supply Planning,Customer Segmentation Demand,MARC,Material Master
Demand and Supply Planning,Customer Segmentation Demand,MARD,Material Master
Demand and Supply Planning,Forecast Accuracy,MDKP,Demand Planning
Demand and Supply Planning,Forecast Accuracy,MDTB,Demand Planning
Demand and Supply Planning,Forecast Accuracy,PBIM,Demand Planning
Demand and Supply Planning,Forecast Accuracy,PBED,Demand Planning
Demand and Supply Planning,Forecast Accuracy,PLAF,Demand Planning
Demand and Supply Planning,Forecast Accuracy,EBAN,Purchase Requisition
Demand and Supply Planning,Forecast Accuracy,RESB,Production Order
Demand and Supply Planning,Forecast Accuracy,MARA,Material Master
Demand and Supply Planning,Forecast Accuracy,MARC,Material Master
Demand and Supply Planning,Forecast Accuracy,MARD,Material Master
Demand and Supply Planning,Demand by Region,MDKP,Demand Planning
Demand and Supply Planning,Demand by Region,MDTB,Demand Planning
Demand and Supply Planning,Demand by Region,PBIM,Demand Planning
Demand and Supply Planning,Demand by Region,PBED,Demand Planning
Demand and Supply Planning,Demand by Region,PLAF,Demand Planning
Demand and Supply Planning,Demand by Region,EBAN,Purchase Requisition
Demand and Supply Planning,Demand by Region,RESB,Production Order
Demand and Supply Planning,Demand by Region,MARA,Material Master
Demand and Supply Planning,Demand by Region,MARC,Material Master
Demand and Supply Planning,Demand by Region,MARD,Material Master
Demand and Supply Planning,External Source Integration,MDKP,Demand Planning
Demand and Supply Planning,External Source Integration,MDTB,Demand Planning
Demand and Supply Planning,External Source Integration,PBIM,Demand Planning
Demand and Supply Planning,External Source Integration,PBED,Demand Planning
Demand and Supply Planning,External Source Integration,PLAF,Demand Planning
Demand and Supply Planning,External Source Integration,EBAN,Purchase Requisition
Demand and Supply Planning,External Source Integration,RESB,Production Order
Demand and Supply Planning,External Source Integration,MARA,Material Master
Demand and Supply Planning,External Source Integration,MARC,Material Master
Demand and Supply Planning,External Source Integration,MARD,Material Master
Demand and Supply Planning,Lost Sales Tracking,MDKP,Demand Planning
Demand and Supply Planning,Lost Sales Tracking,MDTB,Demand Planning
Demand and Supply Planning,Lost Sales Tracking,PBIM,Demand Planning
Demand and Supply Planning,Lost Sales Tracking,PBED,Demand Planning
