Hieronder een lijst van processen en informatie topics waar we over willen kunnen rapporteren. 
1. Maak een uitgebreide lijst van SAP tabellen (inclusief omschrijvingen) die nodig zijn voor deze processen / topics.
2. Schrijf dit weg in  bestand proces-topic-saptable.csv in folder biscuit met 1 regel per proces / topic / sap tabelnaam
3. Bouw een business datamodel op obv de tabellen in dit bestand. Gebruik functionele SAP benamingen. Iedere SAP tabel kan maar in 1 business benaming terugkomen. Voeg de SAP tabellen met dezelfde key samen in 1 business tabel (kies taal Engels uit de Text tables)
3. Controleer dat er minder SAP tabellen zijn dan business tabellen.
4. Schrijf dit weg in  bestand proces-topic-saptable-business.csv in folder biscuit met 1 regel per proces / topic / sap tabelnaam / business tabelnaam
4. Genereer facts en dimensies obv de business tabellen. Fact tables bevatten meetwaarden zoals omzet. Dimensies bevatten beschrijvende waarden. Voeg dimensietabellen samen die hierarchisch met elkaar gekoppeld zijn. Fact tabellen beginnen met Fct en dimensies met Dim
5. Genereer een functionele beschrijving voor iedere fact/dim tabel en vermeld bij de facts welke meetwaarden er zijn.
6. Schrijf dit weg in  bestand proces-topic-saptable-business-factdim.csv in folder biscuit met 1 regel per proces / topic / sap tabelnaam / business tabelnaam / fact/dim tabelnaam / functionele beschrijving / lijst van meetwaarden


Proces	Topic
Demand and Supply Planning	Historical Demand Analysis
Demand and Supply Planning	Seasonal Trends
Demand and Supply Planning	Demand Variability
Demand and Supply Planning	Customer Segmentation Demand
Demand and Supply Planning	Forecast Accuracy
Demand and Supply Planning	Demand by Region
Demand and Supply Planning	External Source Integration
Demand and Supply Planning	Lost Sales Tracking
Demand and Supply Planning	Lead Time Analysis
Demand and Supply Planning	Scenario forecasting
Demand and Supply Planning	Inventory Accuracy
Demand and Supply Planning	Overstock Inventory
Demand and Supply Planning	Backorder Rates
Demand and Supply Planning	Storage Cost per Item
Demand and Supply Planning	Obsolete & Block Stock
Demand and Supply Planning	Stock Levels and Turnover Rate
Demand and Supply Planning	Aging Inventory
Demand and Supply Planning	Days Sales of Inventory (DSI)
Demand and Supply Planning	Stockout Frequency
Demand and Supply Planning	Reorder Point Alerts
Demand and Supply Planning	New Product Demand & Planning
Demand and Supply Planning	New product development tracking
Procurement and Supplier Management	Supplier Lead Times
Procurement and Supplier Management	Order Fulfillment Rate
Procurement and Supplier Management	Cost per Supplier
Procurement and Supplier Management	Quality Compliance
Procurement and Supplier Management	Delivery Timeliness
Procurement and Supplier Management	Supplier Performance & Scorecard
Procurement and Supplier Management	Volume Discounts
Procurement and Supplier Management	Contract Compliance
