MANDT,AUFNR,DESSION,STLNR,GAMNG,GMEIN,GLTRS,GLTRP
100,1000000,27462878,BOM000149,7338,ST,20251210,20251211
100,1000001,77620253,BOM000084,4427,ST,20240301,20240305
100,1000002,47053090,BOM000029,7829,ST,20230105,20230109
100,1000003,53765213,BOM000034,9294,ST,20221005,20221008
100,1000004,45650267,BOM000088,8136,ST,20240317,20240322
100,1000005,75482642,BOM000158,4914,ST,20230420,20230423
100,1000006,00218431,BOM000095,670,ST,20220314,20220319
100,1000007,32622014,BOM000146,1023,ST,20250709,20250712
100,1000008,06344350,BOM000034,6267,ST,20250906,20250911
100,1000009,99452838,BOM000099,6284,ST,20221103,20221107
100,1000010,54422233,BOM000030,3635,ST,20250618,20250623
100,1000011,28753054,BOM000130,7027,ST,20220420,20220422
100,1000012,89806028,BOM000052,7191,ST,20221224,20221226
100,1000013,10090242,BOM000147,113,ST,20220726,20220730
100,1000014,39444961,BOM000110,9249,ST,20241029,20241030
100,1000015,67644190,BOM000028,1126,ST,20220803,20220808
100,1000016,92102848,BOM000064,7231,ST,20220423,20220427
100,1000017,90826300,BOM000091,7640,ST,20250530,20250602
100,1000018,83887234,BOM000125,4407,ST,20221111,20221113
100,1000019,25989908,BOM000084,4843,ST,20220717,20220721
100,1000020,74635183,BOM000032,5558,ST,20250113,20250117
100,1000021,75041229,BOM000088,4811,ST,20230805,20230806
100,1000022,73412235,BOM000141,9735,ST,20221101,20221105
100,1000023,33536264,BOM000158,5554,ST,20220825,20220826
100,1000024,31955118,BOM000135,7750,ST,20250428,20250430
100,1000025,29474140,BOM000105,5431,ST,20241222,20241226
100,1000026,13198656,BOM000150,7237,ST,20230315,20230320
100,1000027,17080026,BOM000088,218,ST,20240728,20240731
100,1000028,70898929,BOM000090,3785,ST,20250801,20250803
100,1000029,80309102,BOM000049,8953,ST,20251219,20251220
100,1000030,85926289,BOM000152,1349,ST,20251115,20251119
100,1000031,41649874,BOM000008,2619,ST,20231227,20231231
100,1000032,96569902,BOM000156,2684,ST,20240918,20240922
100,1000033,33922319,BOM000010,3224,ST,20230506,20230508
100,1000034,19602515,BOM000144,4273,ST,20250101,20250104
100,1000035,49045258,BOM000033,9425,ST,20240229,20240301
100,1000036,89715024,BOM000103,9947,ST,20251221,20251225
100,1000037,38078143,BOM000076,9466,ST,20230812,20230817
100,1000038,25231108,BOM000015,2217,ST,20231010,20231011
100,1000039,00948481,BOM000079,9774,ST,20240314,20240318
