MANDT,AUFNR,POSNR,MATNR,PSMNG,MEINS,WERKS
100,1000000,0001,MAT000431,7338,ST,1200
100,1000001,0001,MAT000235,4427,ST,1000
100,1000002,0001,MAT000082,7829,ST,1200
100,1000003,0001,MAT000100,9294,ST,1100
100,1000004,0001,MAT000249,8136,ST,1100
100,1000005,0001,MAT000483,4914,ST,1100
100,1000006,0001,MAT000266,670,ST,1000
100,1000007,0001,MAT000426,1023,ST,1100
100,1000008,0001,MAT000100,6267,ST,1100
100,1000009,0001,MAT000280,6284,ST,1200
100,1000010,0001,MAT000083,3635,ST,1000
100,1000011,0001,MAT000375,7027,ST,1000
100,1000012,0001,MAT000159,7191,ST,1100
100,1000013,0001,MAT000427,113,ST,1000
100,1000014,0001,MAT000311,9249,ST,1100
100,1000015,0001,MAT000080,1126,ST,1000
100,1000016,0001,MAT000183,7231,ST,1200
100,1000017,0001,MAT000258,7640,ST,1000
100,1000018,0001,MAT000358,4407,ST,1000
100,1000019,0001,MAT000235,4843,ST,1200
100,1000020,0001,MAT000093,5558,ST,1100
100,1000021,0001,MAT000249,4811,ST,1200
100,1000022,0001,MAT000416,9735,ST,1100
100,1000023,0001,MAT000483,5554,ST,1200
100,1000024,0001,MAT000403,7750,ST,1100
100,1000025,0001,MAT000294,5431,ST,1100
100,1000026,0001,MAT000433,7237,ST,1000
100,1000027,0001,MAT000249,218,ST,1200
100,1000028,0001,MAT000255,3785,ST,1200
100,1000029,0001,MAT000152,8953,ST,1000
100,1000030,0001,MAT000451,1349,ST,1100
100,1000031,0001,MAT000008,2619,ST,1000
100,1000032,0001,MAT000471,2684,ST,1100
100,1000033,0001,MAT000010,3224,ST,1100
100,1000034,0001,MAT000421,4273,ST,1100
100,1000035,0001,MAT000095,9425,ST,1200
100,1000036,0001,MAT000290,9947,ST,1100
100,1000037,0001,MAT000211,9466,ST,1100
100,1000038,0001,MAT000015,2217,ST,1000
100,1000039,0001,MAT000219,9774,ST,1000
100,1000040,0001,MAT000183,4834,ST,1200
100,1000041,0001,MAT000077,4651,ST,1100
100,1000042,0001,MAT000211,1763,ST,1100
100,1000043,0001,MAT000239,5132,ST,1100
100,1000044,0001,MAT000427,6756,ST,1100
100,1000045,0001,MAT000281,3386,ST,1200
100,1000046,0001,MAT000371,942,ST,1000
100,1000047,0001,MAT000144,5529,ST,1100
100,1000048,0001,MAT000176,7645,ST,1000
100,1000049,0001,MAT000421,653,ST,1100
100,1000050,0001,MAT000413,7967,ST,1200
100,1000051,0001,MAT000263,5075,ST,1000
100,1000052,0001,MAT000083,8560,ST,1100
100,1000053,0001,MAT000235,9796,ST,1000
100,1000054,0001,MAT000174,1947,ST,1100
100,1000055,0001,MAT000416,1526,ST,1100
100,1000056,0001,MAT000312,118,ST,1200
100,1000057,0001,MAT000242,7452,ST,1100
100,1000058,0001,MAT000176,1269,ST,1100
100,1000059,0001,MAT000262,6948,ST,1000
100,1000060,0001,MAT000383,1841,ST,1000
100,1000061,0001,MAT000414,6628,ST,1200
100,1000062,0001,MAT000066,127,ST,1200
100,1000063,0001,MAT000206,5709,ST,1000
100,1000064,0001,MAT000282,1477,ST,1000
100,1000065,0001,MAT000471,6175,ST,1200
100,1000066,0001,MAT000312,2522,ST,1100
100,1000067,0001,MAT000422,5802,ST,1200
100,1000068,0001,MAT000192,7413,ST,1100
100,1000069,0001,MAT000404,9087,ST,1100
100,1000070,0001,MAT000352,9540,ST,1000
100,1000071,0001,MAT000109,778,ST,1200
100,1000072,0001,MAT000266,3898,ST,1200
100,1000073,0001,MAT000274,2013,ST,1000
100,1000074,0001,MAT000474,9635,ST,1200
100,1000075,0001,MAT000274,2505,ST,1200
100,1000076,0001,MAT000077,6959,ST,1200
100,1000077,0001,MAT000002,5707,ST,1200
100,1000078,0001,MAT000453,7718,ST,1200
100,1000079,0001,MAT000197,8280,ST,1100
100,1000080,0001,MAT000355,2447,ST,1000
100,1000081,0001,MAT000086,5072,ST,1100
100,1000082,0001,MAT000205,8650,ST,1200
100,1000083,0001,MAT000197,7154,ST,1100
100,1000084,0001,MAT000414,757,ST,1100
100,1000085,0001,MAT000347,8065,ST,1000
100,1000086,0001,MAT000352,1588,ST,1100
100,1000087,0001,MAT000201,8469,ST,1100
100,1000088,0001,MAT000357,1085,ST,1200
100,1000089,0001,MAT000011,3812,ST,1200
100,1000090,0001,MAT000017,2849,ST,1000
100,1000091,0001,MAT000426,4375,ST,1200
100,1000092,0001,MAT000304,9921,ST,1100
100,1000093,0001,MAT000166,4306,ST,1000
100,1000094,0001,MAT000086,5080,ST,1200
100,1000095,0001,MAT000071,1235,ST,1200
