MANDT,AUFPL,APLZL,VORNR,ARBID,WERKS
100,0000000001,00000001,0010,00000001,0001
100,0000000001,00000002,0020,00000002,0001
100,0000000001,00000003,0030,00000003,0001
100,0000000002,00000001,0010,00000001,0002
100,0000000002,00000002,0020,00000002,0002
100,0000000002,00000003,0030,00000003,0002
100,0000000003,00000001,0010,00000001,0003
100,0000000003,00000002,0020,00000002,0003
100,0000000003,00000003,0030,00000003,0003
100,0000000004,00000001,0010,00000001,0004
100,0000000004,00000002,0020,00000002,0004
100,0000000004,00000003,0030,00000003,0004
100,0000000005,00000001,0010,00000001,0005
100,0000000005,00000002,0020,00000002,0005
100,0000000006,00000001,0010,00000001,0006
100,0000000006,00000002,0020,00000002,0006
100,0000000006,00000003,0030,00000003,0006
100,0000000007,00000001,0010,00000001,0007
100,0000000007,00000002,0020,00000002,0007
100,0000000007,00000003,0030,00000003,0007
100,0000000007,00000004,0040,00000004,0007
100,0000000008,00000001,0010,00000001,0008
100,0000000008,00000002,0020,00000002,0008
100,0000000008,00000003,0030,00000003,0008
100,0000000009,00000001,0010,00000001,0009
100,0000000009,00000002,0020,00000002,0009
100,0000000009,00000003,0030,00000003,0009
100,0000000010,00000001,0010,00000001,0010
100,0000000010,00000002,0020,00000002,0010
100,0000000011,00000001,0010,00000001,0001
100,0000000011,00000002,0020,00000002,0001
100,0000000012,00000001,0010,00000001,0002
100,0000000012,00000002,0020,00000002,0002
100,0000000013,00000001,0010,00000001,0003
100,0000000013,00000002,0020,00000002,0003
100,0000000013,00000003,0030,00000003,0003
100,0000000013,00000004,0040,00000004,0003
100,0000000014,00000001,0010,00000001,0004
100,0000000014,00000002,0020,00000002,0004
100,0000000014,00000003,0030,00000003,0004
100,0000000015,00000001,0010,00000001,0005
100,0000000015,00000002,0020,00000002,0005
100,0000000015,00000003,0030,00000003,0005
100,0000000016,00000001,0010,00000001,0006
100,0000000016,00000002,0020,00000002,0006
100,0000000017,00000001,0010,00000001,0007
100,0000000017,00000002,0020,00000002,0007
100,0000000017,00000003,0030,00000003,0007
100,0000000017,00000004,0040,00000004,0007
100,0000000018,00000001,0010,00000001,0008
100,0000000018,00000002,0020,00000002,0008
100,0000000018,00000003,0030,00000003,0008
100,0000000019,00000001,0010,00000001,0009
100,0000000019,00000002,0020,00000002,0009
100,0000000019,00000003,0030,00000003,0009
100,0000000019,00000004,0040,00000004,0009
100,0000000020,00000001,0010,00000001,0010
100,0000000020,00000002,0020,00000002,0010
