MANDT,AUFPL,APLZL,MGVRG,MEINH,DAESSION
100,0000000001,00000001,98.49,EA,48
100,0000000001,00000002,5.527,EA,55
100,0000000001,00000003,95.149,EA,42
100,0000000002,00000001,14.005,EA,25
100,0000000002,00000002,93.628,EA,24
100,0000000002,00000003,75.606,EA,27
100,0000000003,00000001,14.946,EA,8
100,0000000003,00000002,95.036,EA,37
100,0000000003,00000003,82.757,EA,14
100,0000000004,00000001,86.889,EA,42
100,0000000004,00000002,96.346,EA,13
100,0000000004,00000003,15.729,EA,23
100,0000000005,00000001,35.904,EA,44
100,0000000005,00000002,89.967,EA,45
100,0000000006,00000001,30.461,EA,31
100,0000000006,00000002,42.599,EA,36
100,0000000006,00000003,35.579,EA,15
100,0000000007,00000001,87.354,EA,40
100,0000000007,00000002,99.684,EA,41
100,0000000007,00000003,9.635,EA,60
100,0000000007,00000004,27.613,EA,30
100,0000000008,00000001,96.71,EA,1
100,0000000008,00000002,75.467,EA,8
100,0000000008,00000003,57.485,EA,33
100,0000000009,00000001,50.419,EA,23
100,0000000009,00000002,1.646,EA,10
100,0000000009,00000003,70.893,EA,18
100,0000000010,00000001,8.416,EA,48
100,0000000010,00000002,61.58,EA,38
100,0000000011,00000001,1.166,EA,8
100,0000000011,00000002,18.469,EA,60
100,0000000012,00000001,18.053,EA,12
100,0000000012,00000002,13.351,EA,57
100,0000000013,00000001,80.826,EA,50
100,0000000013,00000002,42.416,EA,17
100,0000000013,00000003,90.058,EA,21
100,0000000013,00000004,74.117,EA,7
100,0000000014,00000001,76.597,EA,54
100,0000000014,00000002,46.5,EA,60
100,0000000014,00000003,45.717,EA,56
100,0000000015,00000001,6.599,EA,40
100,0000000015,00000002,47.124,EA,13
100,0000000015,00000003,13.031,EA,9
100,0000000016,00000001,61.225,EA,44
100,0000000016,00000002,46.152,EA,43
100,0000000017,00000001,22.748,EA,45
100,0000000017,00000002,74.472,EA,34
100,0000000017,00000003,45.924,EA,49
100,0000000017,00000004,21.593,EA,29
100,0000000018,00000001,57.229,EA,19
100,0000000018,00000002,16.525,EA,9
100,0000000018,00000003,73.857,EA,49
100,0000000019,00000001,70.443,EA,52
100,0000000019,00000002,3.394,EA,50
100,0000000019,00000003,45.307,EA,4
100,0000000019,00000004,8.771,EA,52
100,0000000020,00000001,43.287,EA,22
100,0000000020,00000002,30.214,EA,36
100,0000000020,00000003,56.235,EA,28
100,0000000021,00000001,7.872,EA,32
100,0000000021,00000002,28.118,EA,35
100,0000000021,00000003,9.789,EA,29
100,0000000022,00000001,91.98,EA,31
100,0000000022,00000002,55.016,EA,4
100,0000000023,00000001,90.56,EA,30
100,0000000023,00000002,29.109,EA,52
100,0000000023,00000003,70.07,EA,54
100,0000000023,00000004,35.35,EA,13
100,0000000024,00000001,45.254,EA,32
100,0000000024,00000002,10.716,EA,14
100,0000000024,00000003,97.137,EA,6
100,0000000024,00000004,4.181,EA,25
100,0000000025,00000001,84.949,EA,43
100,0000000025,00000002,87.557,EA,28
100,0000000025,00000003,38.093,EA,19
100,0000000025,00000004,13.971,EA,31
100,0000000026,00000001,87.087,EA,59
100,0000000026,00000002,99.934,EA,60
100,0000000026,00000003,43.907,EA,57
100,0000000026,00000004,93.05,EA,20
100,0000000027,00000001,63.274,EA,56
100,0000000027,00000002,74.882,EA,4
100,0000000028,00000001,65.203,EA,58
100,0000000028,00000002,70.174,EA,53
100,0000000028,00000003,54.156,EA,54
100,0000000029,00000001,33.13,EA,34
100,0000000029,00000002,36.356,EA,49
100,0000000030,00000001,39.037,EA,49
100,0000000030,00000002,22.052,EA,4
100,0000000031,00000001,75.023,EA,6
100,0000000031,00000002,74.949,EA,34
100,0000000031,00000003,64.711,EA,58
100,0000000032,00000001,23.606,EA,47
100,0000000032,00000002,92.248,EA,40
100,0000000033,00000001,27.441,EA,13
100,0000000033,00000002,27.357,EA,35
100,0000000033,00000003,66.364,EA,5
