MANDT,AGR_NAME,SPRAS,LINE,TEXT
100,Z_ROLE_001,E,000,Role 001 description
100,Z_ROLE_002,E,000,Role 002 description
100,Z_ROLE_003,E,000,Role 003 description
100,Z_ROLE_004,E,000,Role 004 description
100,Z_ROLE_005,E,000,Role 005 description
100,Z_ROLE_006,E,000,Role 006 description
100,Z_ROLE_007,E,000,Role 007 description
100,Z_ROLE_008,E,000,Role 008 description
100,Z_ROLE_009,E,000,Role 009 description
100,Z_ROLE_010,E,000,Role 010 description
100,Z_ROLE_011,E,000,Role 011 description
100,Z_ROLE_012,E,000,Role 012 description
100,Z_ROLE_013,E,000,Role 013 description
100,Z_ROLE_014,E,000,Role 014 description
100,Z_ROLE_015,E,000,Role 015 description
100,Z_ROLE_016,E,000,Role 016 description
100,Z_ROLE_017,E,000,Role 017 description
100,Z_ROLE_018,E,000,Role 018 description
100,Z_ROLE_019,E,000,Role 019 description
100,Z_ROLE_020,E,000,Role 020 description
