MANDT,AGR_NAME,UNAME,FROM_DAT,TO_DAT
100,Z_ROLE_001,USER000,20200101,99991231
100,Z_ROLE_001,USER001,20200101,99991231
100,Z_ROLE_001,USER002,20200101,99991231
100,Z_ROLE_001,USER003,20200101,99991231
100,Z_ROLE_001,USER004,20200101,99991231
100,Z_ROLE_001,USER005,20200101,99991231
100,Z_ROLE_001,USER006,20200101,99991231
100,Z_ROLE_001,USER007,20200101,99991231
100,Z_ROLE_001,USER008,20200101,99991231
100,Z_ROLE_001,USER009,20200101,99991231
100,Z_ROLE_001,USER010,20200101,99991231
100,Z_ROLE_001,USER011,20200101,99991231
100,Z_ROLE_001,USER012,20200101,99991231
100,Z_ROLE_001,USER013,20200101,99991231
100,Z_ROLE_001,USER014,20200101,99991231
100,Z_ROLE_001,USER015,20200101,99991231
100,Z_ROLE_002,USER000,20200101,99991231
100,Z_ROLE_002,USER001,20200101,99991231
100,Z_ROLE_002,USER002,20200101,99991231
100,Z_ROLE_002,USER003,20200101,99991231
100,Z_ROLE_002,USER004,20200101,99991231
100,Z_ROLE_002,USER005,20200101,99991231
100,Z_ROLE_002,USER006,20200101,99991231
100,Z_ROLE_002,USER007,20200101,99991231
100,Z_ROLE_003,USER000,20200101,99991231
100,Z_ROLE_003,USER001,20200101,99991231
100,Z_ROLE_003,USER002,20200101,99991231
100,Z_ROLE_003,USER003,20200101,99991231
100,Z_ROLE_003,USER004,20200101,99991231
100,Z_ROLE_003,USER005,20200101,99991231
100,Z_ROLE_003,USER006,20200101,99991231
100,Z_ROLE_003,USER007,20200101,99991231
100,Z_ROLE_003,USER008,20200101,99991231
100,Z_ROLE_003,USER009,20200101,99991231
100,Z_ROLE_003,USER010,20200101,99991231
100,Z_ROLE_003,USER011,20200101,99991231
100,Z_ROLE_003,USER012,20200101,99991231
100,Z_ROLE_003,USER013,20200101,99991231
100,Z_ROLE_003,USER014,20200101,99991231
100,Z_ROLE_003,USER015,20200101,99991231
100,Z_ROLE_003,USER016,20200101,99991231
100,Z_ROLE_004,USER000,20200101,99991231
100,Z_ROLE_004,USER001,20200101,99991231
100,Z_ROLE_004,USER002,20200101,99991231
100,Z_ROLE_004,USER003,20200101,99991231
100,Z_ROLE_004,USER004,20200101,99991231
100,Z_ROLE_004,USER005,20200101,99991231
100,Z_ROLE_004,USER006,20200101,99991231
100,Z_ROLE_004,USER007,20200101,99991231
100,Z_ROLE_004,USER008,20200101,99991231
100,Z_ROLE_004,USER009,20200101,99991231
100,Z_ROLE_004,USER010,20200101,99991231
100,Z_ROLE_004,USER011,20200101,99991231
100,Z_ROLE_004,USER012,20200101,99991231
100,Z_ROLE_004,USER013,20200101,99991231
100,Z_ROLE_004,USER014,20200101,99991231
100,Z_ROLE_004,USER015,20200101,99991231
100,Z_ROLE_004,USER016,20200101,99991231
100,Z_ROLE_005,USER000,20200101,99991231
100,Z_ROLE_005,USER001,20200101,99991231
100,Z_ROLE_005,USER002,20200101,99991231
100,Z_ROLE_005,USER003,20200101,99991231
100,Z_ROLE_005,USER004,20200101,99991231
100,Z_ROLE_005,USER005,20200101,99991231
100,Z_ROLE_005,USER006,20200101,99991231
100,Z_ROLE_005,USER007,20200101,99991231
100,Z_ROLE_006,USER000,20200101,99991231
100,Z_ROLE_006,USER001,20200101,99991231
100,Z_ROLE_006,USER002,20200101,99991231
100,Z_ROLE_006,USER003,20200101,99991231
