MANDT,BUKRS,ANLN1,ANLN2,GJAHR,LNRAN,AFABE,BWASL,ANBTR,WAERS
100,1000,000000000001,0000,2023,001,01,100,33989.07,EUR
100,2000,000000000002,0000,2024,002,01,100,9910.29,EUR
100,1000,000000000003,0000,2023,003,01,100,71123.14,EUR
100,2000,000000000004,0000,2024,004,01,100,31154.23,EUR
100,1000,000000000005,0000,2023,005,01,100,6376.86,EUR
100,2000,000000000006,0000,2024,006,01,100,50572.35,EUR
100,1000,000000000007,0000,2023,007,01,100,61314.86,EUR
100,2000,000000000008,0000,2024,008,01,100,10142.51,EUR
100,1000,000000000009,0000,2023,009,01,100,32962.91,EUR
100,2000,000000000010,0000,2024,010,01,100,70151.44,EUR
100,1000,000000000011,0000,2023,011,01,100,41210.79,EUR
100,2000,000000000012,0000,2024,012,01,100,98973.29,EUR
100,1000,000000000013,0000,2023,013,01,100,24494.36,EUR
100,2000,000000000014,0000,2024,014,01,100,59602.78,EUR
100,1000,000000000015,0000,2023,015,01,100,63245.21,EUR
100,2000,000000000016,0000,2024,016,01,100,64201.74,EUR
100,1000,000000000017,0000,2023,017,01,100,94634.79,EUR
100,2000,000000000018,0000,2024,018,01,100,82007.13,EUR
100,1000,000000000019,0000,2023,019,01,100,69652.82,EUR
100,2000,000000000020,0000,2024,020,01,100,91556.43,EUR
100,1000,000000000021,0000,2023,021,01,100,86457.58,EUR
100,2000,000000000022,0000,2024,022,01,100,71102.39,EUR
100,1000,000000000023,0000,2023,023,01,100,18550.57,EUR
100,2000,000000000024,0000,2024,024,01,100,15197.62,EUR
100,1000,000000000025,0000,2023,025,01,100,30403.59,EUR
100,2000,000000000026,0000,2024,026,01,100,30272.62,EUR
100,1000,000000000027,0000,2023,027,01,100,34361.08,EUR
100,2000,000000000028,0000,2024,028,01,100,74155.99,EUR
100,1000,000000000029,0000,2023,029,01,100,61003.24,EUR
100,2000,000000000030,0000,2024,030,01,100,15993.0,EUR
100,1000,000000000031,0000,2023,031,01,100,61049.85,EUR
100,2000,000000000032,0000,2024,032,01,100,25302.89,EUR
100,1000,000000000033,0000,2023,033,01,100,59207.15,EUR
100,2000,000000000034,0000,2024,034,01,100,59772.29,EUR
100,1000,000000000035,0000,2023,035,01,100,62624.98,EUR
100,2000,000000000036,0000,2024,036,01,100,74484.34,EUR
