MANDT,AUFNR,AUTYP,BUKRS,WERKS,KOSTL,ERDAT,ERNAM
100,1000000,10,1000,1200,1000,20251208,SYSTEM
100,1000001,10,1000,1000,1300,20240227,SYSTEM
100,1000002,10,1000,1200,1100,20230104,SYSTEM
100,1000003,10,1000,1100,1300,20221002,SYSTEM
100,1000004,10,1000,1100,1400,20240314,SYSTEM
100,1000005,10,1000,1100,1200,20230419,SYSTEM
100,1000006,10,1000,1000,1100,20220310,SYSTEM
100,1000007,10,1000,1100,1300,20250707,SYSTEM
100,1000008,10,1000,1100,1200,20250905,SYSTEM
100,1000009,10,1000,1200,1400,20221101,SYSTEM
100,1000010,10,1000,1000,1100,20250617,SYSTEM
100,1000011,10,1000,1000,1300,20220415,SYSTEM
100,1000012,10,1000,1100,1200,20221218,SYSTEM
100,1000013,10,1000,1000,1200,20220721,SYSTEM
100,1000014,10,1000,1100,1100,20241027,SYSTEM
100,1000015,10,1000,1000,1100,20220801,SYSTEM
100,1000016,10,1000,1200,1100,20220420,SYSTEM
100,1000017,10,1000,1000,1400,20250529,SYSTEM
100,1000018,10,1000,1000,1400,20221108,SYSTEM
100,1000019,10,1000,1200,1300,20220716,SYSTEM
100,1000020,10,1000,1100,1400,20250108,SYSTEM
100,1000021,10,1000,1200,1000,20230803,SYSTEM
100,1000022,10,1000,1100,1200,20221028,SYSTEM
100,1000023,10,1000,1200,1100,20220823,SYSTEM
100,1000024,10,1000,1100,1200,20250425,SYSTEM
100,1000025,10,1000,1100,1100,20241218,SYSTEM
100,1000026,10,1000,1000,1100,20230309,SYSTEM
100,1000027,10,1000,1200,1300,20240722,SYSTEM
100,1000028,10,1000,1200,1300,20250726,SYSTEM
100,1000029,10,1000,1000,1400,20251212,SYSTEM
100,1000030,10,1000,1100,1100,20251111,SYSTEM
100,1000031,10,1000,1000,1000,20231222,SYSTEM
100,1000032,10,1000,1100,1200,20240914,SYSTEM
100,1000033,10,1000,1100,1400,20230502,SYSTEM
100,1000034,10,1000,1100,1300,20241228,SYSTEM
100,1000035,10,1000,1200,1000,20240225,SYSTEM
100,1000036,10,1000,1100,1300,20251218,SYSTEM
100,1000037,10,1000,1100,1300,20230811,SYSTEM
100,1000038,10,1000,1000,1300,20231007,SYSTEM
100,1000039,10,1000,1000,1100,20240312,SYSTEM
100,1000040,10,1000,1200,1100,20230318,SYSTEM
100,1000041,10,1000,1100,1400,20220419,SYSTEM
100,1000042,10,1000,1100,1400,20230425,SYSTEM
100,1000043,10,1000,1100,1400,20230706,SYSTEM
100,1000044,10,1000,1100,1100,20230609,SYSTEM
100,1000045,10,1000,1200,1200,20240709,SYSTEM
100,1000046,10,1000,1000,1100,20220730,SYSTEM
100,1000047,10,1000,1100,1300,20230928,SYSTEM
100,1000048,10,1000,1000,1200,20251128,SYSTEM
100,1000049,10,1000,1100,1300,20241024,SYSTEM
100,1000050,10,1000,1200,1400,20230312,SYSTEM
100,1000051,10,1000,1000,1000,20220110,SYSTEM
100,1000052,10,1000,1100,1200,20230407,SYSTEM
100,1000053,10,1000,1000,1300,20220929,SYSTEM
100,1000054,10,1000,1100,1000,20240617,SYSTEM
100,1000055,10,1000,1100,1200,20220713,SYSTEM
100,1000056,10,1000,1200,1100,20230724,SYSTEM
100,1000057,10,1000,1100,1100,20250809,SYSTEM
100,1000058,10,1000,1100,1100,20241116,SYSTEM
100,1000059,10,1000,1000,1400,20250824,SYSTEM
100,1000060,10,1000,1000,1100,20220618,SYSTEM
100,1000061,10,1000,1200,1400,20241010,SYSTEM
100,1000062,10,1000,1200,1200,20230505,SYSTEM
100,1000063,10,1000,1000,1400,20250417,SYSTEM
100,1000064,10,1000,1000,1200,20220714,SYSTEM
100,1000065,10,1000,1200,1400,20230106,SYSTEM
100,1000066,10,1000,1100,1000,20230602,SYSTEM
100,1000067,10,1000,1200,1200,20230721,SYSTEM
100,1000068,10,1000,1100,1400,20250424,SYSTEM
100,1000069,10,1000,1100,1300,20220204,SYSTEM
100,1000070,10,1000,1000,1200,20241205,SYSTEM
100,1000071,10,1000,1200,1100,20250603,SYSTEM
100,1000072,10,1000,1200,1300,20230122,SYSTEM
100,1000073,10,1000,1000,1300,20250119,SYSTEM
100,1000074,10,1000,1200,1200,20220220,SYSTEM
100,1000075,10,1000,1200,1000,20240906,SYSTEM
100,1000076,10,1000,1200,1200,20230826,SYSTEM
100,1000077,10,1000,1200,1400,20220209,SYSTEM
100,1000078,10,1000,1200,1100,20240420,SYSTEM
100,1000079,10,1000,1100,1400,20230528,SYSTEM
100,1000080,10,1000,1000,1200,20251201,SYSTEM
100,1000081,10,1000,1100,1000,20220923,SYSTEM
100,1000082,10,1000,1200,1400,20231020,SYSTEM
100,1000083,10,1000,1100,1000,20221025,SYSTEM
100,1000084,10,1000,1100,1000,20250629,SYSTEM
100,1000085,10,1000,1000,1200,20251221,SYSTEM
100,1000086,10,1000,1100,1200,20231125,SYSTEM
100,1000087,10,1000,1100,1400,20250906,SYSTEM
100,1000088,10,1000,1200,1000,20250815,SYSTEM
100,1000089,10,1000,1200,1000,20240304,SYSTEM
100,1000090,10,1000,1000,1200,20240712,SYSTEM
100,1000091,10,1000,1200,1100,20230611,SYSTEM
100,1000092,10,1000,1100,1400,20240303,SYSTEM
100,1000093,10,1000,1000,1100,20251005,SYSTEM
100,1000094,10,1000,1200,1200,20250127,SYSTEM
100,1000095,10,1000,1200,1200,20240106,SYSTEM
100,1000096,10,1000,1100,1400,20221221,SYSTEM
100,1000097,10,1000,1000,1000,20231107,SYSTEM
100,1000098,10,1000,1200,1100,20240626,SYSTEM
100,1000099,10,1000,1000,1400,20230702,SYSTEM
100,1000100,10,1000,1000,1200,20220607,SYSTEM
100,1000101,10,1000,1200,1200,20240101,SYSTEM
100,1000102,10,1000,1200,1200,20220522,SYSTEM
100,1000103,10,1000,1200,1100,20220403,SYSTEM
100,1000104,10,1000,1000,1000,20250101,SYSTEM
100,1000105,10,1000,1000,1300,20231104,SYSTEM
100,1000106,10,1000,1200,1400,20221104,SYSTEM
100,1000107,10,1000,1200,1300,20231017,SYSTEM
100,1000108,10,1000,1200,1000,20250721,SYSTEM
100,1000109,10,1000,1100,1000,20240823,SYSTEM
100,1000110,10,1000,1100,1400,20250703,SYSTEM
100,1000111,10,1000,1000,1200,20250723,SYSTEM
100,1000112,10,1000,1100,1400,20221117,SYSTEM
100,1000113,10,1000,1100,1000,20230120,SYSTEM
100,1000114,10,1000,1100,1300,20220114,SYSTEM
100,1000115,10,1000,1000,1400,20230511,SYSTEM
100,1000116,10,1000,1000,1400,20240102,SYSTEM
100,1000117,10,1000,1200,1200,20240727,SYSTEM
100,1000118,10,1000,1000,1100,20240206,SYSTEM
100,1000119,10,1000,1100,1000,20221220,SYSTEM
100,1000120,10,1000,1000,1000,20230408,SYSTEM
100,1000121,10,1000,1200,1000,20240328,SYSTEM
100,1000122,10,1000,1200,1100,20240607,SYSTEM
100,1000123,10,1000,1000,1000,20220926,SYSTEM
100,1000124,10,1000,1200,1400,20250821,SYSTEM
100,1000125,10,1000,1200,1200,20220120,SYSTEM
100,1000126,10,1000,1000,1400,20250728,SYSTEM
100,1000127,10,1000,1200,1000,20220308,SYSTEM
100,1000128,10,1000,1000,1200,20240323,SYSTEM
100,1000129,10,1000,1200,1100,20240317,SYSTEM
100,1000130,10,1000,1000,1100,20240810,SYSTEM
100,1000131,10,1000,1200,1200,20230918,SYSTEM
100,1000132,10,1000,1000,1000,20221003,SYSTEM
100,1000133,10,1000,1000,1200,20220714,SYSTEM
100,1000134,10,1000,1000,1300,20240228,SYSTEM
100,1000135,10,1000,1200,1400,20220705,SYSTEM
100,1000136,10,1000,1100,1100,20231226,SYSTEM
100,1000137,10,1000,1000,1400,20220918,SYSTEM
100,1000138,10,1000,1100,1300,20230605,SYSTEM
100,1000139,10,1000,1100,1000,20250530,SYSTEM
100,1000140,10,1000,1200,1300,20240828,SYSTEM
100,1000141,10,1000,1000,1200,20251024,SYSTEM
100,1000142,10,1000,1000,1000,20241114,SYSTEM
100,1000143,10,1000,1000,1100,20250324,SYSTEM
100,1000144,10,1000,1000,1100,20241124,SYSTEM
100,1000145,10,1000,1200,1300,20230718,SYSTEM
100,1000146,10,1000,1100,1100,20220218,SYSTEM
100,1000147,10,1000,1200,1400,20251107,SYSTEM
100,1000148,10,1000,1000,1100,20230505,SYSTEM
100,1000149,10,1000,1000,1000,20220202,SYSTEM
100,1000150,10,1000,1200,1000,20230420,SYSTEM
100,1000151,10,1000,1100,1400,20250214,SYSTEM
100,1000152,10,1000,1100,1300,20230926,SYSTEM
100,1000153,10,1000,1000,1400,20230306,SYSTEM
100,1000154,10,1000,1100,1000,20220401,SYSTEM
100,1000155,10,1000,1100,1100,20221103,SYSTEM
100,1000156,10,1000,1200,1300,20250208,SYSTEM
