MANDT,LOG_HANDLE,OBJECT,SUBOBJECT,ALDATE,ALTIME,ALUSER
100,0000000000000000000001,MATMAS,SUB1,20240425,133019,USER000
100,0000000000000000000002,MATMAS,SUB2,20240209,204132,USER001
100,0000000000000000000003,MATMAS,SUB3,20221213,125753,USER002
100,0000000000000000000004,MATMAS,SUB1,20241111,154711,USER003
100,0000000000000000000005,MATMAS,SUB2,20240814,010853,USER004
100,0000000000000000000006,MATMAS,SUB3,20231021,095027,USER005
100,0000000000000000000007,MATMAS,SUB1,20220926,230859,USER006
100,0000000000000000000008,MATMAS,SUB2,20220226,214250,USER007
100,0000000000000000000009,MATMAS,SUB3,20240406,164248,USER008
100,0000000000000000000010,MATMAS,SUB1,20230706,062637,USER009
100,0000000000000000000011,MATMAS,SUB2,20220826,180907,USER010
100,0000000000000000000012,MATMAS,SUB3,20240602,100059,USER011
100,0000000000000000000013,MATMAS,SUB1,20240802,080735,USER012
100,0000000000000000000014,MATMAS,SUB2,20241227,043527,USER013
100,0000000000000000000015,MATMAS,SUB3,20240418,162833,USER014
100,0000000000000000000016,MATMAS,SUB1,20220706,061531,USER015
100,0000000000000000000017,MATMAS,SUB2,20220302,234540,USER016
100,0000000000000000000018,MATMAS,SUB3,20240115,040435,USER017
100,0000000000000000000019,MATMAS,SUB1,20230522,064508,USER018
100,0000000000000000000020,MATMAS,SUB2,20220904,235158,USER019
100,0000000000000000000021,MATMAS,SUB3,20220721,160041,USER020
100,0000000000000000000022,MATMAS,SUB1,20231111,031553,USER021
100,0000000000000000000023,MATMAS,SUB2,20241006,031347,USER022
100,0000000000000000000024,MATMAS,SUB3,20230707,121658,USER023
100,0000000000000000000025,MATMAS,SUB1,20241029,223449,USER024
100,0000000000000000000026,MATMAS,SUB2,20231118,120753,USER025
100,0000000000000000000027,MATMAS,SUB3,20240502,060022,USER026
100,0000000000000000000028,MATMAS,SUB1,20240124,230035,USER027
100,0000000000000000000029,MATMAS,SUB2,20221127,031054,USER028
100,0000000000000000000030,MATMAS,SUB3,20220422,054727,USER029
100,0000000000000000000031,MATMAS,SUB1,20220811,210733,USER030
100,0000000000000000000032,MATMAS,SUB2,20221129,105140,USER031
100,0000000000000000000033,MATMAS,SUB3,20221213,163500,USER032
100,0000000000000000000034,MATMAS,SUB1,20241207,164714,USER033
100,0000000000000000000035,MATMAS,SUB2,20220104,005545,USER034
100,0000000000000000000036,MATMAS,SUB3,20230305,205210,USER035
100,0000000000000000000037,MATMAS,SUB1,20230428,161402,USER036
100,0000000000000000000038,MATMAS,SUB2,20220429,045733,USER037
100,0000000000000000000039,MATMAS,SUB3,20240629,144102,USER038
100,0000000000000000000040,MATMAS,SUB1,20241214,045609,USER039
100,0000000000000000000041,MATMAS,SUB2,20220421,203715,USER040
100,0000000000000000000042,MATMAS,SUB3,20221110,150858,USER041
100,0000000000000000000043,MATMAS,SUB1,20240127,165413,USER042
100,0000000000000000000044,MATMAS,SUB2,20240725,060313,USER043
100,0000000000000000000045,MATMAS,SUB3,20240223,142132,USER044
100,0000000000000000000046,MATMAS,SUB1,20220228,210359,USER045
100,0000000000000000000047,MATMAS,SUB2,20230824,233934,USER046
100,0000000000000000000048,MATMAS,SUB3,20221102,193535,USER047
100,0000000000000000000049,MATMAS,SUB1,20230625,161320,USER048
100,0000000000000000000050,MATMAS,SUB2,20230201,051012,USER049
100,0000000000000000000051,MATMAS,SUB3,20230506,005332,USER000
100,0000000000000000000052,MATMAS,SUB1,20220518,110606,USER001
100,0000000000000000000053,MATMAS,SUB2,20240929,014429,USER002
100,0000000000000000000054,MATMAS,SUB3,20220106,132306,USER003
100,0000000000000000000055,MATMAS,SUB1,20230802,080443,USER004
100,0000000000000000000056,MATMAS,SUB2,20230601,005239,USER005
100,0000000000000000000057,MATMAS,SUB3,20230313,204057,USER006
100,0000000000000000000058,MATMAS,SUB1,20240420,033805,USER007
100,0000000000000000000059,MATMAS,SUB2,20240827,210102,USER008
100,0000000000000000000060,MATMAS,SUB3,20240113,025056,USER009
100,0000000000000000000061,MATMAS,SUB1,20230125,210341,USER010
100,0000000000000000000062,MATMAS,SUB2,20221212,052306,USER011
100,0000000000000000000063,MATMAS,SUB3,20230428,032648,USER012
100,0000000000000000000064,MATMAS,SUB1,20231023,004416,USER013
100,0000000000000000000065,MATMAS,SUB2,20220609,083141,USER014
100,0000000000000000000066,MATMAS,SUB3,20230330,212630,USER015
100,0000000000000000000067,MATMAS,SUB1,20240916,033252,USER016
100,0000000000000000000068,MATMAS,SUB2,20220708,120926,USER017
100,0000000000000000000069,MATMAS,SUB3,20230209,204003,USER018
100,0000000000000000000070,MATMAS,SUB1,20230208,182529,USER019
100,0000000000000000000071,MATMAS,SUB2,20230714,104152,USER020
100,0000000000000000000072,MATMAS,SUB3,20220405,070839,USER021
100,0000000000000000000073,MATMAS,SUB1,20220613,130123,USER022
100,0000000000000000000074,MATMAS,SUB2,20240908,150357,USER023
100,0000000000000000000075,MATMAS,SUB3,20230921,002111,USER024
100,0000000000000000000076,MATMAS,SUB1,20230315,192209,USER025
100,0000000000000000000077,MATMAS,SUB2,20240721,095825,USER026
100,0000000000000000000078,MATMAS,SUB3,20220906,140956,USER027
100,0000000000000000000079,MATMAS,SUB1,20230922,194232,USER028
100,0000000000000000000080,MATMAS,SUB2,20240729,092512,USER029
100,0000000000000000000081,MATMAS,SUB3,20221226,011134,USER030
100,0000000000000000000082,MATMAS,SUB1,20230302,223125,USER031
100,0000000000000000000083,MATMAS,SUB2,20230429,145349,USER032
100,0000000000000000000084,MATMAS,SUB3,20240616,223027,USER033
100,0000000000000000000085,MATMAS,SUB1,20240315,160817,USER034
100,0000000000000000000086,MATMAS,SUB2,20221220,232821,USER035
100,0000000000000000000087,MATMAS,SUB3,20240506,230719,USER036
100,0000000000000000000088,MATMAS,SUB1,20240529,042009,USER037
100,0000000000000000000089,MATMAS,SUB2,20240726,075447,USER038
100,0000000000000000000090,MATMAS,SUB3,20240412,074227,USER039
100,0000000000000000000091,MATMAS,SUB1,20220516,160552,USER040
100,0000000000000000000092,MATMAS,SUB2,20230923,120755,USER041
100,0000000000000000000093,MATMAS,SUB3,20221219,013319,USER042
100,0000000000000000000094,MATMAS,SUB1,20240828,105254,USER043
100,0000000000000000000095,MATMAS,SUB2,20230915,144849,USER044
100,0000000000000000000096,MATMAS,SUB3,20220612,225339,USER045
100,0000000000000000000097,MATMAS,SUB1,20221211,083726,USER046
100,0000000000000000000098,MATMAS,SUB2,20230206,142803,USER047
100,0000000000000000000099,MATMAS,SUB3,20241230,214027,USER048
100,0000000000000000000100,MATMAS,SUB1,20240818,014617,USER049
100,0000000000000000000101,MATMAS,SUB2,20230830,002838,USER000
100,0000000000000000000102,MATMAS,SUB3,20231217,072232,USER001
100,0000000000000000000103,MATMAS,SUB1,20240521,060409,USER002
100,0000000000000000000104,MATMAS,SUB2,20230801,122821,USER003
100,0000000000000000000105,MATMAS,SUB3,20240530,084332,USER004
100,0000000000000000000106,MATMAS,SUB1,20221218,054848,USER005
100,0000000000000000000107,MATMAS,SUB2,20230412,184655,USER006
100,0000000000000000000108,MATMAS,SUB3,20220811,160522,USER007
100,0000000000000000000109,MATMAS,SUB1,20221217,044816,USER008
100,0000000000000000000110,MATMAS,SUB2,20231106,205546,USER009
100,0000000000000000000111,MATMAS,SUB3,20231130,120905,USER010
100,0000000000000000000112,MATMAS,SUB1,20241202,001434,USER011
100,0000000000000000000113,MATMAS,SUB2,20240102,073455,USER012
100,0000000000000000000114,MATMAS,SUB3,20220826,082030,USER013
100,0000000000000000000115,MATMAS,SUB1,20220130,090348,USER014
100,0000000000000000000116,MATMAS,SUB2,20220408,094033,USER015
100,0000000000000000000117,MATMAS,SUB3,20230605,104006,USER016
100,0000000000000000000118,MATMAS,SUB1,20240822,180931,USER017
100,0000000000000000000119,MATMAS,SUB2,20241215,210130,USER018
100,0000000000000000000120,MATMAS,SUB3,20221211,001727,USER019
100,0000000000000000000121,MATMAS,SUB1,20240205,072832,USER020
100,0000000000000000000122,MATMAS,SUB2,20220821,153234,USER021
100,0000000000000000000123,MATMAS,SUB3,20240727,045639,USER022
100,0000000000000000000124,MATMAS,SUB1,20221207,123753,USER023
100,0000000000000000000125,MATMAS,SUB2,20221216,140220,USER024
100,0000000000000000000126,MATMAS,SUB3,20220731,214237,USER025
100,0000000000000000000127,MATMAS,SUB1,20240830,064010,USER026
100,0000000000000000000128,MATMAS,SUB2,20230424,233059,USER027
100,0000000000000000000129,MATMAS,SUB3,20241129,215232,USER028
100,0000000000000000000130,MATMAS,SUB1,20240726,093715,USER029
100,0000000000000000000131,MATMAS,SUB2,20220504,004821,USER030
100,0000000000000000000132,MATMAS,SUB3,20220821,214840,USER031
100,0000000000000000000133,MATMAS,SUB1,20220714,035013,USER032
100,0000000000000000000134,MATMAS,SUB2,20230107,175445,USER033
100,0000000000000000000135,MATMAS,SUB3,20240531,150507,USER034
100,0000000000000000000136,MATMAS,SUB1,20230704,015603,USER035
100,0000000000000000000137,MATMAS,SUB2,20230627,180042,USER036
100,0000000000000000000138,MATMAS,SUB3,20220318,221406,USER037
100,0000000000000000000139,MATMAS,SUB1,20241028,161454,USER038
100,0000000000000000000140,MATMAS,SUB2,20230517,023736,USER039
100,0000000000000000000141,MATMAS,SUB3,20230817,093009,USER040
100,0000000000000000000142,MATMAS,SUB1,20230523,202211,USER041
100,0000000000000000000143,MATMAS,SUB2,20240726,104957,USER042
100,0000000000000000000144,MATMAS,SUB3,20221115,205717,USER043
100,0000000000000000000145,MATMAS,SUB1,20240619,012930,USER044
100,0000000000000000000146,MATMAS,SUB2,20240702,161431,USER045
100,0000000000000000000147,MATMAS,SUB3,20241216,132324,USER046
100,0000000000000000000148,MATMAS,SUB1,20240602,141908,USER047
100,0000000000000000000149,MATMAS,SUB2,20230108,050551,USER048
100,0000000000000000000150,MATMAS,SUB3,20241210,212728,USER049
100,0000000000000000000151,MATMAS,SUB1,20221223,093607,USER000
100,0000000000000000000152,MATMAS,SUB2,20220317,011945,USER001
100,0000000000000000000153,MATMAS,SUB3,20230802,033501,USER002
100,0000000000000000000154,MATMAS,SUB1,20220519,033739,USER003
100,0000000000000000000155,MATMAS,SUB2,20240626,083425,USER004
100,0000000000000000000156,MATMAS,SUB3,20230219,062106,USER005
100,0000000000000000000157,MATMAS,SUB1,20220813,150421,USER006
100,0000000000000000000158,MATMAS,SUB2,20241020,063724,USER007
100,0000000000000000000159,MATMAS,SUB3,20240611,065830,USER008
100,0000000000000000000160,MATMAS,SUB1,20230628,063432,USER009
100,0000000000000000000161,MATMAS,SUB2,20241003,141832,USER010
100,0000000000000000000162,MATMAS,SUB3,20240624,052912,USER011
100,0000000000000000000163,MATMAS,SUB1,20240624,170602,USER012
100,0000000000000000000164,MATMAS,SUB2,20220118,170716,USER013
100,0000000000000000000165,MATMAS,SUB3,20220614,024302,USER014
100,0000000000000000000166,MATMAS,SUB1,20240217,214715,USER015
100,0000000000000000000167,MATMAS,SUB2,20230903,230435,USER016
100,0000000000000000000168,MATMAS,SUB3,20220827,095249,USER017
100,0000000000000000000169,MATMAS,SUB1,20221228,015747,USER018
100,0000000000000000000170,MATMAS,SUB2,20220814,075111,USER019
100,0000000000000000000171,MATMAS,SUB3,20220520,023901,USER020
100,0000000000000000000172,MATMAS,SUB1,20241228,030739,USER021
100,0000000000000000000173,MATMAS,SUB2,20240716,183055,USER022
100,0000000000000000000174,MATMAS,SUB3,20240329,075826,USER023
100,0000000000000000000175,MATMAS,SUB1,20230119,125157,USER024
100,0000000000000000000176,MATMAS,SUB2,20220220,100327,USER025
100,0000000000000000000177,MATMAS,SUB3,20220707,205408,USER026
100,0000000000000000000178,MATMAS,SUB1,20241129,222250,USER027
100,0000000000000000000179,MATMAS,SUB2,20230316,043833,USER028
100,0000000000000000000180,MATMAS,SUB3,20230305,220520,USER029
100,0000000000000000000181,MATMAS,SUB1,20221014,193627,USER030
100,0000000000000000000182,MATMAS,SUB2,20231119,024340,USER031
100,0000000000000000000183,MATMAS,SUB3,20230219,030118,USER032
100,0000000000000000000184,MATMAS,SUB1,20240227,192815,USER033
100,0000000000000000000185,MATMAS,SUB2,20220628,233403,USER034
100,0000000000000000000186,MATMAS,SUB3,20241218,181617,USER035
100,0000000000000000000187,MATMAS,SUB1,20240424,051750,USER036
100,0000000000000000000188,MATMAS,SUB2,20240708,191657,USER037
100,0000000000000000000189,MATMAS,SUB3,20240121,092754,USER038
100,0000000000000000000190,MATMAS,SUB1,20240218,065105,USER039
100,0000000000000000000191,MATMAS,SUB2,20220226,061820,USER040
100,0000000000000000000192,MATMAS,SUB3,20220517,201303,USER041
100,0000000000000000000193,MATMAS,SUB1,20230617,084511,USER042
100,0000000000000000000194,MATMAS,SUB2,20220214,015543,USER043
100,0000000000000000000195,MATMAS,SUB3,20220515,093455,USER044
100,0000000000000000000196,MATMAS,SUB1,20220630,103827,USER045
100,0000000000000000000197,MATMAS,SUB2,20240506,122525,USER046
100,0000000000000000000198,MATMAS,SUB3,20230127,120303,USER047
100,0000000000000000000199,MATMAS,SUB1,20230910,001756,USER048
100,0000000000000000000200,MATMAS,SUB2,20240110,054624,USER049
100,0000000000000000000201,MATMAS,SUB3,20220803,083128,USER000
100,0000000000000000000202,MATMAS,SUB1,20220319,044046,USER001
100,0000000000000000000203,MATMAS,SUB2,20221016,025336,USER002
100,0000000000000000000204,MATMAS,SUB3,20240116,124317,USER003
100,0000000000000000000205,MATMAS,SUB1,20220921,163337,USER004
100,0000000000000000000206,MATMAS,SUB2,20231101,145355,USER005
100,0000000000000000000207,MATMAS,SUB3,20241007,022107,USER006
100,0000000000000000000208,MATMAS,SUB1,20230611,053652,USER007
100,0000000000000000000209,MATMAS,SUB2,20220319,155050,USER008
100,0000000000000000000210,MATMAS,SUB3,20220405,201051,USER009
100,0000000000000000000211,MATMAS,SUB1,20230327,040455,USER010
100,0000000000000000000212,MATMAS,SUB2,20230903,190733,USER011
100,0000000000000000000213,MATMAS,SUB3,20240101,071004,USER012
100,0000000000000000000214,MATMAS,SUB1,20230309,222251,USER013
100,0000000000000000000215,MATMAS,SUB2,20231107,175022,USER014
100,0000000000000000000216,MATMAS,SUB3,20230826,213638,USER015
100,0000000000000000000217,MATMAS,SUB1,20230320,052157,USER016
100,0000000000000000000218,MATMAS,SUB2,20240827,220345,USER017
100,0000000000000000000219,MATMAS,SUB3,20231220,181900,USER018
100,0000000000000000000220,MATMAS,SUB1,20231018,033734,USER019
100,0000000000000000000221,MATMAS,SUB2,20230320,233508,USER020
100,0000000000000000000222,MATMAS,SUB3,20240703,172144,USER021
100,0000000000000000000223,MATMAS,SUB1,20240207,030334,USER022
100,0000000000000000000224,MATMAS,SUB2,20230120,004408,USER023
100,0000000000000000000225,MATMAS,SUB3,20220227,174351,USER024
100,0000000000000000000226,MATMAS,SUB1,20230509,010936,USER025
100,0000000000000000000227,MATMAS,SUB2,20240208,004543,USER026
100,0000000000000000000228,MATMAS,SUB3,20230419,120559,USER027
100,0000000000000000000229,MATMAS,SUB1,20231204,145500,USER028
100,0000000000000000000230,MATMAS,SUB2,20240415,124350,USER029
100,0000000000000000000231,MATMAS,SUB3,20241002,104551,USER030
100,0000000000000000000232,MATMAS,SUB1,20230624,050119,USER031
100,0000000000000000000233,MATMAS,SUB2,20231031,073237,USER032
100,0000000000000000000234,MATMAS,SUB3,20230618,110132,USER033
100,0000000000000000000235,MATMAS,SUB1,20220321,220011,USER034
100,0000000000000000000236,MATMAS,SUB2,20230122,201536,USER035
100,0000000000000000000237,MATMAS,SUB3,20231009,123536,USER036
100,0000000000000000000238,MATMAS,SUB1,20221019,214629,USER037
100,0000000000000000000239,MATMAS,SUB2,20230601,153920,USER038
100,0000000000000000000240,MATMAS,SUB3,20240905,141503,USER039
100,0000000000000000000241,MATMAS,SUB1,20230123,031808,USER040
100,0000000000000000000242,MATMAS,SUB2,20220210,082932,USER041
100,0000000000000000000243,MATMAS,SUB3,20220719,154543,USER042
100,0000000000000000000244,MATMAS,SUB1,20240117,182221,USER043
100,0000000000000000000245,MATMAS,SUB2,20231208,160541,USER044
100,0000000000000000000246,MATMAS,SUB3,20240117,060629,USER045
100,0000000000000000000247,MATMAS,SUB1,20240910,142831,USER046
100,0000000000000000000248,MATMAS,SUB2,20231015,173446,USER047
100,0000000000000000000249,MATMAS,SUB3,20220301,020006,USER048
100,0000000000000000000250,MATMAS,SUB1,20240704,225624,USER049
100,0000000000000000000251,MATMAS,SUB2,20241106,010246,USER000
100,0000000000000000000252,MATMAS,SUB3,20221117,203109,USER001
100,0000000000000000000253,MATMAS,SUB1,20230505,003945,USER002
100,0000000000000000000254,MATMAS,SUB2,20240112,024908,USER003
100,0000000000000000000255,MATMAS,SUB3,20220614,022852,USER004
100,0000000000000000000256,MATMAS,SUB1,20241021,135328,USER005
100,0000000000000000000257,MATMAS,SUB2,20230305,023551,USER006
100,0000000000000000000258,MATMAS,SUB3,20231103,201433,USER007
100,0000000000000000000259,MATMAS,SUB1,20230119,172111,USER008
100,0000000000000000000260,MATMAS,SUB2,20241109,012935,USER009
100,0000000000000000000261,MATMAS,SUB3,20230312,164037,USER010
100,0000000000000000000262,MATMAS,SUB1,20230812,120445,USER011
100,0000000000000000000263,MATMAS,SUB2,20220306,085647,USER012
100,0000000000000000000264,MATMAS,SUB3,20220827,140903,USER013
100,0000000000000000000265,MATMAS,SUB1,20240623,074303,USER014
100,0000000000000000000266,MATMAS,SUB2,20241213,074651,USER015
100,0000000000000000000267,MATMAS,SUB3,20220329,045838,USER016
100,0000000000000000000268,MATMAS,SUB1,20231030,175634,USER017
100,0000000000000000000269,MATMAS,SUB2,20230915,073345,USER018
100,0000000000000000000270,MATMAS,SUB3,20230601,094815,USER019
100,0000000000000000000271,MATMAS,SUB1,20241031,204529,USER020
100,0000000000000000000272,MATMAS,SUB2,20240409,001503,USER021
100,0000000000000000000273,MATMAS,SUB3,20220531,135527,USER022
100,0000000000000000000274,MATMAS,SUB1,20221213,143956,USER023
100,0000000000000000000275,MATMAS,SUB2,20230526,130434,USER024
100,0000000000000000000276,MATMAS,SUB3,20220615,062452,USER025
100,0000000000000000000277,MATMAS,SUB1,20221005,142536,USER026
100,0000000000000000000278,MATMAS,SUB2,20230218,132136,USER027
100,0000000000000000000279,MATMAS,SUB3,20231216,053044,USER028
100,0000000000000000000280,MATMAS,SUB1,20230804,033147,USER029
100,0000000000000000000281,MATMAS,SUB2,20231105,165804,USER030
100,0000000000000000000282,MATMAS,SUB3,20240316,194154,USER031
100,0000000000000000000283,MATMAS,SUB1,20231121,071540,USER032
100,0000000000000000000284,MATMAS,SUB2,20220213,103908,USER033
100,0000000000000000000285,MATMAS,SUB3,20231026,194416,USER034
100,0000000000000000000286,MATMAS,SUB1,20231009,103648,USER035
100,0000000000000000000287,MATMAS,SUB2,20230712,142821,USER036
100,0000000000000000000288,MATMAS,SUB3,20220302,172911,USER037
100,0000000000000000000289,MATMAS,SUB1,20240410,073622,USER038
100,0000000000000000000290,MATMAS,SUB2,20230403,012312,USER039
100,0000000000000000000291,MATMAS,SUB3,20240214,100147,USER040
100,0000000000000000000292,MATMAS,SUB1,20231207,023443,USER041
100,0000000000000000000293,MATMAS,SUB2,20221011,184943,USER042
100,0000000000000000000294,MATMAS,SUB3,20240225,051521,USER043
100,0000000000000000000295,MATMAS,SUB1,20240304,223946,USER044
100,0000000000000000000296,MATMAS,SUB2,20221202,210056,USER045
100,0000000000000000000297,MATMAS,SUB3,20230109,173106,USER046
100,0000000000000000000298,MATMAS,SUB1,20220209,031829,USER047
100,0000000000000000000299,MATMAS,SUB2,20240701,234011,USER048
100,0000000000000000000300,MATMAS,SUB3,20220824,073229,USER049
100,0000000000000000000301,MATMAS,SUB1,20231231,170403,USER000
100,0000000000000000000302,MATMAS,SUB2,20220128,052606,USER001
100,0000000000000000000303,MATMAS,SUB3,20230727,143029,USER002
100,0000000000000000000304,MATMAS,SUB1,20240213,020416,USER003
100,0000000000000000000305,MATMAS,SUB2,20220518,181127,USER004
100,0000000000000000000306,MATMAS,SUB3,20231013,084713,USER005
100,0000000000000000000307,MATMAS,SUB1,20230914,140809,USER006
100,0000000000000000000308,MATMAS,SUB2,20231127,034940,USER007
100,0000000000000000000309,MATMAS,SUB3,20240409,201629,USER008
100,0000000000000000000310,MATMAS,SUB1,20230614,121804,USER009
100,0000000000000000000311,MATMAS,SUB2,20241201,110357,USER010
100,0000000000000000000312,MATMAS,SUB3,20220612,204913,USER011
100,0000000000000000000313,MATMAS,SUB1,20220211,165343,USER012
100,0000000000000000000314,MATMAS,SUB2,20231003,155619,USER013
100,0000000000000000000315,MATMAS,SUB3,20241124,140829,USER014
100,0000000000000000000316,MATMAS,SUB1,20220714,151148,USER015
100,0000000000000000000317,MATMAS,SUB2,20241007,095130,USER016
100,0000000000000000000318,MATMAS,SUB3,20220503,033027,USER017
100,0000000000000000000319,MATMAS,SUB1,20220307,222610,USER018
100,0000000000000000000320,MATMAS,SUB2,20240419,033358,USER019
100,0000000000000000000321,MATMAS,SUB3,20231016,131733,USER020
100,0000000000000000000322,MATMAS,SUB1,20231104,104054,USER021
100,0000000000000000000323,MATMAS,SUB2,20220911,033101,USER022
100,0000000000000000000324,MATMAS,SUB3,20240809,070014,USER023
100,0000000000000000000325,MATMAS,SUB1,20220419,130626,USER024
100,0000000000000000000326,MATMAS,SUB2,20241010,181402,USER025
100,0000000000000000000327,MATMAS,SUB3,20241105,003927,USER026
100,0000000000000000000328,MATMAS,SUB1,20220804,192544,USER027
100,0000000000000000000329,MATMAS,SUB2,20221025,110417,USER028
100,0000000000000000000330,MATMAS,SUB3,20230718,064108,USER029
100,0000000000000000000331,MATMAS,SUB1,20230311,200744,USER030
100,0000000000000000000332,MATMAS,SUB2,20230126,132810,USER031
100,0000000000000000000333,MATMAS,SUB3,20240103,214029,USER032
100,0000000000000000000334,MATMAS,SUB1,20240526,070114,USER033
100,0000000000000000000335,MATMAS,SUB2,20221023,182514,USER034
100,0000000000000000000336,MATMAS,SUB3,20220812,015804,USER035
100,0000000000000000000337,MATMAS,SUB1,20230324,095201,USER036
100,0000000000000000000338,MATMAS,SUB2,20240106,030856,USER037
100,0000000000000000000339,MATMAS,SUB3,20230426,003641,USER038
100,0000000000000000000340,MATMAS,SUB1,20241219,220203,USER039
100,0000000000000000000341,MATMAS,SUB2,20220906,152303,USER040
100,0000000000000000000342,MATMAS,SUB3,20240208,111622,USER041
100,0000000000000000000343,MATMAS,SUB1,20230907,063156,USER042
100,0000000000000000000344,MATMAS,SUB2,20230322,005402,USER043
100,0000000000000000000345,MATMAS,SUB3,20220328,014924,USER044
100,0000000000000000000346,MATMAS,SUB1,20241223,040846,USER045
100,0000000000000000000347,MATMAS,SUB2,20241226,001453,USER046
100,0000000000000000000348,MATMAS,SUB3,20230518,115238,USER047
100,0000000000000000000349,MATMAS,SUB1,20240506,155241,USER048
