MANDT,MESTYP,CPIDENT,TABNAME,TABKEY,CRESSION_DATE
100,MATMAS,00000000000000000000000001,MARA,100000000000000100000,20230705
100,MATMAS,00000000000000000000000002,MARA,100000000000000100001,20221016
100,MATMAS,00000000000000000000000003,MARA,100000000000000100002,20220207
100,MATMAS,00000000000000000000000004,MARA,100000000000000100003,20221102
100,MATMAS,00000000000000000000000005,MARA,100000000000000100004,20220907
100,MATMAS,00000000000000000000000006,MARA,100000000000000100005,20240311
100,MATMAS,00000000000000000000000007,MARA,100000000000000100006,20230619
100,MATMAS,00000000000000000000000008,MARA,100000000000000100007,20221113
100,MATMAS,00000000000000000000000009,MARA,100000000000000100008,20231209
100,MATMAS,00000000000000000000000010,MARA,100000000000000100009,20230721
100,MATMAS,00000000000000000000000011,MARA,100000000000000100010,20220210
100,MATMAS,00000000000000000000000012,MARA,100000000000000100011,20241031
100,MATMAS,00000000000000000000000013,MARA,100000000000000100012,20240811
100,MATMAS,00000000000000000000000014,MARA,100000000000000100013,20241204
100,MATMAS,00000000000000000000000015,MARA,100000000000000100014,20240925
100,MATMAS,00000000000000000000000016,MARA,100000000000000100015,20241231
100,MATMAS,00000000000000000000000017,MARA,100000000000000100016,20220203
100,MATMAS,00000000000000000000000018,MARA,100000000000000100017,20230209
100,MATMAS,00000000000000000000000019,MARA,100000000000000100018,20221120
100,MATMAS,00000000000000000000000020,MARA,100000000000000100019,20241221
100,MATMAS,00000000000000000000000021,MARA,100000000000000100020,20230529
100,MATMAS,00000000000000000000000022,MARA,100000000000000100021,20230311
100,MATMAS,00000000000000000000000023,MARA,100000000000000100022,20240325
100,MATMAS,00000000000000000000000024,MARA,100000000000000100023,20230718
100,MATMAS,00000000000000000000000025,MARA,100000000000000100024,20220502
100,MATMAS,00000000000000000000000026,MARA,100000000000000100025,20220316
100,MATMAS,00000000000000000000000027,MARA,100000000000000100026,20231218
100,MATMAS,00000000000000000000000028,MARA,100000000000000100027,20231007
100,MATMAS,00000000000000000000000029,MARA,100000000000000100028,20230305
100,MATMAS,00000000000000000000000030,MARA,100000000000000100029,20230523
100,MATMAS,00000000000000000000000031,MARA,100000000000000100030,20230506
100,MATMAS,00000000000000000000000032,MARA,100000000000000100031,20230429
100,MATMAS,00000000000000000000000033,MARA,100000000000000100032,20241202
100,MATMAS,00000000000000000000000034,MARA,100000000000000100033,20220907
100,MATMAS,00000000000000000000000035,MARA,100000000000000100034,20221010
100,MATMAS,00000000000000000000000036,MARA,100000000000000100035,20220820
100,MATMAS,00000000000000000000000037,MARA,100000000000000100036,20240727
100,MATMAS,00000000000000000000000038,MARA,100000000000000100037,20240620
100,MATMAS,00000000000000000000000039,MARA,100000000000000100038,20240118
100,MATMAS,00000000000000000000000040,MARA,100000000000000100039,20230726
100,MATMAS,00000000000000000000000041,MARA,100000000000000100040,20230907
100,MATMAS,00000000000000000000000042,MARA,100000000000000100041,20220723
100,MATMAS,00000000000000000000000043,MARA,100000000000000100042,20240125
100,MATMAS,00000000000000000000000044,MARA,100000000000000100043,20220613
100,MATMAS,00000000000000000000000045,MARA,100000000000000100044,20230628
100,MATMAS,00000000000000000000000046,MARA,100000000000000100045,20240105
100,MATMAS,00000000000000000000000047,MARA,100000000000000100046,20220403
100,MATMAS,00000000000000000000000048,MARA,100000000000000100047,20230704
100,MATMAS,00000000000000000000000049,MARA,100000000000000100048,20220107
100,MATMAS,00000000000000000000000050,MARA,100000000000000100049,20240225
100,MATMAS,00000000000000000000000051,MARA,100000000000000100050,20230611
100,MATMAS,00000000000000000000000052,MARA,100000000000000100051,20220907
100,MATMAS,00000000000000000000000053,MARA,100000000000000100052,20240228
100,MATMAS,00000000000000000000000054,MARA,100000000000000100053,20231101
100,MATMAS,00000000000000000000000055,MARA,100000000000000100054,20230430
100,MATMAS,00000000000000000000000056,MARA,100000000000000100055,20220926
100,MATMAS,00000000000000000000000057,MARA,100000000000000100056,20221208
100,MATMAS,00000000000000000000000058,MARA,100000000000000100057,20221225
100,MATMAS,00000000000000000000000059,MARA,100000000000000100058,20240407
100,MATMAS,00000000000000000000000060,MARA,100000000000000100059,20230205
100,MATMAS,00000000000000000000000061,MARA,100000000000000100060,20221208
100,MATMAS,00000000000000000000000062,MARA,100000000000000100061,20230315
100,MATMAS,00000000000000000000000063,MARA,100000000000000100062,20220929
100,MATMAS,00000000000000000000000064,MARA,100000000000000100063,20220113
100,MATMAS,00000000000000000000000065,MARA,100000000000000100064,20221130
100,MATMAS,00000000000000000000000066,MARA,100000000000000100065,20231105
100,MATMAS,00000000000000000000000067,MARA,100000000000000100066,20230929
100,MATMAS,00000000000000000000000068,MARA,100000000000000100067,20230720
100,MATMAS,00000000000000000000000069,MARA,100000000000000100068,20230226
100,MATMAS,00000000000000000000000070,MARA,100000000000000100069,20231129
100,MATMAS,00000000000000000000000071,MARA,100000000000000100070,20230904
100,MATMAS,00000000000000000000000072,MARA,100000000000000100071,20221001
100,MATMAS,00000000000000000000000073,MARA,100000000000000100072,20231228
100,MATMAS,00000000000000000000000074,MARA,100000000000000100073,20220312
100,MATMAS,00000000000000000000000075,MARA,100000000000000100074,20220930
100,MATMAS,00000000000000000000000076,MARA,100000000000000100075,20230819
100,MATMAS,00000000000000000000000077,MARA,100000000000000100076,20220906
100,MATMAS,00000000000000000000000078,MARA,100000000000000100077,20230131
100,MATMAS,00000000000000000000000079,MARA,100000000000000100078,20220228
100,MATMAS,00000000000000000000000080,MARA,100000000000000100079,20240518
100,MATMAS,00000000000000000000000081,MARA,100000000000000100080,20220623
100,MATMAS,00000000000000000000000082,MARA,100000000000000100081,20221129
100,MATMAS,00000000000000000000000083,MARA,100000000000000100082,20220814
100,MATMAS,00000000000000000000000084,MARA,100000000000000100083,20231116
100,MATMAS,00000000000000000000000085,MARA,100000000000000100084,20220109
100,MATMAS,00000000000000000000000086,MARA,100000000000000100085,20240221
100,MATMAS,00000000000000000000000087,MARA,100000000000000100086,20220612
100,MATMAS,00000000000000000000000088,MARA,100000000000000100087,20230921
100,MATMAS,00000000000000000000000089,MARA,100000000000000100088,20240209
100,MATMAS,00000000000000000000000090,MARA,100000000000000100089,20240529
100,MATMAS,00000000000000000000000091,MARA,100000000000000100090,20220623
100,MATMAS,00000000000000000000000092,MARA,100000000000000100091,20230421
100,MATMAS,00000000000000000000000093,MARA,100000000000000100092,20230730
100,MATMAS,00000000000000000000000094,MARA,100000000000000100093,20231016
100,MATMAS,00000000000000000000000095,MARA,100000000000000100094,20240320
100,MATMAS,00000000000000000000000096,MARA,100000000000000100095,20220201
100,MATMAS,00000000000000000000000097,MARA,100000000000000100096,20230609
100,MATMAS,00000000000000000000000098,MARA,100000000000000100097,20220104
100,MATMAS,00000000000000000000000099,MARA,100000000000000100098,20220720
100,MATMAS,00000000000000000000000100,MARA,100000000000000100099,20220424
100,MATMAS,00000000000000000000000101,MARA,100000000000000100100,20231209
