MANDT,BUKRS,BELNR,GJAHR,BLART,BUDAT,BLDAT,WAERS,USNAM
100,1000,100000001,2024,KR,20240905,20240905,EUR,USER044
100,1000,100000002,2025,KR,20250726,20250726,EUR,USER003
100,1000,100000003,2022,KR,20220330,20220330,EUR,USER020
100,1000,100000004,2024,KR,20240403,20240403,EUR,USER036
100,1000,100000005,2025,RE,20250702,20250702,EUR,USER041
100,1000,100000006,2022,SA,20220717,20220717,EUR,USER041
100,1000,100000007,2022,AB,20220507,20220507,EUR,USER007
100,1000,100000008,2024,KR,20240110,20240110,EUR,USER002
100,1000,100000009,2025,RE,20250804,20250804,EUR,USER001
100,1000,100000010,2024,SA,20240724,20240724,EUR,USER020
100,1000,100000011,2023,KR,20230306,20230306,EUR,USER031
100,1000,100000012,2025,RN,20250128,20250128,EUR,USER039
100,1000,100000013,2024,KR,20240207,20240207,EUR,USER038
100,1000,100000014,2022,RN,20221229,20221229,EUR,USER025
100,1000,100000015,2024,KR,20240803,20240803,EUR,USER045
100,1000,100000016,2022,RN,20220904,20220904,EUR,USER018
100,1000,100000017,2025,RE,20250121,20250121,EUR,USER006
100,1000,100000018,2022,DR,20221228,20221228,EUR,USER022
100,1000,100000019,2025,AB,20250531,20250531,EUR,USER007
100,1000,100000020,2023,KR,20230813,20230813,EUR,USER004
100,1000,100000021,2024,RE,20240911,20240911,EUR,USER018
100,1000,100000022,2024,SA,20240908,20240908,EUR,USER003
100,1000,100000023,2024,RN,20241103,20241103,EUR,USER011
100,1000,100000024,2023,KR,20231017,20231017,EUR,USER003
100,1000,100000025,2022,RE,20220506,20220506,EUR,USER049
100,1000,100000026,2023,DR,20231031,20231031,EUR,USER042
100,1000,100000027,2023,SA,20230718,20230718,EUR,USER050
100,1000,100000028,2024,KR,20240913,20240913,EUR,USER023
100,1000,100000029,2025,RE,20250401,20250401,EUR,USER030
100,1000,100000030,2024,RE,20241024,20241024,EUR,USER037
100,1000,100000031,2022,DR,20220506,20220506,EUR,USER040
100,1000,100000032,2024,AB,20240330,20240330,EUR,USER033
100,1000,100000033,2023,KR,20230604,20230604,EUR,USER011
100,1000,100000034,2023,AB,20230802,20230802,EUR,USER005
100,1000,100000035,2025,DR,20250203,20250203,EUR,USER030
100,1000,100000036,2024,AB,20240614,20240614,EUR,USER042
100,1000,100000037,2025,DR,20250828,20250828,EUR,USER038
100,1000,100000038,2022,SA,20220514,20220514,EUR,USER018
100,1000,100000039,2024,RN,20240818,20240818,EUR,USER031
100,1000,100000040,2023,AB,20230820,20230820,EUR,USER047
100,1000,100000041,2025,AB,20251010,20251010,EUR,USER040
100,1000,100000042,2023,AB,20230923,20230923,EUR,USER002
100,1000,100000043,2025,DR,20250213,20250213,EUR,USER015
100,1000,100000044,2024,AB,20240324,20240324,EUR,USER023
100,1000,100000045,2022,RE,20221111,20221111,EUR,USER005
100,1000,100000046,2024,SA,20240514,20240514,EUR,USER031
100,1000,100000047,2024,DR,20240413,20240413,EUR,USER037
100,1000,100000048,2024,RN,20240103,20240103,EUR,USER036
100,1000,100000049,2023,RN,20231026,20231026,EUR,USER014
100,1000,100000050,2024,AB,20240407,20240407,EUR,USER005
100,1000,100000051,2024,SA,20240821,20240821,EUR,USER020
100,1000,100000052,2023,KR,20230714,20230714,EUR,USER030
100,1000,100000053,2024,RE,20240524,20240524,EUR,USER028
100,1000,100000054,2024,KR,20241026,20241026,EUR,USER017
100,1000,100000055,2024,RE,20240228,20240228,EUR,USER016
100,1000,100000056,2025,KR,20251029,20251029,EUR,USER045
100,1000,100000057,2022,AB,20220901,20220901,EUR,USER002
100,1000,100000058,2025,DR,20250826,20250826,EUR,USER028
100,1000,100000059,2024,RN,20240815,20240815,EUR,USER005
100,1000,100000060,2023,KR,20230911,20230911,EUR,USER040
100,1000,100000061,2022,SA,20221030,20221030,EUR,USER003
100,1000,100000062,2025,KR,20250409,20250409,EUR,USER036
100,1000,100000063,2022,AB,20220314,20220314,EUR,USER007
100,1000,100000064,2023,DR,20230113,20230113,EUR,USER030
100,1000,100000065,2023,RE,20230817,20230817,EUR,USER002
100,1000,100000066,2025,AB,20250421,20250421,EUR,USER002
100,1000,100000067,2022,SA,20220205,20220205,EUR,USER006
100,1000,100000068,2025,RN,20251201,20251201,EUR,USER042
100,1000,100000069,2025,KR,20250305,20250305,EUR,USER027
100,1000,100000070,2025,RE,20250408,20250408,EUR,USER032
100,1000,100000071,2025,DR,20250116,20250116,EUR,USER038
100,1000,100000072,2023,KR,20231202,20231202,EUR,USER009
100,1000,100000073,2023,DR,20230318,20230318,EUR,USER017
