MANDT,BUKRS,KUNNR,UMSKS,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000371,,20241231,0010000000,2023,0010000000,685.01,EUR
100,2000,0000000228,,20240414,0010000001,2024,0010000001,1851.22,EUR
100,1000,0000000457,,20241222,0010000002,2023,0010000002,3558.09,EUR
100,2000,0000000255,,20240823,0010000003,2024,0010000003,794.6,EUR
100,1000,0000000131,,20221023,0010000004,2023,0010000004,2035.76,EUR
100,2000,0000000407,,20220501,0010000005,2024,0010000005,2248.12,EUR
100,1000,0000000420,,20240731,0010000006,2023,0010000006,333.91,EUR
100,2000,0000000246,,20230714,0010000007,2024,0010000007,154.46,EUR
100,1000,0000000398,,20231105,0010000008,2023,0010000008,1223.56,EUR
100,2000,0000000421,,20230320,0010000009,2024,0010000009,596.24,EUR
100,1000,0000000009,,20220315,0010000010,2023,0010000010,4437.85,EUR
100,2000,0000000086,,20240715,0010000011,2024,0010000011,615.57,EUR
100,1000,0000000023,,20240113,0010000012,2023,0010000012,4576.67,EUR
100,2000,0000000043,,20240229,0010000013,2024,0010000013,654.73,EUR
100,1000,0000000450,,20221227,0010000014,2023,0010000014,242.08,EUR
100,2000,0000000070,,20240430,0010000015,2024,0010000015,830.05,EUR
100,1000,0000000449,,20230124,0010000016,2023,0010000016,3612.84,EUR
100,2000,0000000100,,20220715,0010000017,2024,0010000017,2453.4,EUR
100,1000,0000000131,,20230904,0010000018,2023,0010000018,2712.83,EUR
100,2000,0000000347,,20220802,0010000019,2024,0010000019,3654.17,EUR
100,1000,0000000424,,20230105,0010000020,2023,0010000020,445.56,EUR
100,2000,0000000040,,20241217,0010000021,2024,0010000021,584.74,EUR
100,1000,0000000492,,20230706,0010000022,2023,0010000022,4511.88,EUR
100,2000,0000000033,,20240812,0010000023,2024,0010000023,418.1,EUR
100,1000,0000000176,,20220323,0010000024,2023,0010000024,3735.32,EUR
100,2000,0000000050,,20220911,0010000025,2024,0010000025,2783.95,EUR
100,1000,0000000059,,20231104,0010000026,2023,0010000026,2513.96,EUR
100,2000,0000000358,,20231006,0010000027,2024,0010000027,2960.03,EUR
100,1000,0000000137,,20240716,0010000028,2023,0010000028,2786.48,EUR
100,2000,0000000155,,20240916,0010000029,2024,0010000029,3337.5,EUR
100,1000,0000000170,,20230916,0010000030,2023,0010000030,1697.09,EUR
100,2000,0000000049,,20230208,0010000031,2024,0010000031,688.72,EUR
100,1000,0000000182,,20230623,0010000032,2023,0010000032,4313.77,EUR
100,2000,0000000279,,20230117,0010000033,2024,0010000033,2092.74,EUR
100,1000,0000000451,,20240116,0010000034,2023,0010000034,406.57,EUR
100,2000,0000000146,,20240226,0010000035,2024,0010000035,747.63,EUR
100,1000,0000000227,,20230816,0010000036,2023,0010000036,4633.92,EUR
100,2000,0000000388,,20221217,0010000037,2024,0010000037,2261.54,EUR
100,1000,0000000341,,20240829,0010000038,2023,0010000038,1943.66,EUR
100,2000,0000000301,,20220116,0010000039,2024,0010000039,1320.48,EUR
100,1000,0000000376,,20230523,0010000040,2023,0010000040,3885.57,EUR
100,2000,0000000485,,20221129,0010000041,2024,0010000041,1931.42,EUR
100,1000,0000000255,,20240223,0010000042,2023,0010000042,1085.97,EUR
100,2000,0000000420,,20221126,0010000043,2024,0010000043,2191.08,EUR
100,1000,0000000008,,20240315,0010000044,2023,0010000044,633.96,EUR
100,2000,0000000436,,20240306,0010000045,2024,0010000045,2916.5,EUR
100,1000,0000000234,,20230410,0010000046,2023,0010000046,3479.63,EUR
100,2000,0000000092,,20240815,0010000047,2024,0010000047,2403.56,EUR
100,1000,0000000238,,20240801,0010000048,2023,0010000048,3381.84,EUR
100,2000,0000000198,,20220813,0010000049,2024,0010000049,1927.43,EUR
100,1000,0000000150,,20230808,0010000050,2023,0010000050,2877.13,EUR
100,2000,0000000450,,20241106,0010000051,2024,0010000051,3080.35,EUR
100,1000,0000000341,,20221105,0010000052,2023,0010000052,2363.52,EUR
100,2000,0000000443,,20230725,0010000053,2024,0010000053,1759.69,EUR
100,1000,0000000215,,20220804,0010000054,2023,0010000054,1566.35,EUR
100,2000,0000000257,,20240805,0010000055,2024,0010000055,3092.34,EUR
100,1000,0000000192,,20230515,0010000056,2023,0010000056,3458.21,EUR
100,2000,0000000101,,20220705,0010000057,2024,0010000057,3797.12,EUR
100,1000,0000000304,,20220911,0010000058,2023,0010000058,4206.6,EUR
100,2000,0000000054,,20220707,0010000059,2024,0010000059,232.39,EUR
100,1000,0000000025,,20220608,0010000060,2023,0010000060,3979.55,EUR
100,2000,0000000362,,20230719,0010000061,2024,0010000061,1711.61,EUR
100,1000,0000000492,,20230625,0010000062,2023,0010000062,2968.53,EUR
100,2000,0000000261,,20221031,0010000063,2024,0010000063,244.7,EUR
100,1000,0000000140,,20220610,0010000064,2023,0010000064,367.29,EUR
100,2000,0000000105,,20220720,0010000065,2024,0010000065,1634.95,EUR
100,1000,0000000321,,20230708,0010000066,2023,0010000066,4209.99,EUR
100,2000,0000000275,,20231112,0010000067,2024,0010000067,3796.05,EUR
100,1000,0000000094,,20220402,0010000068,2023,0010000068,1830.82,EUR
100,2000,0000000125,,20241230,0010000069,2024,0010000069,735.01,EUR
100,1000,0000000020,,20230219,0010000070,2023,0010000070,1104.38,EUR
100,2000,0000000002,,20220131,0010000071,2024,0010000071,232.08,EUR
100,1000,0000000277,,20240818,0010000072,2023,0010000072,1037.16,EUR
100,2000,0000000401,,20230203,0010000073,2024,0010000073,4348.5,EUR
100,1000,0000000202,,20220909,0010000074,2023,0010000074,4300.22,EUR
100,2000,0000000359,,20220312,0010000075,2024,0010000075,3083.67,EUR
100,1000,0000000249,,20221209,0010000076,2023,0010000076,4814.84,EUR
100,2000,0000000040,,20230328,0010000077,2024,0010000077,3629.44,EUR
100,1000,0000000032,,20230609,0010000078,2023,0010000078,3995.88,EUR
100,2000,0000000282,,20220530,0010000079,2024,0010000079,2212.77,EUR
100,1000,0000000048,,20240428,0010000080,2023,0010000080,4048.78,EUR
100,2000,0000000282,,20220920,0010000081,2024,0010000081,4232.28,EUR
100,1000,0000000188,,20220912,0010000082,2023,0010000082,936.43,EUR
100,2000,0000000479,,20240720,0010000083,2024,0010000083,393.21,EUR
100,1000,0000000317,,20220824,0010000084,2023,0010000084,1500.24,EUR
100,2000,0000000034,,20230221,0010000085,2024,0010000085,4464.86,EUR
100,1000,0000000156,,20240308,0010000086,2023,0010000086,459.64,EUR
100,2000,0000000114,,20221224,0010000087,2024,0010000087,4601.59,EUR
100,1000,0000000090,,20240517,0010000088,2023,0010000088,1402.22,EUR
100,2000,0000000021,,20221124,0010000089,2024,0010000089,3329.49,EUR
100,1000,0000000185,,20240205,0010000090,2023,0010000090,3317.7,EUR
100,2000,0000000181,,20240512,0010000091,2024,0010000091,3652.51,EUR
100,1000,0000000045,,20220514,0010000092,2023,0010000092,3208.66,EUR
100,2000,0000000441,,20230216,0010000093,2024,0010000093,4782.66,EUR
100,1000,0000000086,,20220817,0010000094,2023,0010000094,4736.36,EUR
100,2000,0000000017,,20230623,0010000095,2024,0010000095,3104.14,EUR
100,1000,0000000051,,20230211,0010000096,2023,0010000096,4789.6,EUR
100,2000,0000000172,,20241210,0010000097,2024,0010000097,3993.05,EUR
100,1000,0000000278,,20240527,0010000098,2023,0010000098,795.19,EUR
100,2000,0000000264,,20230605,0010000099,2024,0010000099,1275.24,EUR
100,1000,0000000281,,20240817,0010000100,2023,0010000100,804.77,EUR
100,2000,0000000296,,20230319,0010000101,2024,0010000101,4799.44,EUR
100,1000,0000000323,,20240423,0010000102,2023,0010000102,2858.66,EUR
100,2000,0000000458,,20220620,0010000103,2024,0010000103,3157.26,EUR
100,1000,0000000124,,20241017,0010000104,2023,0010000104,4776.96,EUR
100,2000,0000000141,,20220423,0010000105,2024,0010000105,3138.5,EUR
100,1000,0000000118,,20221113,0010000106,2023,0010000106,4364.79,EUR
100,2000,0000000121,,20220920,0010000107,2024,0010000107,4982.2,EUR
100,1000,0000000207,,20220423,0010000108,2023,0010000108,4043.19,EUR
100,2000,0000000283,,20220330,0010000109,2024,0010000109,875.01,EUR
100,1000,0000000037,,20240130,0010000110,2023,0010000110,1220.99,EUR
100,2000,0000000050,,20230524,0010000111,2024,0010000111,3400.84,EUR
100,1000,0000000425,,20240712,0010000112,2023,0010000112,999.59,EUR
100,2000,0000000201,,20240401,0010000113,2024,0010000113,3046.96,EUR
100,1000,0000000206,,20230905,0010000114,2023,0010000114,4181.31,EUR
