MANDT,BUKRS,LIFNR,UMSKS,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000079,,20220912,0010000000,2023,0010000000,2520.28,EUR
100,2000,0000000102,,20230530,0010000001,2024,0010000001,1433.55,EUR
100,1000,0000000058,,20240909,0010000002,2023,0010000002,179.2,EUR
100,2000,0000000031,,20240422,0010000003,2024,0010000003,1124.26,EUR
100,1000,0000000173,,20241115,0010000004,2023,0010000004,2631.58,EUR
100,2000,0000000110,,20240206,0010000005,2024,0010000005,1244.51,EUR
100,1000,0000000067,,20220223,0010000006,2023,0010000006,3637.65,EUR
100,2000,0000000065,,20241224,0010000007,2024,0010000007,418.84,EUR
100,1000,0000000198,,20221111,0010000008,2023,0010000008,3294.89,EUR
100,2000,0000000140,,20220609,0010000009,2024,0010000009,1367.57,EUR
100,1000,0000000144,,20220730,0010000010,2023,0010000010,2904.68,EUR
100,2000,0000000035,,20240523,0010000011,2024,0010000011,4583.79,EUR
100,1000,0000000056,,20221002,0010000012,2023,0010000012,3230.01,EUR
100,2000,0000000097,,20241108,0010000013,2024,0010000013,2018.99,EUR
100,1000,0000000050,,20220302,0010000014,2023,0010000014,193.2,EUR
100,2000,0000000181,,20230522,0010000015,2024,0010000015,2183.99,EUR
100,1000,0000000055,,20230818,0010000016,2023,0010000016,1633.86,EUR
100,2000,0000000065,,20221010,0010000017,2024,0010000017,896.4,EUR
100,1000,0000000126,,20240723,0010000018,2023,0010000018,2900.67,EUR
100,2000,0000000167,,20240914,0010000019,2024,0010000019,2808.16,EUR
100,1000,0000000187,,20220129,0010000020,2023,0010000020,949.0,EUR
100,2000,0000000105,,20220516,0010000021,2024,0010000021,1659.61,EUR
100,1000,0000000147,,20240608,0010000022,2023,0010000022,1340.34,EUR
100,2000,0000000112,,20221213,0010000023,2024,0010000023,278.08,EUR
100,1000,0000000136,,20221026,0010000024,2023,0010000024,3473.81,EUR
100,2000,0000000092,,20240611,0010000025,2024,0010000025,1227.76,EUR
100,1000,0000000032,,20240625,0010000026,2023,0010000026,1664.69,EUR
100,2000,0000000117,,20230404,0010000027,2024,0010000027,3037.2,EUR
100,1000,0000000176,,20221117,0010000028,2023,0010000028,1701.9,EUR
100,2000,0000000168,,20220415,0010000029,2024,0010000029,4906.29,EUR
100,1000,0000000105,,20230630,0010000030,2023,0010000030,4742.95,EUR
100,2000,0000000107,,20241203,0010000031,2024,0010000031,4719.13,EUR
100,1000,0000000198,,20230911,0010000032,2023,0010000032,1018.12,EUR
100,2000,0000000104,,20240316,0010000033,2024,0010000033,613.89,EUR
100,1000,0000000057,,20220804,0010000034,2023,0010000034,3869.19,EUR
100,2000,0000000054,,20221110,0010000035,2024,0010000035,2961.63,EUR
100,1000,0000000050,,20220614,0010000036,2023,0010000036,1377.32,EUR
100,2000,0000000051,,20230117,0010000037,2024,0010000037,4573.01,EUR
100,1000,0000000029,,20221219,0010000038,2023,0010000038,4351.75,EUR
100,2000,0000000134,,20231111,0010000039,2024,0010000039,302.05,EUR
100,1000,0000000168,,20230809,0010000040,2023,0010000040,4366.5,EUR
100,2000,0000000200,,20220216,0010000041,2024,0010000041,3375.32,EUR
100,1000,0000000185,,20220424,0010000042,2023,0010000042,459.78,EUR
100,2000,0000000073,,20220717,0010000043,2024,0010000043,4420.86,EUR
100,1000,0000000087,,20231225,0010000044,2023,0010000044,2099.4,EUR
100,2000,0000000146,,20240119,0010000045,2024,0010000045,4789.33,EUR
100,1000,0000000128,,20220211,0010000046,2023,0010000046,3530.93,EUR
100,2000,0000000021,,20220416,0010000047,2024,0010000047,4814.19,EUR
100,1000,0000000167,,20220509,0010000048,2023,0010000048,315.48,EUR
100,2000,0000000127,,20220910,0010000049,2024,0010000049,1566.95,EUR
100,1000,0000000033,,20220308,0010000050,2023,0010000050,3575.78,EUR
100,2000,0000000071,,20240507,0010000051,2024,0010000051,2724.28,EUR
100,1000,0000000070,,20220228,0010000052,2023,0010000052,105.93,EUR
100,2000,0000000109,,20240519,0010000053,2024,0010000053,1801.61,EUR
100,1000,0000000198,,20230618,0010000054,2023,0010000054,4161.96,EUR
100,2000,0000000116,,20230125,0010000055,2024,0010000055,3311.92,EUR
100,1000,0000000033,,20240228,0010000056,2023,0010000056,4786.03,EUR
100,2000,0000000079,,20221018,0010000057,2024,0010000057,1453.5,EUR
100,1000,0000000143,,20240217,0010000058,2023,0010000058,2237.36,EUR
100,2000,0000000093,,20220718,0010000059,2024,0010000059,4686.55,EUR
100,1000,0000000017,,20240717,0010000060,2023,0010000060,459.88,EUR
100,2000,0000000164,,20230527,0010000061,2024,0010000061,4285.4,EUR
100,1000,0000000004,,20240204,0010000062,2023,0010000062,1999.81,EUR
100,2000,0000000080,,20240330,0010000063,2024,0010000063,572.15,EUR
100,1000,0000000191,,20231206,0010000064,2023,0010000064,1902.51,EUR
