MANDT,BUKRS,HKONT,AUGDT,AUGBL,GJAHR,BELNR,DMBTR,WAERS
100,1000,100000,20221105,0010000000,2023,0010000000,3113.27,EUR
100,2000,100001,20240316,0010000001,2024,0010000001,956.52,EUR
100,1000,100002,20231107,0010000002,2023,0010000002,573.79,EUR
100,2000,100003,20220828,0010000003,2024,0010000003,3273.28,EUR
100,1000,100004,20220528,0010000004,2023,0010000004,2407.06,EUR
100,2000,100005,20240822,0010000005,2024,0010000005,2389.47,EUR
100,1000,100006,20241102,0010000006,2023,0010000006,4152.9,EUR
100,2000,100007,20240326,0010000007,2024,0010000007,4349.96,EUR
100,1000,100008,20220813,0010000008,2023,0010000008,220.83,EUR
100,2000,100009,20230724,0010000009,2024,0010000009,840.52,EUR
100,1000,100010,20220501,0010000010,2023,0010000010,3430.51,EUR
100,2000,100011,20220428,0010000011,2024,0010000011,4335.38,EUR
100,1000,100012,20230708,0010000012,2023,0010000012,1362.9,EUR
100,2000,100013,20220820,0010000013,2024,0010000013,523.67,EUR
100,1000,100014,20230601,0010000014,2023,0010000014,1273.73,EUR
100,2000,100015,20240214,0010000015,2024,0010000015,2429.31,EUR
100,1000,100016,20241126,0010000016,2023,0010000016,426.9,EUR
100,2000,100017,20231214,0010000017,2024,0010000017,1520.88,EUR
100,1000,100018,20220719,0010000018,2023,0010000018,518.55,EUR
100,2000,100019,20230414,0010000019,2024,0010000019,180.54,EUR
100,1000,100020,20230907,0010000020,2023,0010000020,2038.64,EUR
100,2000,100021,20240623,0010000021,2024,0010000021,2703.04,EUR
100,1000,100022,20231105,0010000022,2023,0010000022,1015.16,EUR
100,2000,100023,20241220,0010000023,2024,0010000023,2504.99,EUR
100,1000,100024,20221025,0010000024,2023,0010000024,4138.64,EUR
100,2000,100025,20230724,0010000025,2024,0010000025,2742.68,EUR
100,1000,100026,20240622,0010000026,2023,0010000026,4950.32,EUR
100,2000,100027,20221002,0010000027,2024,0010000027,4344.3,EUR
100,1000,100028,20230725,0010000028,2023,0010000028,4365.6,EUR
100,2000,100029,20230815,0010000029,2024,0010000029,107.29,EUR
100,1000,100030,20220728,0010000030,2023,0010000030,3241.55,EUR
100,2000,100031,20220327,0010000031,2024,0010000031,566.41,EUR
100,1000,100032,20220319,0010000032,2023,0010000032,2442.09,EUR
100,2000,100033,20230618,0010000033,2024,0010000033,3994.94,EUR
100,1000,100034,20220125,0010000034,2023,0010000034,1172.11,EUR
100,2000,100035,20241210,0010000035,2024,0010000035,2453.51,EUR
100,1000,100036,20220416,0010000036,2023,0010000036,2103.65,EUR
100,2000,100037,20230507,0010000037,2024,0010000037,2729.95,EUR
100,1000,100038,20230725,0010000038,2023,0010000038,623.04,EUR
100,2000,100039,20221002,0010000039,2024,0010000039,145.26,EUR
100,1000,100040,20220324,0010000040,2023,0010000040,582.61,EUR
100,2000,100041,20241210,0010000041,2024,0010000041,3292.87,EUR
100,1000,100042,20240105,0010000042,2023,0010000042,2080.54,EUR
100,2000,100043,20241225,0010000043,2024,0010000043,2540.23,EUR
100,1000,100044,20220620,0010000044,2023,0010000044,820.07,EUR
100,2000,100045,20230625,0010000045,2024,0010000045,2802.32,EUR
100,1000,100046,20240314,0010000046,2023,0010000046,4332.09,EUR
100,2000,100047,20230129,0010000047,2024,0010000047,2300.63,EUR
100,1000,100048,20220810,0010000048,2023,0010000048,596.32,EUR
100,2000,100049,20230924,0010000049,2024,0010000049,1594.68,EUR
100,1000,100050,20221208,0010000050,2023,0010000050,4156.31,EUR
100,2000,100051,20230812,0010000051,2024,0010000051,1653.56,EUR
100,1000,100052,20240829,0010000052,2023,0010000052,720.12,EUR
100,2000,100053,20220920,0010000053,2024,0010000053,1235.05,EUR
100,1000,100054,20240502,0010000054,2023,0010000054,4438.23,EUR
100,2000,100055,20240808,0010000055,2024,0010000055,1081.17,EUR
100,1000,100056,20240121,0010000056,2023,0010000056,1265.26,EUR
100,2000,100057,20240303,0010000057,2024,0010000057,568.7,EUR
100,1000,100058,20230528,0010000058,2023,0010000058,4052.27,EUR
100,2000,100059,20220510,0010000059,2024,0010000059,3551.87,EUR
100,1000,100060,20231009,0010000060,2023,0010000060,2407.36,EUR
100,2000,100061,20220710,0010000061,2024,0010000061,1223.75,EUR
100,1000,100062,20230922,0010000062,2023,0010000062,2370.15,EUR
100,2000,100063,20240226,0010000063,2024,0010000063,4179.27,EUR
100,1000,100064,20220428,0010000064,2023,0010000064,1854.31,EUR
100,2000,100065,20240331,0010000065,2024,0010000065,2064.8,EUR
100,1000,100066,20241008,0010000066,2023,0010000066,2301.67,EUR
100,2000,100067,20240405,0010000067,2024,0010000067,2486.07,EUR
100,1000,100068,20221028,0010000068,2023,0010000068,4150.29,EUR
100,2000,100069,20230620,0010000069,2024,0010000069,2147.02,EUR
100,1000,100070,20220429,0010000070,2023,0010000070,333.55,EUR
100,2000,100071,20240928,0010000071,2024,0010000071,2268.68,EUR
100,1000,100072,20231127,0010000072,2023,0010000072,4299.45,EUR
100,2000,100073,20230120,0010000073,2024,0010000073,1258.36,EUR
100,1000,100074,20220918,0010000074,2023,0010000074,3985.11,EUR
100,2000,100075,20220518,0010000075,2024,0010000075,3659.37,EUR
100,1000,100076,20230110,0010000076,2023,0010000076,4095.61,EUR
100,2000,100077,20241210,0010000077,2024,0010000077,4342.17,EUR
100,1000,100078,20220418,0010000078,2023,0010000078,3427.44,EUR
100,2000,100079,20230410,0010000079,2024,0010000079,734.5,EUR
100,1000,100080,20221224,0010000080,2023,0010000080,2073.73,EUR
