MANDT,BUKRS,KUNNR,UMSKS,BUDAT,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000342,,20231126,2023,0010000000,4902.01,EUR
100,2000,0000000476,,20240407,2024,0010000001,2940.22,EUR
100,1000,0000000111,,20230214,2023,0010000002,1853.18,EUR
100,2000,0000000105,,20220517,2024,0010000003,2705.97,EUR
100,1000,0000000177,,20240529,2023,0010000004,2896.85,EUR
100,2000,0000000258,,20220327,2024,0010000005,721.79,EUR
100,1000,0000000265,,20240503,2023,0010000006,1138.25,EUR
100,2000,0000000139,,20220916,2024,0010000007,3194.23,EUR
100,1000,0000000259,,20220218,2023,0010000008,2839.67,EUR
100,2000,0000000100,,20240122,2024,0010000009,4305.76,EUR
100,1000,0000000165,,20221006,2023,0010000010,3530.48,EUR
100,2000,0000000129,,20230919,2024,0010000011,4065.68,EUR
100,1000,0000000051,,20230327,2023,0010000012,3714.86,EUR
100,2000,0000000254,,20240320,2024,0010000013,4405.09,EUR
100,1000,0000000264,,20230704,2023,0010000014,2257.09,EUR
100,2000,0000000156,,20230415,2024,0010000015,4293.46,EUR
100,1000,0000000277,,20230928,2023,0010000016,1763.36,EUR
100,2000,0000000133,,20230802,2024,0010000017,2741.43,EUR
100,1000,0000000045,,20240721,2023,0010000018,2235.79,EUR
100,2000,0000000013,,20220616,2024,0010000019,4015.9,EUR
100,1000,0000000489,,20231008,2023,0010000020,453.62,EUR
100,2000,0000000391,,20230418,2024,0010000021,2048.37,EUR
100,1000,0000000300,,20230115,2023,0010000022,3313.59,EUR
100,2000,0000000060,,20240218,2024,0010000023,190.68,EUR
100,1000,0000000426,,20220410,2023,0010000024,2047.61,EUR
100,2000,0000000307,,20231027,2024,0010000025,2498.99,EUR
100,1000,0000000485,,20221201,2023,0010000026,2815.39,EUR
100,2000,0000000326,,20241114,2024,0010000027,204.27,EUR
100,1000,0000000215,,20240920,2023,0010000028,1350.45,EUR
100,2000,0000000015,,20241211,2024,0010000029,1835.52,EUR
100,1000,0000000237,,20241010,2023,0010000030,4514.93,EUR
100,2000,0000000356,,20240407,2024,0010000031,1504.48,EUR
100,1000,0000000048,,20240710,2023,0010000032,902.12,EUR
100,2000,0000000192,,20230829,2024,0010000033,451.27,EUR
100,1000,0000000202,,20220710,2023,0010000034,3138.62,EUR
100,2000,0000000348,,20220422,2024,0010000035,4511.7,EUR
100,1000,0000000270,,20240509,2023,0010000036,2511.85,EUR
100,2000,0000000152,,20230531,2024,0010000037,3428.16,EUR
100,1000,0000000170,,20230601,2023,0010000038,821.89,EUR
100,2000,0000000176,,20240910,2024,0010000039,234.82,EUR
100,1000,0000000085,,20240816,2023,0010000040,3923.9,EUR
100,2000,0000000105,,20241216,2024,0010000041,2165.67,EUR
100,1000,0000000211,,20230217,2023,0010000042,137.8,EUR
100,2000,0000000467,,20230313,2024,0010000043,1521.52,EUR
100,1000,0000000205,,20240825,2023,0010000044,2130.56,EUR
100,2000,0000000412,,20231023,2024,0010000045,2469.29,EUR
100,1000,0000000455,,20240117,2023,0010000046,1978.42,EUR
100,2000,0000000334,,20240420,2024,0010000047,2906.97,EUR
100,1000,0000000031,,20241222,2023,0010000048,3504.82,EUR
100,2000,0000000291,,20230717,2024,0010000049,560.57,EUR
100,1000,0000000279,,20220310,2023,0010000050,4675.47,EUR
100,2000,0000000477,,20240208,2024,0010000051,3750.09,EUR
100,1000,0000000065,,20221001,2023,0010000052,1352.33,EUR
100,2000,0000000349,,20220908,2024,0010000053,4162.41,EUR
100,1000,0000000134,,20241002,2023,0010000054,127.13,EUR
100,2000,0000000476,,20220617,2024,0010000055,4072.58,EUR
100,1000,0000000298,,20240106,2023,0010000056,4607.07,EUR
100,2000,0000000207,,20220709,2024,0010000057,3343.34,EUR
100,1000,0000000023,,20241212,2023,0010000058,838.72,EUR
100,2000,0000000251,,20231202,2024,0010000059,464.49,EUR
100,1000,0000000325,,20230227,2023,0010000060,4660.75,EUR
100,2000,0000000421,,20241009,2024,0010000061,4601.21,EUR
100,1000,0000000262,,20230811,2023,0010000062,3824.34,EUR
100,2000,0000000228,,20230207,2024,0010000063,4753.99,EUR
100,1000,0000000390,,20220528,2023,0010000064,4065.97,EUR
100,2000,0000000011,,20240920,2024,0010000065,4397.92,EUR
100,1000,0000000191,,20230530,2023,0010000066,267.35,EUR
100,2000,0000000016,,20220327,2024,0010000067,2507.47,EUR
100,1000,0000000089,,20231207,2023,0010000068,2494.01,EUR
100,2000,0000000232,,20230907,2024,0010000069,3592.23,EUR
100,1000,0000000082,,20221026,2023,0010000070,3785.56,EUR
100,2000,0000000137,,20230317,2024,0010000071,424.95,EUR
