MANDT,BUKRS,LIFNR,UMSKS,BUDAT,GJAHR,BELNR,DMBTR,WAERS
100,1000,0000000044,,20240630,2023,0010000000,3281.88,EUR
100,2000,0000000032,,20240429,2024,0010000001,4547.16,EUR
100,1000,0000000016,,20220124,2023,0010000002,4275.01,EUR
100,2000,0000000115,,20240504,2024,0010000003,3631.19,EUR
100,1000,0000000197,,20240214,2023,0010000004,2117.22,EUR
100,2000,0000000004,,20220305,2024,0010000005,4218.53,EUR
100,1000,0000000193,,20230828,2023,0010000006,3932.44,EUR
100,2000,0000000189,,20220720,2024,0010000007,1236.65,EUR
100,1000,0000000007,,20230806,2023,0010000008,1969.45,EUR
100,2000,0000000054,,20220811,2024,0010000009,3534.07,EUR
100,1000,0000000050,,20241021,2023,0010000010,4815.92,EUR
100,2000,0000000159,,20220610,2024,0010000011,4591.58,EUR
100,1000,0000000098,,20221226,2023,0010000012,2100.38,EUR
100,2000,0000000120,,20220620,2024,0010000013,219.17,EUR
100,1000,0000000175,,20221024,2023,0010000014,3881.5,EUR
100,2000,0000000073,,20221222,2024,0010000015,1153.78,EUR
100,1000,0000000160,,20220617,2023,0010000016,883.29,EUR
100,2000,0000000086,,20231228,2024,0010000017,704.63,EUR
100,1000,0000000127,,20240430,2023,0010000018,4837.75,EUR
100,2000,0000000002,,20241003,2024,0010000019,604.02,EUR
100,1000,0000000067,,20230821,2023,0010000020,4712.92,EUR
100,2000,0000000055,,20240127,2024,0010000021,3935.34,EUR
100,1000,0000000045,,20220204,2023,0010000022,3838.59,EUR
100,2000,0000000176,,20220927,2024,0010000023,3564.69,EUR
100,1000,0000000125,,20220906,2023,0010000024,161.24,EUR
100,2000,0000000035,,20230531,2024,0010000025,4731.0,EUR
100,1000,0000000119,,20220502,2023,0010000026,312.58,EUR
100,2000,0000000109,,20240228,2024,0010000027,1324.67,EUR
100,1000,0000000003,,20240909,2023,0010000028,1071.4,EUR
100,2000,0000000097,,20240818,2024,0010000029,2686.51,EUR
100,1000,0000000199,,20240717,2023,0010000030,341.21,EUR
100,2000,0000000067,,20230515,2024,0010000031,701.35,EUR
100,1000,0000000044,,20240524,2023,0010000032,1705.25,EUR
100,2000,0000000137,,20220324,2024,0010000033,938.09,EUR
100,1000,0000000111,,20221009,2023,0010000034,3967.78,EUR
100,2000,0000000047,,20241227,2024,0010000035,887.94,EUR
100,1000,0000000049,,20230524,2023,0010000036,4998.44,EUR
100,2000,0000000067,,20220901,2024,0010000037,1601.2,EUR
100,1000,0000000161,,20240113,2023,0010000038,2997.86,EUR
100,2000,0000000118,,20230731,2024,0010000039,2769.33,EUR
100,1000,0000000161,,20240121,2023,0010000040,4336.48,EUR
100,2000,0000000167,,20230501,2024,0010000041,2228.38,EUR
100,1000,0000000056,,20230130,2023,0010000042,3996.6,EUR
100,2000,0000000046,,20221030,2024,0010000043,4329.2,EUR
100,1000,0000000091,,20230331,2023,0010000044,4515.94,EUR
100,2000,0000000200,,20241225,2024,0010000045,3834.41,EUR
100,1000,0000000095,,20230926,2023,0010000046,1635.32,EUR
100,2000,0000000116,,20221230,2024,0010000047,3116.71,EUR
100,1000,0000000138,,20231209,2023,0010000048,2690.51,EUR
100,2000,0000000027,,20240116,2024,0010000049,846.54,EUR
100,1000,0000000016,,20220224,2023,0010000050,2711.75,EUR
100,2000,0000000173,,20220331,2024,0010000051,307.6,EUR
100,1000,0000000028,,20220624,2023,0010000052,3627.49,EUR
100,2000,0000000004,,20230202,2024,0010000053,2492.4,EUR
100,1000,0000000157,,20230927,2023,0010000054,3316.06,EUR
100,2000,0000000188,,20230523,2024,0010000055,2107.58,EUR
100,1000,0000000110,,20240820,2023,0010000056,2032.59,EUR
100,2000,0000000073,,20230714,2024,0010000057,1526.62,EUR
100,1000,0000000034,,20220510,2023,0010000058,746.61,EUR
100,2000,0000000033,,20220915,2024,0010000059,2768.35,EUR
100,1000,0000000080,,20220505,2023,0010000060,1479.56,EUR
100,2000,0000000125,,20230720,2024,0010000061,3547.71,EUR
100,1000,0000000025,,20241213,2023,0010000062,4148.49,EUR
100,2000,0000000097,,20240127,2024,0010000063,1815.71,EUR
100,1000,0000000010,,20220519,2023,0010000064,2524.15,EUR
100,2000,0000000061,,20220901,2024,0010000065,2894.23,EUR
100,1000,0000000116,,20231103,2023,0010000066,196.26,EUR
100,2000,0000000031,,20241029,2024,0010000067,1401.55,EUR
100,1000,0000000028,,20220427,2023,0010000068,3844.55,EUR
100,2000,0000000100,,20240817,2024,0010000069,3944.31,EUR
100,1000,0000000077,,20240414,2023,0010000070,2027.74,EUR
100,2000,0000000113,,20230125,2024,0010000071,2947.41,EUR
100,1000,0000000025,,20240103,2023,0010000072,3578.04,EUR
100,2000,0000000131,,20231002,2024,0010000073,4348.44,EUR
100,1000,0000000034,,20240127,2023,0010000074,1599.24,EUR
100,2000,0000000075,,20220801,2024,0010000075,2893.51,EUR
100,1000,0000000186,,20241130,2023,0010000076,831.14,EUR
100,2000,0000000167,,20240303,2024,0010000077,3672.73,EUR
100,1000,0000000137,,20231026,2023,0010000078,4097.67,EUR
100,2000,0000000123,,20230925,2024,0010000079,334.8,EUR
100,1000,0000000007,,20230905,2023,0010000080,2398.43,EUR
100,2000,0000000179,,20220805,2024,0010000081,3172.2,EUR
100,1000,0000000002,,20240818,2023,0010000082,4619.56,EUR
100,2000,0000000056,,20240608,2024,0010000083,3630.26,EUR
100,1000,0000000056,,20230905,2023,0010000084,2074.87,EUR
100,2000,0000000118,,20231013,2024,0010000085,2904.52,EUR
100,1000,0000000096,,20231028,2023,0010000086,3806.48,EUR
100,2000,0000000165,,20230618,2024,0010000087,4676.46,EUR
100,1000,0000000110,,20240701,2023,0010000088,3247.27,EUR
100,2000,0000000080,,20240212,2024,0010000089,510.16,EUR
100,1000,0000000082,,20230110,2023,0010000090,2504.56,EUR
100,2000,0000000113,,20230607,2024,0010000091,3697.2,EUR
100,1000,0000000048,,20240219,2023,0010000092,3213.16,EUR
100,2000,0000000083,,20220921,2024,0010000093,252.19,EUR
100,1000,0000000179,,20240514,2023,0010000094,4311.47,EUR
100,2000,0000000152,,20230515,2024,0010000095,1344.22,EUR
100,1000,0000000012,,20231210,2023,0010000096,504.86,EUR
100,2000,0000000121,,20221129,2024,0010000097,2087.74,EUR
100,1000,0000000148,,20240617,2023,0010000098,3297.43,EUR
100,2000,0000000092,,20230320,2024,0010000099,663.28,EUR
100,1000,0000000024,,20240801,2023,0010000100,1025.36,EUR
100,2000,0000000034,,20231122,2024,0010000101,3640.06,EUR
100,1000,0000000168,,20240617,2023,0010000102,3608.82,EUR
100,2000,0000000153,,20231221,2024,0010000103,4107.68,EUR
100,1000,0000000161,,20230727,2023,0010000104,3843.35,EUR
100,2000,0000000147,,20240204,2024,0010000105,4479.61,EUR
100,1000,0000000084,,20220606,2023,0010000106,3062.66,EUR
100,2000,0000000159,,20221028,2024,0010000107,267.78,EUR
100,1000,0000000183,,20240814,2023,0010000108,2369.26,EUR
100,2000,0000000091,,20220831,2024,0010000109,4629.83,EUR
100,1000,0000000013,,20240121,2023,0010000110,3830.38,EUR
100,2000,0000000053,,20230121,2024,0010000111,4719.43,EUR
100,1000,0000000012,,20241023,2023,0010000112,1450.13,EUR
100,2000,0000000048,,20240401,2024,0010000113,752.2,EUR
100,1000,0000000118,,20220224,2023,0010000114,1092.6,EUR
100,2000,0000000003,,20230823,2024,0010000115,1390.54,EUR
100,1000,0000000133,,20220624,2023,0010000116,2773.41,EUR
100,2000,0000000079,,20230815,2024,0010000117,2888.55,EUR
100,1000,0000000087,,20220717,2023,0010000118,2678.47,EUR
100,2000,0000000172,,20220723,2024,0010000119,4470.34,EUR
100,1000,0000000080,,20241215,2023,0010000120,2131.33,EUR
100,2000,0000000096,,20230930,2024,0010000121,3506.24,EUR
100,1000,0000000039,,20240325,2023,0010000122,3352.1,EUR
100,2000,0000000183,,20230610,2024,0010000123,3511.05,EUR
100,1000,0000000167,,20230126,2023,0010000124,3627.85,EUR
100,2000,0000000155,,20231219,2024,0010000125,1990.79,EUR
100,1000,0000000022,,20240919,2023,0010000126,1679.26,EUR
100,2000,0000000037,,20220201,2024,0010000127,2818.18,EUR
100,1000,0000000074,,20230218,2023,0010000128,3273.65,EUR
100,2000,0000000044,,20240409,2024,0010000129,3470.93,EUR
100,1000,0000000036,,20230512,2023,0010000130,1545.66,EUR
100,2000,0000000159,,20231102,2024,0010000131,749.64,EUR
100,1000,0000000029,,20240906,2023,0010000132,2551.12,EUR
100,2000,0000000003,,20220323,2024,0010000133,3349.64,EUR
100,1000,0000000031,,20231008,2023,0010000134,2875.47,EUR
100,2000,0000000199,,20240810,2024,0010000135,3526.46,EUR
100,1000,0000000085,,20220320,2023,0010000136,1178.29,EUR
100,2000,0000000002,,20241103,2024,0010000137,2653.83,EUR
100,1000,0000000073,,20231005,2023,0010000138,4972.75,EUR
100,2000,0000000121,,20231117,2024,0010000139,1280.48,EUR
100,1000,0000000150,,20240417,2023,0010000140,4198.51,EUR
100,2000,0000000169,,20241229,2024,0010000141,1733.77,EUR
100,1000,0000000037,,20231129,2023,0010000142,760.04,EUR
100,2000,0000000019,,20230116,2024,0010000143,3472.53,EUR
100,1000,0000000114,,20240601,2023,0010000144,1396.52,EUR
100,2000,0000000026,,20230507,2024,0010000145,4331.94,EUR
100,1000,0000000088,,20240615,2023,0010000146,830.89,EUR
100,2000,0000000070,,20221205,2024,0010000147,2933.33,EUR
100,1000,0000000081,,20231017,2023,0010000148,3701.46,EUR
100,2000,0000000071,,20231128,2024,0010000149,1244.11,EUR
100,1000,0000000092,,20220414,2023,0010000150,3095.84,EUR
100,2000,0000000113,,20240609,2024,0010000151,2780.33,EUR
100,1000,0000000156,,20230703,2023,0010000152,438.34,EUR
100,2000,0000000079,,20241108,2024,0010000153,3360.93,EUR
100,1000,0000000078,,20230214,2023,0010000154,2159.29,EUR
100,2000,0000000161,,20240615,2024,0010000155,4713.56,EUR
100,1000,0000000016,,20230316,2023,0010000156,2882.99,EUR
100,2000,0000000180,,20221023,2024,0010000157,2015.89,EUR
100,1000,0000000177,,20240312,2023,0010000158,1391.77,EUR
100,2000,0000000002,,20221103,2024,0010000159,2823.19,EUR
100,1000,0000000186,,20220718,2023,0010000160,801.67,EUR
100,2000,0000000044,,20220102,2024,0010000161,2821.18,EUR
100,1000,0000000101,,20240531,2023,0010000162,903.53,EUR
100,2000,0000000192,,20230625,2024,0010000163,3866.75,EUR
100,1000,0000000143,,20230505,2023,0010000164,3988.05,EUR
100,2000,0000000049,,20240317,2024,0010000165,161.8,EUR
100,1000,0000000102,,20241113,2023,0010000166,3708.41,EUR
100,2000,0000000064,,20221122,2024,0010000167,1282.65,EUR
100,1000,0000000134,,20221020,2023,0010000168,4010.07,EUR
100,2000,0000000178,,20241211,2024,0010000169,3339.33,EUR
100,1000,0000000135,,20221205,2023,0010000170,688.09,EUR
100,2000,0000000147,,20240820,2024,0010000171,3097.9,EUR
100,1000,0000000062,,20221007,2023,0010000172,4897.92,EUR
100,2000,0000000099,,20230903,2024,0010000173,4353.41,EUR
100,1000,0000000164,,20220522,2023,0010000174,3452.39,EUR
100,2000,0000000057,,20241224,2024,0010000175,1743.24,EUR
100,1000,0000000173,,20220507,2023,0010000176,2298.4,EUR
100,2000,0000000163,,20220426,2024,0010000177,2623.52,EUR
100,1000,0000000057,,20221211,2023,0010000178,996.32,EUR
100,2000,0000000129,,20230429,2024,0010000179,2169.11,EUR
100,1000,0000000125,,20221114,2023,0010000180,2564.71,EUR
100,2000,0000000179,,20231125,2024,0010000181,2859.12,EUR
100,1000,0000000093,,20221114,2023,0010000182,1039.69,EUR
100,2000,0000000143,,20231002,2024,0010000183,3149.56,EUR
100,1000,0000000168,,20220727,2023,0010000184,1298.92,EUR
100,2000,0000000127,,20240430,2024,0010000185,115.35,EUR
100,1000,0000000110,,20240605,2023,0010000186,553.0,EUR
100,2000,0000000131,,20241129,2024,0010000187,3728.21,EUR
100,1000,0000000112,,20230331,2023,0010000188,3349.24,EUR
100,2000,0000000151,,20220905,2024,0010000189,1678.24,EUR
100,1000,0000000156,,20230212,2023,0010000190,3787.06,EUR
100,2000,0000000099,,20230628,2024,0010000191,4962.62,EUR
100,1000,0000000188,,20220806,2023,0010000192,4666.73,EUR
100,2000,0000000081,,20240513,2024,0010000193,727.84,EUR
100,1000,0000000008,,20220322,2023,0010000194,4458.44,EUR
100,2000,0000000134,,20230331,2024,0010000195,1980.79,EUR
100,1000,0000000098,,20220804,2023,0010000196,3696.3,EUR
100,2000,0000000010,,20230525,2024,0010000197,4069.4,EUR
100,1000,0000000008,,20241023,2023,0010000198,4842.18,EUR
100,2000,0000000138,,20240219,2024,0010000199,4530.66,EUR
100,1000,0000000079,,20230502,2023,0010000200,3875.9,EUR
100,2000,0000000135,,20230704,2024,0010000201,3753.94,EUR
100,1000,0000000087,,20230128,2023,0010000202,1283.26,EUR
100,2000,0000000162,,20230531,2024,0010000203,4535.48,EUR
100,1000,0000000090,,20220409,2023,0010000204,3480.65,EUR
100,2000,0000000187,,20241125,2024,0010000205,1271.58,EUR
100,1000,0000000023,,20230315,2023,0010000206,3894.46,EUR
100,2000,0000000098,,20220212,2024,0010000207,2280.0,EUR
100,1000,0000000159,,20230711,2023,0010000208,2246.32,EUR
100,2000,0000000152,,20220309,2024,0010000209,426.75,EUR
