MANDT,OBJECTCLAS,OBJECTID,CHANGENR,USERNAME,UDATE,UTIME,TCODE
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,0000000001,USER000,20240228,034751,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,0000000002,USER001,20240113,144320,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,0000000003,USER002,20241115,181941,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004,0000000004,USER003,20220423,041912,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005,0000000005,USER004,20220712,221709,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,0000000006,USER005,20221125,020310,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007,0000000007,USER006,20220724,155719,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008,0000000008,USER007,20220819,004100,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009,0000000009,USER008,20230512,080432,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010,0000000010,USER009,20230501,011510,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011,0000000011,USER010,20230408,145737,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012,0000000012,USER011,20230622,075016,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013,0000000013,USER012,20241230,160516,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014,0000000014,USER013,20230505,214350,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015,0000000015,USER014,20240707,070150,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016,0000000016,USER015,20220130,093746,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017,0000000017,USER016,20220905,200435,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018,0000000018,USER017,20240428,084904,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019,0000000019,USER018,20240804,124604,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020,0000000020,USER019,20220917,090552,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021,0000000021,USER020,20240815,201302,MM02
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022,0000000022,USER021,20231005,211053,MM02
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023,0000000023,USER022,20241120,123255,MM02
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024,0000000024,USER023,20230206,050718,MM02
