MANDT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,0000000001,MARA,KEY1,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,0000000002,MARA,KEY2,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,0000000003,MARA,KEY3,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004,0000000004,MARA,KEY4,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005,0000000005,MARA,KEY5,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,0000000006,MARA,KEY6,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007,0000000007,MARA,KEY7,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008,0000000008,MARA,KEY8,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009,0000000009,MARA,KEY9,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010,0000000010,MARA,KEY10,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011,0000000011,MARA,KEY11,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012,0000000012,MARA,KEY12,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013,0000000013,MARA,KEY13,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014,0000000014,MARA,KEY14,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015,0000000015,MARA,KEY15,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016,0000000016,MARA,KEY16,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017,0000000017,MARA,KEY17,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018,0000000018,MARA,KEY18,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019,0000000019,MARA,KEY19,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020,0000000020,MARA,KEY20,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021,0000000021,MARA,KEY21,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022,0000000022,MARA,KEY22,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023,0000000023,MARA,KEY23,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024,0000000024,MARA,KEY24,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025,0000000025,MARA,KEY25,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026,0000000026,MARA,KEY26,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027,0000000027,MARA,KEY27,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028,0000000028,MARA,KEY28,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029,0000000029,MARA,KEY29,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030,0000000030,MARA,KEY30,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031,0000000031,MARA,KEY31,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032,0000000032,MARA,KEY32,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033,0000000033,MARA,KEY33,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034,0000000034,MARA,KEY34,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035,0000000035,MARA,KEY35,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036,0000000036,MARA,KEY36,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037,0000000037,MARA,KEY37,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038,0000000038,MARA,KEY38,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039,0000000039,MARA,KEY39,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040,0000000040,MARA,KEY40,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041,0000000041,MARA,KEY41,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042,0000000042,MARA,KEY42,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043,0000000043,MARA,KEY43,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044,0000000044,MARA,KEY44,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045,0000000045,MARA,KEY45,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046,0000000046,MARA,KEY46,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047,0000000047,MARA,KEY47,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048,0000000048,MARA,KEY48,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049,0000000049,MARA,KEY49,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000050,0000000050,MARA,KEY50,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051,0000000051,MARA,KEY51,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052,0000000052,MARA,KEY52,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053,0000000053,MARA,KEY53,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054,0000000054,MARA,KEY54,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055,0000000055,MARA,KEY55,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000056,0000000056,MARA,KEY56,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057,0000000057,MARA,KEY57,MTART,U,NEW_VAL,OLD_VAL
100,MATERIAL,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058,0000000058,MARA,KEY58,MTART,U,NEW_VAL,OLD_VAL
100,VERKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059,0000000059,MARA,KEY59,MTART,U,NEW_VAL,OLD_VAL
100,EINKBELEG,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060,0000000060,MARA,KEY60,MTART,U,NEW_VAL,OLD_VAL
