MANDT,KOKRS,PESSION,KUNNR,MATNR,VKORG,WERKS,PERDE,GJAHR,VV010,TWAER
100,1000,0000000001,0000000053,000000000000100486,2000,0003,001,2023,9987.09,EUR
100,1000,0000000002,0000000028,000000000000100008,1000,0004,002,2024,5538.7,EUR
100,1000,0000000003,0000000403,000000000000100316,1000,0002,003,2023,9046.38,EUR
100,1000,0000000004,0000000027,000000000000100456,2000,0003,004,2024,7005.3,EUR
100,1000,0000000005,0000000077,000000000000100088,1000,0004,005,2023,7923.85,EUR
100,1000,0000000006,0000000214,000000000000100281,1000,0008,006,2024,8250.94,EUR
100,1000,0000000007,0000000412,000000000000100136,1000,0010,007,2023,1584.25,EUR
100,1000,0000000008,0000000385,000000000000100101,1000,0003,008,2024,1461.63,EUR
100,1000,0000000009,0000000362,000000000000100093,1000,0009,009,2023,5302.26,EUR
100,1000,0000000010,0000000350,000000000000100063,1000,0009,010,2024,3214.25,EUR
100,1000,0000000011,0000000368,000000000000100365,2000,0010,011,2023,5983.15,EUR
100,1000,0000000012,0000000454,000000000000100298,1000,0009,012,2024,2533.06,EUR
100,1000,0000000013,0000000169,000000000000100260,1000,0009,001,2023,4403.73,EUR
100,1000,0000000014,0000000441,000000000000100480,1000,0004,002,2024,1315.9,EUR
100,1000,0000000015,0000000089,000000000000100081,1000,0004,003,2023,3366.14,EUR
100,1000,0000000016,0000000349,000000000000100393,1000,0003,004,2024,8727.87,EUR
100,1000,0000000017,0000000393,000000000000100425,2000,0006,005,2023,8913.72,EUR
100,1000,0000000018,0000000373,000000000000100370,1000,0009,006,2024,9530.63,EUR
100,1000,0000000019,0000000472,000000000000100241,1000,0003,007,2023,3271.95,EUR
100,1000,0000000020,0000000167,000000000000100198,1000,0008,008,2024,9124.66,EUR
100,1000,0000000021,0000000164,000000000000100171,1000,0003,009,2023,294.98,EUR
100,1000,0000000022,0000000008,000000000000100441,1000,0009,010,2024,4236.27,EUR
100,1000,0000000023,0000000279,000000000000100489,1000,0006,011,2023,9581.73,EUR
100,1000,0000000024,0000000300,000000000000100190,1000,0010,012,2024,6045.31,EUR
100,1000,0000000025,0000000454,000000000000100270,1000,0004,001,2023,9321.77,EUR
100,1000,0000000026,0000000353,000000000000100296,2000,0006,002,2024,4518.45,EUR
100,1000,0000000027,0000000454,000000000000100425,1000,0010,003,2023,7632.25,EUR
100,1000,0000000028,0000000133,000000000000100359,2000,0010,004,2024,6298.23,EUR
100,1000,0000000029,0000000473,000000000000100484,1000,0001,005,2023,2674.13,EUR
100,1000,0000000030,0000000263,000000000000100348,2000,0006,006,2024,1468.86,EUR
100,1000,0000000031,0000000017,000000000000100428,2000,0002,007,2023,5394.76,EUR
100,1000,0000000032,0000000485,000000000000100479,2000,0007,008,2024,3981.3,EUR
100,1000,0000000033,0000000259,000000000000100011,2000,0010,009,2023,3033.59,EUR
100,1000,0000000034,0000000148,000000000000100430,1000,0007,010,2024,5318.69,EUR
100,1000,0000000035,0000000329,000000000000100039,1000,0005,011,2023,7697.21,EUR
100,1000,0000000036,0000000374,000000000000100326,1000,0010,012,2024,7255.45,EUR
100,1000,0000000037,0000000322,000000000000100117,2000,0009,001,2023,5514.88,EUR
100,1000,0000000038,0000000218,000000000000100134,1000,0003,002,2024,5252.06,EUR
100,1000,0000000039,0000000025,000000000000100067,1000,0004,003,2023,7238.11,EUR
100,1000,0000000040,0000000447,000000000000100426,1000,0009,004,2024,700.3,EUR
100,1000,0000000041,0000000039,000000000000100151,2000,0009,005,2023,7830.89,EUR
100,1000,0000000042,0000000495,000000000000100034,2000,0007,006,2024,7182.55,EUR
100,1000,0000000043,0000000172,000000000000100455,1000,0008,007,2023,767.8,EUR
100,1000,0000000044,0000000066,000000000000100064,2000,0004,008,2024,3795.15,EUR
100,1000,0000000045,0000000429,000000000000100170,1000,0007,009,2023,4282.74,EUR
100,1000,0000000046,0000000427,000000000000100261,1000,0004,010,2024,8965.33,EUR
100,1000,0000000047,0000000202,000000000000100308,1000,0002,011,2023,5266.9,EUR
100,1000,0000000048,0000000372,000000000000100053,1000,0002,012,2024,9021.83,EUR
100,1000,0000000049,0000000371,000000000000100126,1000,0009,001,2023,9257.23,EUR
100,1000,0000000050,0000000419,000000000000100007,1000,0009,002,2024,8576.01,EUR
100,1000,0000000051,0000000215,000000000000100418,2000,0008,003,2023,6828.22,EUR
100,1000,0000000052,0000000320,000000000000100414,1000,0010,004,2024,8136.74,EUR
100,1000,0000000053,0000000162,000000000000100239,1000,0009,005,2023,100.78,EUR
100,1000,0000000054,0000000191,000000000000100449,2000,0002,006,2024,9674.52,EUR
100,1000,0000000055,0000000317,000000000000100320,2000,0008,007,2023,9857.42,EUR
100,1000,0000000056,0000000277,000000000000100363,1000,0002,008,2024,1540.43,EUR
100,1000,0000000057,0000000476,000000000000100312,1000,0005,009,2023,943.38,EUR
100,1000,0000000058,0000000118,000000000000100120,1000,0001,010,2024,5813.24,EUR
100,1000,0000000059,0000000231,000000000000100246,1000,0008,011,2023,4180.25,EUR
100,1000,0000000060,0000000031,000000000000100018,1000,0003,012,2024,6254.38,EUR
100,1000,0000000061,0000000270,000000000000100142,2000,0007,001,2023,6382.9,EUR
100,1000,0000000062,0000000348,000000000000100026,2000,0008,002,2024,5187.55,EUR
100,1000,0000000063,0000000471,000000000000100085,1000,0006,003,2023,5591.5,EUR
100,1000,0000000064,0000000397,000000000000100356,2000,0010,004,2024,5693.11,EUR
100,1000,0000000065,0000000194,000000000000100138,1000,0003,005,2023,921.27,EUR
100,1000,0000000066,0000000482,000000000000100167,2000,0007,006,2024,9643.59,EUR
100,1000,0000000067,0000000088,000000000000100381,1000,0008,007,2023,6509.86,EUR
100,1000,0000000068,0000000282,000000000000100158,1000,0004,008,2024,2052.98,EUR
100,1000,0000000069,0000000222,000000000000100337,1000,0005,009,2023,7831.63,EUR
100,1000,0000000070,0000000091,000000000000100316,1000,0006,010,2024,4599.34,EUR
100,1000,0000000071,0000000264,000000000000100416,1000,0008,011,2023,518.61,EUR
100,1000,0000000072,0000000423,000000000000100003,1000,0001,012,2024,365.91,EUR
100,1000,0000000073,0000000463,000000000000100353,2000,0009,001,2023,4582.8,EUR
100,1000,0000000074,0000000072,000000000000100202,2000,0004,002,2024,7138.25,EUR
100,1000,0000000075,0000000437,000000000000100215,1000,0001,003,2023,4357.22,EUR
100,1000,0000000076,0000000393,000000000000100426,2000,0008,004,2024,809.81,EUR
