MANDT,KOKRS,PESSION,KUNNR,MATNR,VKORG,WERKS,PESSION2,GJAHR,VV010,TWAER
100,1000,0000000001,0000000338,000000000000100035,2000,0004,001,2023,9019.04,EUR
100,1000,0000000002,0000000208,000000000000100337,1000,0006,002,2024,2922.99,EUR
100,1000,0000000003,0000000066,000000000000100373,1000,0002,003,2023,3366.86,EUR
100,1000,0000000004,0000000009,000000000000100490,2000,0010,004,2024,6797.9,EUR
100,1000,0000000005,0000000272,000000000000100270,1000,0008,005,2023,8612.98,EUR
100,1000,0000000006,0000000437,000000000000100172,2000,0002,006,2024,894.47,EUR
100,1000,0000000007,0000000137,000000000000100490,2000,0007,007,2023,6688.62,EUR
100,1000,0000000008,0000000427,000000000000100412,1000,0006,008,2024,863.16,EUR
100,1000,0000000009,0000000308,000000000000100278,2000,0006,009,2023,1449.71,EUR
100,1000,0000000010,0000000340,000000000000100184,2000,0002,010,2024,6687.78,EUR
100,1000,0000000011,0000000119,000000000000100146,1000,0006,011,2023,784.76,EUR
100,1000,0000000012,0000000303,000000000000100330,1000,0009,012,2024,9774.6,EUR
100,1000,0000000013,0000000457,000000000000100273,1000,0001,001,2023,7337.29,EUR
100,1000,0000000014,0000000280,000000000000100265,1000,0002,002,2024,8526.24,EUR
100,1000,0000000015,0000000046,000000000000100482,1000,0009,003,2023,5606.96,EUR
100,1000,0000000016,0000000259,000000000000100470,1000,0002,004,2024,2295.64,EUR
100,1000,0000000017,0000000169,000000000000100284,2000,0006,005,2023,6822.52,EUR
100,1000,0000000018,0000000077,000000000000100199,2000,0004,006,2024,6466.64,EUR
100,1000,0000000019,0000000232,000000000000100163,1000,0003,007,2023,7973.38,EUR
100,1000,0000000020,0000000122,000000000000100311,1000,0007,008,2024,8664.72,EUR
100,1000,0000000021,0000000066,000000000000100455,2000,0009,009,2023,4105.92,EUR
100,1000,0000000022,0000000001,000000000000100241,2000,0010,010,2024,5481.48,EUR
100,1000,0000000023,0000000238,000000000000100473,2000,0006,011,2023,8107.62,EUR
100,1000,0000000024,0000000297,000000000000100399,1000,0003,012,2024,9135.59,EUR
100,1000,0000000025,0000000480,000000000000100195,1000,0002,001,2023,9969.8,EUR
100,1000,0000000026,0000000325,000000000000100455,2000,0004,002,2024,718.6,EUR
100,1000,0000000027,0000000467,000000000000100073,2000,0009,003,2023,1650.75,EUR
100,1000,0000000028,0000000388,000000000000100374,2000,0001,004,2024,5626.22,EUR
100,1000,0000000029,0000000052,000000000000100096,1000,0005,005,2023,7730.2,EUR
100,1000,0000000030,0000000456,000000000000100380,2000,0007,006,2024,7655.24,EUR
100,1000,0000000031,0000000230,000000000000100061,1000,0007,007,2023,7418.83,EUR
100,1000,0000000032,0000000074,000000000000100295,1000,0003,008,2024,7117.1,EUR
100,1000,0000000033,0000000282,000000000000100165,1000,0009,009,2023,3635.6,EUR
100,1000,0000000034,0000000397,000000000000100310,2000,0010,010,2024,7277.77,EUR
100,1000,0000000035,0000000018,000000000000100464,2000,0009,011,2023,7468.52,EUR
100,1000,0000000036,0000000235,000000000000100494,1000,0001,012,2024,4134.66,EUR
100,1000,0000000037,0000000485,000000000000100222,1000,0003,001,2023,2438.62,EUR
100,1000,0000000038,0000000192,000000000000100463,2000,0006,002,2024,6216.17,EUR
100,1000,0000000039,0000000366,000000000000100138,1000,0003,003,2023,9922.34,EUR
100,1000,0000000040,0000000247,000000000000100017,1000,0006,004,2024,9986.5,EUR
100,1000,0000000041,0000000027,000000000000100115,1000,0007,005,2023,6427.27,EUR
100,1000,0000000042,0000000005,000000000000100319,1000,0007,006,2024,7302.2,EUR
100,1000,0000000043,0000000492,000000000000100052,2000,0001,007,2023,5662.24,EUR
100,1000,0000000044,0000000124,000000000000100433,2000,0003,008,2024,8056.47,EUR
100,1000,0000000045,0000000059,000000000000100455,1000,0003,009,2023,7699.42,EUR
100,1000,0000000046,0000000063,000000000000100067,1000,0010,010,2024,9233.44,EUR
100,1000,0000000047,0000000361,000000000000100007,2000,0010,011,2023,6522.67,EUR
100,1000,0000000048,0000000314,000000000000100284,2000,0003,012,2024,6910.67,EUR
100,1000,0000000049,0000000005,000000000000100463,2000,0002,001,2023,3231.99,EUR
100,1000,0000000050,0000000215,000000000000100452,2000,0002,002,2024,6363.07,EUR
100,1000,0000000051,0000000281,000000000000100460,2000,0005,003,2023,1786.49,EUR
100,1000,0000000052,0000000061,000000000000100294,1000,0001,004,2024,3111.32,EUR
100,1000,0000000053,0000000358,000000000000100337,2000,0004,005,2023,912.23,EUR
100,1000,0000000054,0000000204,000000000000100186,1000,0009,006,2024,3721.6,EUR
100,1000,0000000055,0000000281,000000000000100087,2000,0009,007,2023,2371.29,EUR
100,1000,0000000056,0000000368,000000000000100354,1000,0003,008,2024,9478.52,EUR
100,1000,0000000057,0000000026,000000000000100067,2000,0009,009,2023,4123.95,EUR
100,1000,0000000058,0000000433,000000000000100108,2000,0005,010,2024,4592.92,EUR
100,1000,0000000059,0000000254,000000000000100305,2000,0001,011,2023,243.02,EUR
100,1000,0000000060,0000000174,000000000000100321,2000,0008,012,2024,1234.34,EUR
100,1000,0000000061,0000000141,000000000000100484,1000,0010,001,2023,6887.48,EUR
100,1000,0000000062,0000000219,000000000000100319,1000,0003,002,2024,6743.97,EUR
100,1000,0000000063,0000000455,000000000000100214,2000,0008,003,2023,1483.04,EUR
100,1000,0000000064,0000000238,000000000000100165,1000,0005,004,2024,9811.89,EUR
100,1000,0000000065,0000000306,000000000000100331,2000,0004,005,2023,3847.73,EUR
100,1000,0000000066,0000000413,000000000000100181,1000,0001,006,2024,4214.02,EUR
100,1000,0000000067,0000000156,000000000000100025,1000,0007,007,2023,1787.07,EUR
100,1000,0000000068,0000000373,000000000000100395,1000,0006,008,2024,7641.46,EUR
100,1000,0000000069,0000000195,000000000000100416,2000,0002,009,2023,9798.48,EUR
