MANDT,KOKRS,BESSION,GJAHR,BLDAT,BUDAT,BLTXT
100,1000,0060000000,2023,20221222,20221025,CO Doc 1
100,1000,0060000001,2024,20230210,20231226,CO Doc 2
100,1000,0060000002,2023,20230122,20220402,CO Doc 3
100,1000,0060000003,2024,20230606,20240910,CO Doc 4
100,1000,0060000004,2023,20230217,20220905,CO Doc 5
100,1000,0060000005,2024,20240831,20230530,CO Doc 6
100,1000,0060000006,2023,20220609,20241120,CO Doc 7
100,1000,0060000007,2024,20240826,20231007,CO Doc 8
100,1000,0060000008,2023,20230204,20240815,CO Doc 9
100,1000,0060000009,2024,20240225,20231023,CO Doc 10
100,1000,0060000010,2023,20220828,20220308,CO Doc 11
100,1000,0060000011,2024,20240329,20230531,CO Doc 12
100,1000,0060000012,2023,20230812,20241227,CO Doc 13
100,1000,0060000013,2024,20240720,20241222,CO Doc 14
100,1000,0060000014,2023,20231110,20230701,CO Doc 15
100,1000,0060000015,2024,20240524,20220507,CO Doc 16
100,1000,0060000016,2023,20221029,20230928,CO Doc 17
100,1000,0060000017,2024,20221008,20240602,CO Doc 18
100,1000,0060000018,2023,20240507,20220805,CO Doc 19
100,1000,0060000019,2024,20241130,20240206,CO Doc 20
100,1000,0060000020,2023,20220301,20240425,CO Doc 21
100,1000,0060000021,2024,20230604,20230917,CO Doc 22
100,1000,0060000022,2023,20230210,20240911,CO Doc 23
100,1000,0060000023,2024,20220729,20240917,CO Doc 24
100,1000,0060000024,2023,20240316,20230206,CO Doc 25
100,1000,0060000025,2024,20240803,20230128,CO Doc 26
100,1000,0060000026,2023,20231212,20221018,CO Doc 27
100,1000,0060000027,2024,20220506,20231108,CO Doc 28
100,1000,0060000028,2023,20220606,20230625,CO Doc 29
100,1000,0060000029,2024,20241017,20230914,CO Doc 30
100,1000,0060000030,2023,20220519,20240228,CO Doc 31
100,1000,0060000031,2024,20220709,20220904,CO Doc 32
100,1000,0060000032,2023,20220415,20220623,CO Doc 33
100,1000,0060000033,2024,20220430,20240517,CO Doc 34
100,1000,0060000034,2023,20220810,20240317,CO Doc 35
100,1000,0060000035,2024,20221219,20220428,CO Doc 36
100,1000,0060000036,2023,20241022,20230503,CO Doc 37
100,1000,0060000037,2024,20231226,20220312,CO Doc 38
100,1000,0060000038,2023,20230517,20240322,CO Doc 39
100,1000,0060000039,2024,20230706,20240919,CO Doc 40
100,1000,0060000040,2023,20240313,20240830,CO Doc 41
100,1000,0060000041,2024,20230923,20230513,CO Doc 42
100,1000,0060000042,2023,20220819,20220721,CO Doc 43
100,1000,0060000043,2024,20240917,20240401,CO Doc 44
100,1000,0060000044,2023,20241118,20230316,CO Doc 45
100,1000,0060000045,2024,20230820,20220404,CO Doc 46
100,1000,0060000046,2023,20231027,20220916,CO Doc 47
100,1000,0060000047,2024,20240213,20240409,CO Doc 48
100,1000,0060000048,2023,20220726,20220929,CO Doc 49
100,1000,0060000049,2024,20230912,20220219,CO Doc 50
100,1000,0060000050,2023,20220509,20221025,CO Doc 51
100,1000,0060000051,2024,20220627,20220330,CO Doc 52
100,1000,0060000052,2023,20240119,20220107,CO Doc 53
100,1000,0060000053,2024,20230131,20241022,CO Doc 54
100,1000,0060000054,2023,20230425,20220424,CO Doc 55
100,1000,0060000055,2024,20231027,20230130,CO Doc 56
100,1000,0060000056,2023,20241127,20240927,CO Doc 57
100,1000,0060000057,2024,20230715,20231229,CO Doc 58
100,1000,0060000058,2023,20220411,20221130,CO Doc 59
