MANDT,KOKRS,BELNR,GJAHR,BUZEI,KSTAR,KOSTL,WRBTR,TWAER
100,1000,0060000000,2023,001,0000400000,0000001000,1645.77,EUR
100,1000,0060000001,2024,002,0000400010,0000001100,7156.66,EUR
100,1000,0060000002,2023,003,0000400020,0000001200,950.28,EUR
100,1000,0060000003,2024,001,0000400030,0000001300,138.13,EUR
100,1000,0060000004,2023,002,0000400040,0000001400,6269.78,EUR
100,1000,0060000005,2024,003,0000400050,0000001500,6788.68,EUR
100,1000,0060000006,2023,001,0000400060,0000001600,7499.46,EUR
100,1000,0060000007,2024,002,0000400070,0000001700,1076.53,EUR
100,1000,0060000008,2023,003,0000400080,0000001800,5972.2,EUR
100,1000,0060000009,2024,001,0000400090,0000001900,7206.43,EUR
100,1000,0060000010,2023,002,0000400100,0000002000,4494.91,EUR
100,1000,0060000011,2024,003,0000400110,0000002100,9283.86,EUR
100,1000,0060000012,2023,001,0000400120,0000002200,3339.69,EUR
100,1000,0060000013,2024,002,0000400130,0000002300,9733.13,EUR
100,1000,0060000014,2023,003,0000400140,0000002400,391.41,EUR
100,1000,0060000015,2024,001,0000400150,0000002500,3641.08,EUR
100,1000,0060000016,2023,002,0000400160,0000002600,108.59,EUR
100,1000,0060000017,2024,003,0000400170,0000002700,1562.27,EUR
100,1000,0060000018,2023,001,0000400180,0000002800,5702.82,EUR
100,1000,0060000019,2024,002,0000400190,0000002900,5660.25,EUR
100,1000,0060000020,2023,003,0000400200,0000003000,1515.29,EUR
100,1000,0060000021,2024,001,0000400210,0000003100,1635.32,EUR
100,1000,0060000022,2023,002,0000400220,0000003200,556.03,EUR
100,1000,0060000023,2024,003,0000400230,0000003300,836.06,EUR
100,1000,0060000024,2023,001,0000400240,0000003400,9843.55,EUR
100,1000,0060000025,2024,002,0000400250,0000003500,5106.52,EUR
100,1000,0060000026,2023,003,0000400260,0000003600,5757.05,EUR
100,1000,0060000027,2024,001,0000400270,0000003700,1561.29,EUR
100,1000,0060000028,2023,002,0000400280,0000003800,132.53,EUR
100,1000,0060000029,2024,003,0000400290,0000003900,707.74,EUR
