MANDT,KOKRS,OBJNR,GJAHR,KSTAR,WTG001,TWAER
100,1000,OR00000000000000000001,2023,0000400000,19007.93,EUR
100,1000,OR00000000000000000002,2024,0000400010,46477.43,EUR
100,1000,OR00000000000000000003,2023,0000400020,14577.01,EUR
100,1000,OR00000000000000000004,2024,0000400030,32862.45,EUR
100,1000,OR00000000000000000005,2023,0000400040,14177.11,EUR
100,1000,OR00000000000000000006,2024,0000400050,5468.09,EUR
100,1000,OR00000000000000000007,2023,0000400060,38675.57,EUR
100,1000,OR00000000000000000008,2024,0000400070,25480.61,EUR
100,1000,OR00000000000000000009,2023,0000400080,24667.43,EUR
100,1000,OR00000000000000000010,2024,0000400090,38269.36,EUR
100,1000,OR00000000000000000011,2023,0000400100,34755.73,EUR
100,1000,OR00000000000000000012,2024,0000400110,42798.89,EUR
100,1000,OR00000000000000000013,2023,0000400120,29705.82,EUR
100,1000,OR00000000000000000014,2024,0000400130,13806.49,EUR
100,1000,OR00000000000000000015,2023,0000400140,6576.11,EUR
100,1000,OR00000000000000000016,2024,0000400150,19458.55,EUR
100,1000,OR00000000000000000017,2023,0000400160,17320.15,EUR
100,1000,OR00000000000000000018,2024,0000400170,27312.82,EUR
100,1000,OR00000000000000000019,2023,0000400180,19008.19,EUR
100,1000,OR00000000000000000020,2024,0000400190,30522.82,EUR
100,1000,OR00000000000000000021,2023,0000400200,38683.3,EUR
100,1000,OR00000000000000000022,2024,0000400210,16028.58,EUR
100,1000,OR00000000000000000023,2023,0000400220,17119.92,EUR
100,1000,OR00000000000000000024,2024,0000400230,17060.11,EUR
100,1000,OR00000000000000000025,2023,0000400240,5086.82,EUR
100,1000,OR00000000000000000026,2024,0000400250,36291.04,EUR
100,1000,OR00000000000000000027,2023,0000400260,47070.42,EUR
100,1000,OR00000000000000000028,2024,0000400270,35877.12,EUR
100,1000,OR00000000000000000029,2023,0000400280,14791.61,EUR
100,1000,OR00000000000000000030,2024,0000400290,2731.89,EUR
100,1000,OR00000000000000000031,2023,0000400000,21571.43,EUR
100,1000,OR00000000000000000032,2024,0000400010,27792.74,EUR
100,1000,OR00000000000000000033,2023,0000400020,7575.31,EUR
100,1000,OR00000000000000000034,2024,0000400030,43658.42,EUR
100,1000,OR00000000000000000035,2023,0000400040,46708.36,EUR
100,1000,OR00000000000000000036,2024,0000400050,26622.94,EUR
100,1000,OR00000000000000000037,2023,0000400060,13890.65,EUR
100,1000,OR00000000000000000038,2024,0000400070,42733.58,EUR
100,1000,OR00000000000000000039,2023,0000400080,3124.34,EUR
100,1000,OR00000000000000000040,2024,0000400090,6430.78,EUR
100,1000,OR00000000000000000041,2023,0000400100,6542.27,EUR
100,1000,OR00000000000000000042,2024,0000400110,31264.84,EUR
100,1000,OR00000000000000000043,2023,0000400120,12164.82,EUR
100,1000,OR00000000000000000044,2024,0000400130,27345.59,EUR
100,1000,OR00000000000000000045,2023,0000400140,34642.01,EUR
100,1000,OR00000000000000000046,2024,0000400150,10395.99,EUR
100,1000,OR00000000000000000047,2023,0000400160,18892.74,EUR
100,1000,OR00000000000000000048,2024,0000400170,5632.02,EUR
100,1000,OR00000000000000000049,2023,0000400180,13064.54,EUR
100,1000,OR00000000000000000050,2024,0000400190,5230.54,EUR
100,1000,OR00000000000000000051,2023,0000400200,9376.17,EUR
100,1000,OR00000000000000000052,2024,0000400210,17354.1,EUR
100,1000,OR00000000000000000053,2023,0000400220,22593.82,EUR
100,1000,OR00000000000000000054,2024,0000400230,5374.14,EUR
100,1000,OR00000000000000000055,2023,0000400240,24913.25,EUR
100,1000,OR00000000000000000056,2024,0000400250,36553.23,EUR
100,1000,OR00000000000000000057,2023,0000400260,29153.05,EUR
100,1000,OR00000000000000000058,2024,0000400270,4793.63,EUR
100,1000,OR00000000000000000059,2023,0000400280,8173.25,EUR
100,1000,OR00000000000000000060,2024,0000400290,37732.38,EUR
100,1000,OR00000000000000000061,2023,0000400000,18096.48,EUR
100,1000,OR00000000000000000062,2024,0000400010,48686.92,EUR
100,1000,OR00000000000000000063,2023,0000400020,27048.97,EUR
100,1000,OR00000000000000000064,2024,0000400030,23929.63,EUR
100,1000,OR00000000000000000065,2023,0000400040,40958.56,EUR
100,1000,OR00000000000000000066,2024,0000400050,13451.09,EUR
100,1000,OR00000000000000000067,2023,0000400060,34277.5,EUR
100,1000,OR00000000000000000068,2024,0000400070,26926.29,EUR
100,1000,OR00000000000000000069,2023,0000400080,29617.86,EUR
100,1000,OR00000000000000000070,2024,0000400090,49919.14,EUR
100,1000,OR00000000000000000071,2023,0000400100,27789.55,EUR
100,1000,OR00000000000000000072,2024,0000400110,38765.74,EUR
100,1000,OR00000000000000000073,2023,0000400120,35532.13,EUR
100,1000,OR00000000000000000074,2024,0000400130,12674.33,EUR
100,1000,OR00000000000000000075,2023,0000400140,1911.86,EUR
100,1000,OR00000000000000000076,2024,0000400150,8568.57,EUR
100,1000,OR00000000000000000077,2023,0000400160,12738.51,EUR
100,1000,OR00000000000000000078,2024,0000400170,12223.46,EUR
100,1000,OR00000000000000000079,2023,0000400180,35025.69,EUR
100,1000,OR00000000000000000080,2024,0000400190,19567.19,EUR
100,1000,OR00000000000000000081,2023,0000400200,38754.8,EUR
100,1000,OR00000000000000000082,2024,0000400210,49425.31,EUR
100,1000,OR00000000000000000083,2023,0000400220,13990.63,EUR
100,1000,OR00000000000000000084,2024,0000400230,28662.2,EUR
100,1000,OR00000000000000000085,2023,0000400240,43757.04,EUR
100,1000,OR00000000000000000086,2024,0000400250,25144.22,EUR
100,1000,OR00000000000000000087,2023,0000400260,48148.63,EUR
100,1000,OR00000000000000000088,2024,0000400270,16402.67,EUR
100,1000,OR00000000000000000089,2023,0000400280,43719.27,EUR
100,1000,OR00000000000000000090,2024,0000400290,3185.25,EUR
100,1000,OR00000000000000000091,2023,0000400000,10920.83,EUR
100,1000,OR00000000000000000092,2024,0000400010,48026.28,EUR
100,1000,OR00000000000000000093,2023,0000400020,20727.48,EUR
100,1000,OR00000000000000000094,2024,0000400030,26001.48,EUR
100,1000,OR00000000000000000095,2023,0000400040,21996.62,EUR
100,1000,OR00000000000000000096,2024,0000400050,25931.51,EUR
100,1000,OR00000000000000000097,2023,0000400060,8482.47,EUR
100,1000,OR00000000000000000098,2024,0000400070,16713.89,EUR
100,1000,OR00000000000000000099,2023,0000400080,27993.21,EUR
100,1000,OR00000000000000000100,2024,0000400090,37942.77,EUR
100,1000,OR00000000000000000101,2023,0000400100,4802.24,EUR
100,1000,OR00000000000000000102,2024,0000400110,14918.56,EUR
100,1000,OR00000000000000000103,2023,0000400120,13218.02,EUR
100,1000,OR00000000000000000104,2024,0000400130,29376.39,EUR
100,1000,OR00000000000000000105,2023,0000400140,20410.75,EUR
100,1000,OR00000000000000000106,2024,0000400150,39074.6,EUR
100,1000,OR00000000000000000107,2023,0000400160,10144.37,EUR
100,1000,OR00000000000000000108,2024,0000400170,40035.36,EUR
100,1000,OR00000000000000000109,2023,0000400180,46571.44,EUR
100,1000,OR00000000000000000110,2024,0000400190,25023.99,EUR
100,1000,OR00000000000000000111,2023,0000400200,41615.49,EUR
100,1000,OR00000000000000000112,2024,0000400210,44091.51,EUR
100,1000,OR00000000000000000113,2023,0000400220,42162.97,EUR
100,1000,OR00000000000000000114,2024,0000400230,31071.88,EUR
100,1000,OR00000000000000000115,2023,0000400240,43516.26,EUR
100,1000,OR00000000000000000116,2024,0000400250,28828.92,EUR
100,1000,OR00000000000000000117,2023,0000400260,8083.92,EUR
100,1000,OR00000000000000000118,2024,0000400270,17204.8,EUR
100,1000,OR00000000000000000119,2023,0000400280,16768.05,EUR
100,1000,OR00000000000000000120,2024,0000400290,29022.24,EUR
100,1000,OR00000000000000000121,2023,0000400000,34084.33,EUR
100,1000,OR00000000000000000122,2024,0000400010,34619.34,EUR
100,1000,OR00000000000000000123,2023,0000400020,21787.65,EUR
100,1000,OR00000000000000000124,2024,0000400030,45570.61,EUR
100,1000,OR00000000000000000125,2023,0000400040,1585.81,EUR
100,1000,OR00000000000000000126,2024,0000400050,22767.5,EUR
100,1000,OR00000000000000000127,2023,0000400060,23637.46,EUR
100,1000,OR00000000000000000128,2024,0000400070,30378.23,EUR
100,1000,OR00000000000000000129,2023,0000400080,4749.63,EUR
100,1000,OR00000000000000000130,2024,0000400090,28783.54,EUR
100,1000,OR00000000000000000131,2023,0000400100,49114.72,EUR
100,1000,OR00000000000000000132,2024,0000400110,18651.47,EUR
