MANDT,KOKRS,OBJNR,GJAHR,KSTAR,WTG001,TWAER
100,1000,OR00000000000000000001,2023,0000400000,10424.02,EUR
100,1000,OR00000000000000000002,2024,0000400010,12256.86,EUR
100,1000,OR00000000000000000003,2023,0000400020,3651.74,EUR
100,1000,OR00000000000000000004,2024,0000400030,7852.68,EUR
100,1000,OR00000000000000000005,2023,0000400040,14971.83,EUR
100,1000,OR00000000000000000006,2024,0000400050,1474.1,EUR
100,1000,OR00000000000000000007,2023,0000400060,2274.81,EUR
100,1000,OR00000000000000000008,2024,0000400070,12989.75,EUR
100,1000,OR00000000000000000009,2023,0000400080,2810.38,EUR
100,1000,OR00000000000000000010,2024,0000400090,6215.63,EUR
100,1000,OR00000000000000000011,2023,0000400100,14153.51,EUR
100,1000,OR00000000000000000012,2024,0000400110,13273.41,EUR
100,1000,OR00000000000000000013,2023,0000400120,4984.72,EUR
100,1000,OR00000000000000000014,2024,0000400130,2279.09,EUR
100,1000,OR00000000000000000015,2023,0000400140,762.51,EUR
100,1000,OR00000000000000000016,2024,0000400150,1477.46,EUR
100,1000,OR00000000000000000017,2023,0000400160,4088.77,EUR
100,1000,OR00000000000000000018,2024,0000400170,541.06,EUR
100,1000,OR00000000000000000019,2023,0000400180,3317.07,EUR
100,1000,OR00000000000000000020,2024,0000400190,8448.86,EUR
100,1000,OR00000000000000000021,2023,0000400200,13438.6,EUR
100,1000,OR00000000000000000022,2024,0000400210,4758.06,EUR
100,1000,OR00000000000000000023,2023,0000400220,10972.08,EUR
100,1000,OR00000000000000000024,2024,0000400230,12585.09,EUR
100,1000,OR00000000000000000025,2023,0000400240,9923.1,EUR
100,1000,OR00000000000000000026,2024,0000400250,15128.38,EUR
100,1000,OR00000000000000000027,2023,0000400260,16421.41,EUR
100,1000,OR00000000000000000028,2024,0000400270,16519.86,EUR
100,1000,OR00000000000000000029,2023,0000400280,16878.78,EUR
100,1000,OR00000000000000000030,2024,0000400290,9563.53,EUR
100,1000,OR00000000000000000031,2023,0000400000,14471.47,EUR
100,1000,OR00000000000000000032,2024,0000400010,4674.39,EUR
100,1000,OR00000000000000000033,2023,0000400020,18581.55,EUR
100,1000,OR00000000000000000034,2024,0000400030,17641.35,EUR
100,1000,OR00000000000000000035,2023,0000400040,6213.62,EUR
100,1000,OR00000000000000000036,2024,0000400050,10774.44,EUR
100,1000,OR00000000000000000037,2023,0000400060,5621.65,EUR
100,1000,OR00000000000000000038,2024,0000400070,16754.31,EUR
100,1000,OR00000000000000000039,2023,0000400080,8621.4,EUR
100,1000,OR00000000000000000040,2024,0000400090,11090.68,EUR
100,1000,OR00000000000000000041,2023,0000400100,14784.7,EUR
100,1000,OR00000000000000000042,2024,0000400110,11019.54,EUR
100,1000,OR00000000000000000043,2023,0000400120,18035.56,EUR
