MANDT,OBJID,OBJTY,WERKS,ARBPL,VERWE
100,00000001,A,0001,WC0001,0
100,00000002,A,0002,WC0002,0
100,00000003,A,0003,WC0003,0
100,00000004,A,0004,WC0004,0
100,00000005,A,0005,WC0005,0
100,00000006,A,0006,WC0006,0
100,00000007,A,0007,WC0007,0
100,00000008,A,0008,WC0008,0
100,00000009,A,0009,WC0009,0
100,00000010,A,0010,WC0010,0
100,00000011,A,0001,WC0011,0
100,00000012,A,0002,WC0012,0
100,00000013,A,0003,WC0013,0
100,00000014,A,0004,WC0014,0
100,00000015,A,0005,WC0015,0
100,00000016,A,0006,WC0016,0
100,00000017,A,0007,WC0017,0
100,00000018,A,0008,WC0018,0
100,00000019,A,0009,WC0019,0
100,00000020,A,0010,WC0020,0
