MANDT,OBJID,SPRAS,KTEXT
100,00000001,E,Work Center 1
100,00000002,E,Work Center 2
100,00000003,E,Work Center 3
100,00000004,E,Work Center 4
100,00000005,E,Work Center 5
100,00000006,E,Work Center 6
100,00000007,E,Work Center 7
100,00000008,E,Work Center 8
100,00000009,E,Work Center 9
100,00000010,E,Work Center 10
100,00000011,E,Work Center 11
100,00000012,E,Work Center 12
100,00000013,E,Work Center 13
100,00000014,E,Work Center 14
100,00000015,E,Work Center 15
100,00000016,E,Work Center 16
100,00000017,E,Work Center 17
100,00000018,E,Work Center 18
100,00000019,E,Work Center 19
100,00000020,E,Work Center 20
