MANDT,KOKRS,KOSTL,SPRAS,DATBI,KTEXT,LTEXT
100,1000,1000,E,9999-12-31,Productielijn 1,Kostenplaats Productielijn 1
100,1000,1100,E,9999-12-31,Productielijn 2,Kostenplaats Productielijn 2
100,1000,1200,E,9999-12-31,Productielijn 3,Kostenplaats Productielijn 3
100,1000,1300,E,9999-12-31,Verpakkingslijn 1,Kostenplaats Verpakkingslijn 1
100,1000,1400,E,9999-12-31,Verpakkingslijn 2,Kostenplaats Verpakkingslijn 2
100,1000,1500,E,9999-12-31,Magazijn,Kostenplaats Magazijn
100,1000,1600,E,9999-12-31,Kwaliteitscontrole,Kostenplaats Kwaliteitscontrole
100,1000,1700,E,9999-12-31,Onderhoud,Kostenplaats Onderhoud
100,1000,1800,E,9999-12-31,Administratie,Kostenplaats Administratie
100,1000,1900,E,9999-12-31,Verkoop,Kostenplaats Verkoop
100,1000,2000,E,9999-12-31,Inkoop,Kostenplaats Inkoop
100,1000,2100,E,9999-12-31,R&D,Kostenplaats R&D
100,1000,2200,E,9999-12-31,Logistiek,Kostenplaats Logistiek
100,1000,2300,E,9999-12-31,Facilitair,Kostenplaats Facilitair
100,1000,2400,E,9999-12-31,IT,Kostenplaats IT
100,1000,2500,E,9999-12-31,Directie,Kostenplaats Directie
100,1000,2600,E,9999-12-31,HR,Kostenplaats HR
100,1000,2700,E,9999-12-31,Marketing,Kostenplaats Marketing
100,1000,2800,E,9999-12-31,Export,Kostenplaats Export
100,1000,2900,E,9999-12-31,Energiebeheer,Kostenplaats Energiebeheer
100,1000,3000,E,9999-12-31,Productielijn 1 2,Kostenplaats Productielijn 1 2
100,1000,3100,E,9999-12-31,Productielijn 2 2,Kostenplaats Productielijn 2 2
100,1000,3200,E,9999-12-31,Productielijn 3 2,Kostenplaats Productielijn 3 2
100,1000,3300,E,9999-12-31,Verpakkingslijn 1 2,Kostenplaats Verpakkingslijn 1 2
100,1000,3400,E,9999-12-31,Verpakkingslijn 2 2,Kostenplaats Verpakkingslijn 2 2
100,1000,3500,E,9999-12-31,Magazijn 2,Kostenplaats Magazijn 2
100,1000,3600,E,9999-12-31,Kwaliteitscontrole 2,Kostenplaats Kwaliteitscontrole 2
100,1000,3700,E,9999-12-31,Onderhoud 2,Kostenplaats Onderhoud 2
100,1000,3800,E,9999-12-31,Administratie 2,Kostenplaats Administratie 2
100,1000,3900,E,9999-12-31,Verkoop 2,Kostenplaats Verkoop 2
100,1000,4000,E,9999-12-31,Inkoop 2,Kostenplaats Inkoop 2
100,1000,4100,E,9999-12-31,R&D 2,Kostenplaats R&D 2
100,1000,4200,E,9999-12-31,Logistiek 2,Kostenplaats Logistiek 2
100,1000,4300,E,9999-12-31,Facilitair 2,Kostenplaats Facilitair 2
100,1000,4400,E,9999-12-31,IT 2,Kostenplaats IT 2
100,1000,4500,E,9999-12-31,Directie 2,Kostenplaats Directie 2
100,1000,4600,E,9999-12-31,HR 2,Kostenplaats HR 2
100,1000,4700,E,9999-12-31,Marketing 2,Kostenplaats Marketing 2
100,1000,4800,E,9999-12-31,Export 2,Kostenplaats Export 2
100,1000,4900,E,9999-12-31,Energiebeheer 2,Kostenplaats Energiebeheer 2
100,1000,5000,E,9999-12-31,Productielijn 1 3,Kostenplaats Productielijn 1 3
100,1000,5100,E,9999-12-31,Productielijn 2 3,Kostenplaats Productielijn 2 3
100,1000,5200,E,9999-12-31,Productielijn 3 3,Kostenplaats Productielijn 3 3
100,1000,5300,E,9999-12-31,Verpakkingslijn 1 3,Kostenplaats Verpakkingslijn 1 3
100,1000,5400,E,9999-12-31,Verpakkingslijn 2 3,Kostenplaats Verpakkingslijn 2 3
100,1000,5500,E,9999-12-31,Magazijn 3,Kostenplaats Magazijn 3
100,1000,5600,E,9999-12-31,Kwaliteitscontrole 3,Kostenplaats Kwaliteitscontrole 3
100,1000,5700,E,9999-12-31,Onderhoud 3,Kostenplaats Onderhoud 3
100,1000,5800,E,9999-12-31,Administratie 3,Kostenplaats Administratie 3
100,1000,5900,E,9999-12-31,Verkoop 3,Kostenplaats Verkoop 3
