MANDT,BANFN,BNFPO,MATNR,MENGE,MEINS,WERKS
100,10000001,00010,MAT000384,15791,KG,1400
100,10000002,00010,MAT000470,3160,KG,1400
100,10000003,00010,MAT000405,221,KG,1300
100,10000004,00010,MAT000388,8738,KG,1200
100,10000005,00010,MAT000034,3106,KG,1100
100,10000006,00010,MAT000085,19655,KG,1200
100,10000007,00010,MAT000438,17082,KG,1200
100,10000008,00010,MAT000360,14272,KG,1100
100,10000009,00010,MAT000033,4677,KG,1300
100,10000010,00010,MAT000309,19610,KG,1000
100,10000011,00010,MAT000269,2883,KG,1200
100,10000012,00010,MAT000203,19960,KG,1100
100,10000013,00010,MAT000209,11237,KG,1400
100,10000014,00010,MAT000053,3713,KG,1400
100,10000015,00010,MAT000476,19288,KG,1200
100,10000016,00010,MAT000202,16390,KG,1100
100,10000017,00010,MAT000302,12218,KG,1000
100,10000018,00010,MAT000116,159,KG,1100
100,10000019,00010,MAT000284,17421,KG,1300
100,10000020,00010,MAT000115,11052,KG,1200
100,10000021,00010,MAT000390,10881,KG,1200
100,10000022,00010,MAT000260,18406,KG,1100
100,10000023,00010,MAT000273,6755,KG,1400
100,10000024,00010,MAT000450,6107,KG,1100
100,10000025,00010,MAT000410,13413,KG,1300
100,10000026,00010,MAT000128,3440,KG,1000
100,10000027,00010,MAT000182,4194,KG,1400
100,10000028,00010,MAT000445,545,KG,1100
100,10000029,00010,MAT000203,11288,KG,1200
100,10000030,00010,MAT000407,4151,KG,1200
100,10000031,00010,MAT000494,12898,KG,1400
100,10000032,00010,MAT000208,3089,KG,1200
100,10000033,00010,MAT000236,17905,KG,1100
100,10000034,00010,MAT000034,16711,KG,1200
100,10000035,00010,MAT000389,9305,KG,1200
100,10000036,00010,MAT000085,4480,KG,1400
100,10000037,00010,MAT000048,2399,KG,1100
100,10000038,00010,MAT000204,3596,KG,1200
100,10000039,00010,MAT000204,16377,KG,1400
100,10000040,00010,MAT000227,8003,KG,1100
100,10000041,00010,MAT000165,9113,KG,1000
100,10000042,00010,MAT000049,11411,KG,1100
100,10000043,00010,MAT000395,2078,KG,1000
100,10000044,00010,MAT000033,11876,KG,1100
100,10000045,00010,MAT000461,14030,KG,1000
100,10000046,00010,MAT000084,19027,KG,1200
100,10000047,00010,MAT000114,6031,KG,1300
100,10000048,00010,MAT000202,18066,KG,1000
100,10000049,00010,MAT000331,17948,KG,1400
100,10000050,00010,MAT000348,11388,KG,1100
100,10000051,00010,MAT000457,19375,KG,1100
100,10000052,00010,MAT000043,12073,KG,1200
100,10000053,00010,MAT000096,9843,KG,1100
100,10000054,00010,MAT000388,19956,KG,1300
100,10000055,00010,MAT000408,934,KG,1400
100,10000056,00010,MAT000204,1041,KG,1200
100,10000057,00010,MAT000043,17842,KG,1300
100,10000058,00010,MAT000096,17917,KG,1300
100,10000059,00010,MAT000295,16690,KG,1200
100,10000060,00010,MAT000331,19234,KG,1200
100,10000061,00010,MAT000114,13915,KG,1100
100,10000062,00010,MAT000202,16433,KG,1200
100,10000063,00010,MAT000336,19722,KG,1400
100,10000064,00010,MAT000482,11536,KG,1000
100,10000065,00010,MAT000208,3071,KG,1400
100,10000066,00010,MAT000407,14247,KG,1100
100,10000067,00010,MAT000209,9787,KG,1100
100,10000068,00010,MAT000441,19280,KG,1200
100,10000069,00010,MAT000051,19410,KG,1200
100,10000070,00010,MAT000387,8417,KG,1100
100,10000071,00010,MAT000236,17536,KG,1400
100,10000072,00010,MAT000456,18603,KG,1400
100,10000073,00010,MAT000252,9068,KG,1200
100,10000074,00010,MAT000450,13583,KG,1100
100,10000075,00010,MAT000223,52,KG,1000
100,10000076,00010,MAT000114,16598,KG,1300
100,10000077,00010,MAT000405,15035,KG,1000
100,10000078,00010,MAT000408,19983,KG,1400
100,10000079,00010,MAT000121,11191,KG,1300
100,10000080,00010,MAT000147,16456,KG,1400
100,10000081,00010,MAT000407,3438,KG,1200
100,10000082,00010,MAT000097,898,KG,1000
100,10000083,00010,MAT000212,16796,KG,1200
100,10000084,00010,MAT000042,15921,KG,1200
100,10000085,00010,MAT000186,57,KG,1300
100,10000086,00010,MAT000359,7337,KG,1100
100,10000087,00010,MAT000284,5785,KG,1400
100,10000088,00010,MAT000240,9644,KG,1200
100,10000089,00010,MAT000049,3959,KG,1000
100,10000090,00010,MAT000424,9988,KG,1200
100,10000091,00010,MAT000185,6228,KG,1100
100,10000092,00010,MAT000393,11488,KG,1200
100,10000093,00010,MAT000284,9984,KG,1200
100,10000094,00010,MAT000079,804,KG,1000
100,10000095,00010,MAT000050,1973,KG,1000
100,10000096,00010,MAT000079,418,KG,1200
100,10000097,00010,MAT000053,5585,KG,1400
100,10000098,00010,MAT000234,9256,KG,1100
100,10000099,00010,MAT000115,15899,KG,1100
100,10000100,00010,MAT000162,6685,KG,1300
100,10000101,00010,MAT000032,3742,KG,1000
100,10000102,00010,MAT000147,10619,KG,1300
100,10000103,00010,MAT000098,19310,KG,1400
100,10000104,00010,MAT000053,5909,KG,1000
100,10000105,00010,MAT000186,6578,KG,1000
100,10000106,00010,MAT000370,7370,KG,1000
100,10000107,00010,MAT000307,1730,KG,1400
