MANDT,DOCNUM,COUNTER,SEGNAM,SDATA
100,0000000000000001,000001,E1MARAM,Segment data 1
100,0000000000000001,000002,E1MARAM,Segment data 2
100,0000000000000001,000003,E1MARAM,Segment data 3
100,0000000000000001,000004,E1MARAM,Segment data 4
100,0000000000000001,000005,E1MARAM,Segment data 5
100,0000000000000002,000001,E1MARAM,Segment data 6
100,0000000000000002,000002,E1MARAM,Segment data 7
100,0000000000000002,000003,E1MARAM,Segment data 8
100,0000000000000002,000004,E1MARAM,Segment data 9
100,0000000000000002,000005,E1MARAM,Segment data 10
100,0000000000000003,000001,E1MARAM,Segment data 11
100,0000000000000003,000002,E1MARAM,Segment data 12
100,0000000000000003,000003,E1MARAM,Segment data 13
100,0000000000000003,000004,E1MARAM,Segment data 14
100,0000000000000003,000005,E1MARAM,Segment data 15
100,0000000000000004,000001,E1MARAM,Segment data 16
100,0000000000000004,000002,E1MARAM,Segment data 17
100,0000000000000004,000003,E1MARAM,Segment data 18
100,0000000000000004,000004,E1MARAM,Segment data 19
100,0000000000000004,000005,E1MARAM,Segment data 20
100,0000000000000005,000001,E1MARAM,Segment data 21
100,0000000000000005,000002,E1MARAM,Segment data 22
100,0000000000000005,000003,E1MARAM,Segment data 23
100,0000000000000005,000004,E1MARAM,Segment data 24
100,0000000000000005,000005,E1MARAM,Segment data 25
100,0000000000000006,000001,E1MARAM,Segment data 26
100,0000000000000006,000002,E1MARAM,Segment data 27
100,0000000000000006,000003,E1MARAM,Segment data 28
100,0000000000000006,000004,E1MARAM,Segment data 29
100,0000000000000006,000005,E1MARAM,Segment data 30
100,0000000000000007,000001,E1MARAM,Segment data 31
100,0000000000000007,000002,E1MARAM,Segment data 32
100,0000000000000007,000003,E1MARAM,Segment data 33
100,0000000000000007,000004,E1MARAM,Segment data 34
100,0000000000000007,000005,E1MARAM,Segment data 35
100,0000000000000008,000001,E1MARAM,Segment data 36
100,0000000000000008,000002,E1MARAM,Segment data 37
100,0000000000000008,000003,E1MARAM,Segment data 38
100,0000000000000008,000004,E1MARAM,Segment data 39
100,0000000000000008,000005,E1MARAM,Segment data 40
100,0000000000000009,000001,E1MARAM,Segment data 41
100,0000000000000009,000002,E1MARAM,Segment data 42
100,0000000000000009,000003,E1MARAM,Segment data 43
100,0000000000000009,000004,E1MARAM,Segment data 44
100,0000000000000009,000005,E1MARAM,Segment data 45
100,0000000000000010,000001,E1MARAM,Segment data 46
100,0000000000000010,000002,E1MARAM,Segment data 47
100,0000000000000010,000003,E1MARAM,Segment data 48
100,0000000000000010,000004,E1MARAM,Segment data 49
100,0000000000000010,000005,E1MARAM,Segment data 50
100,0000000000000011,000001,E1MARAM,Segment data 51
100,0000000000000011,000002,E1MARAM,Segment data 52
100,0000000000000011,000003,E1MARAM,Segment data 53
100,0000000000000011,000004,E1MARAM,Segment data 54
100,0000000000000011,000005,E1MARAM,Segment data 55
100,0000000000000012,000001,E1MARAM,Segment data 56
100,0000000000000012,000002,E1MARAM,Segment data 57
100,0000000000000012,000003,E1MARAM,Segment data 58
100,0000000000000012,000004,E1MARAM,Segment data 59
100,0000000000000012,000005,E1MARAM,Segment data 60
100,0000000000000013,000001,E1MARAM,Segment data 61
100,0000000000000013,000002,E1MARAM,Segment data 62
100,0000000000000013,000003,E1MARAM,Segment data 63
100,0000000000000013,000004,E1MARAM,Segment data 64
100,0000000000000013,000005,E1MARAM,Segment data 65
100,0000000000000014,000001,E1MARAM,Segment data 66
100,0000000000000014,000002,E1MARAM,Segment data 67
100,0000000000000014,000003,E1MARAM,Segment data 68
100,0000000000000014,000004,E1MARAM,Segment data 69
100,0000000000000014,000005,E1MARAM,Segment data 70
100,0000000000000015,000001,E1MARAM,Segment data 71
100,0000000000000015,000002,E1MARAM,Segment data 72
100,0000000000000015,000003,E1MARAM,Segment data 73
100,0000000000000015,000004,E1MARAM,Segment data 74
100,0000000000000015,000005,E1MARAM,Segment data 75
100,0000000000000016,000001,E1MARAM,Segment data 76
100,0000000000000016,000002,E1MARAM,Segment data 77
100,0000000000000016,000003,E1MARAM,Segment data 78
100,0000000000000016,000004,E1MARAM,Segment data 79
100,0000000000000016,000005,E1MARAM,Segment data 80
100,0000000000000017,000001,E1MARAM,Segment data 81
100,0000000000000017,000002,E1MARAM,Segment data 82
100,0000000000000017,000003,E1MARAM,Segment data 83
100,0000000000000017,000004,E1MARAM,Segment data 84
100,0000000000000017,000005,E1MARAM,Segment data 85
100,0000000000000018,000001,E1MARAM,Segment data 86
100,0000000000000018,000002,E1MARAM,Segment data 87
100,0000000000000018,000003,E1MARAM,Segment data 88
100,0000000000000018,000004,E1MARAM,Segment data 89
100,0000000000000018,000005,E1MARAM,Segment data 90
100,0000000000000019,000001,E1MARAM,Segment data 91
100,0000000000000019,000002,E1MARAM,Segment data 92
100,0000000000000019,000003,E1MARAM,Segment data 93
100,0000000000000019,000004,E1MARAM,Segment data 94
100,0000000000000019,000005,E1MARAM,Segment data 95
100,0000000000000020,000001,E1MARAM,Segment data 96
100,0000000000000020,000002,E1MARAM,Segment data 97
100,0000000000000020,000003,E1MARAM,Segment data 98
100,0000000000000020,000004,E1MARAM,Segment data 99
100,0000000000000020,000005,E1MARAM,Segment data 100
100,0000000000000021,000001,E1MARAM,Segment data 101
100,0000000000000021,000002,E1MARAM,Segment data 102
100,0000000000000021,000003,E1MARAM,Segment data 103
100,0000000000000021,000004,E1MARAM,Segment data 104
100,0000000000000021,000005,E1MARAM,Segment data 105
100,0000000000000022,000001,E1MARAM,Segment data 106
100,0000000000000022,000002,E1MARAM,Segment data 107
100,0000000000000022,000003,E1MARAM,Segment data 108
100,0000000000000022,000004,E1MARAM,Segment data 109
100,0000000000000022,000005,E1MARAM,Segment data 110
100,0000000000000023,000001,E1MARAM,Segment data 111
100,0000000000000023,000002,E1MARAM,Segment data 112
100,0000000000000023,000003,E1MARAM,Segment data 113
100,0000000000000023,000004,E1MARAM,Segment data 114
100,0000000000000023,000005,E1MARAM,Segment data 115
100,0000000000000024,000001,E1MARAM,Segment data 116
100,0000000000000024,000002,E1MARAM,Segment data 117
100,0000000000000024,000003,E1MARAM,Segment data 118
100,0000000000000024,000004,E1MARAM,Segment data 119
