MANDT,DOCNUM,MESTYP,IDOCTP,STATUS,CREDAT,CRETIM,SNDPRT,SNDPRN,RCVPRT,RCVPRN
100,0000000000000001,MATMAS,MATMAS05,12,20241031,021523,LS,SAPCLNT100,LS,EXT001
100,0000000000000002,MATMAS,MATMAS05,13,20240415,135410,LS,SAPCLNT100,LS,EXT002
100,0000000000000003,MATMAS,MATMAS05,14,20230531,172005,LS,SAPCLNT100,LS,EXT003
100,0000000000000004,MATMAS,MATMAS05,15,20240808,224948,LS,SAPCLNT100,LS,EXT004
100,0000000000000005,MATMAS,MATMAS05,12,20240820,191050,LS,SAPCLNT100,LS,EXT005
100,0000000000000006,MATMAS,MATMAS05,13,20230811,015018,LS,SAPCLNT100,LS,EXT001
100,0000000000000007,MATMAS,MATMAS05,14,20220716,072136,LS,SAPCLNT100,LS,EXT002
100,0000000000000008,MATMAS,MATMAS05,15,20220508,065334,LS,SAPCLNT100,LS,EXT003
100,0000000000000009,MATMAS,MATMAS05,12,20230728,132639,LS,SAPCLNT100,LS,EXT004
100,0000000000000010,MATMAS,MATMAS05,13,20240812,162354,LS,SAPCLNT100,LS,EXT005
100,0000000000000011,MATMAS,MATMAS05,14,20220709,143922,LS,SAPCLNT100,LS,EXT001
100,0000000000000012,MATMAS,MATMAS05,15,20240611,141345,LS,SAPCLNT100,LS,EXT002
100,0000000000000013,MATMAS,MATMAS05,12,20220408,060539,LS,SAPCLNT100,LS,EXT003
100,0000000000000014,MATMAS,MATMAS05,13,20220307,050843,LS,SAPCLNT100,LS,EXT004
100,0000000000000015,MATMAS,MATMAS05,14,20220212,191418,LS,SAPCLNT100,LS,EXT005
100,0000000000000016,MATMAS,MATMAS05,15,20230829,132052,LS,SAPCLNT100,LS,EXT001
100,0000000000000017,MATMAS,MATMAS05,12,20221116,133150,LS,SAPCLNT100,LS,EXT002
100,0000000000000018,MATMAS,MATMAS05,13,20231227,005440,LS,SAPCLNT100,LS,EXT003
100,0000000000000019,MATMAS,MATMAS05,14,20220823,060644,LS,SAPCLNT100,LS,EXT004
100,0000000000000020,MATMAS,MATMAS05,15,20230517,145101,LS,SAPCLNT100,LS,EXT005
100,0000000000000021,MATMAS,MATMAS05,12,20231009,005336,LS,SAPCLNT100,LS,EXT001
100,0000000000000022,MATMAS,MATMAS05,13,20220124,130418,LS,SAPCLNT100,LS,EXT002
