MANDT,INFNR,MATNR,LIFNR,LOEKZ
100,INF0000001,MAT000137,VEN000001,
100,INF0000002,MAT000186,VEN000001,
100,INF0000003,MAT000460,VEN000001,
100,INF0000004,MAT000405,VEN000002,
100,INF0000005,MAT000406,VEN000002,
100,INF0000006,MAT000393,VEN000002,
100,INF0000007,MAT000260,VEN000002,
100,INF0000008,MAT000052,VEN000002,
100,INF0000009,MAT000296,VEN000002,
100,INF0000010,MAT000333,VEN000002,
100,INF0000011,MAT000292,VEN000003,
100,INF0000012,MAT000442,VEN000003,
100,INF0000013,MAT000079,VEN000003,
100,INF0000014,MAT000234,VEN000003,
100,INF0000015,MAT000493,VEN000003,
100,INF0000016,MAT000410,VEN000003,
100,INF0000017,MAT000309,VEN000003,
100,INF0000018,MAT000236,VEN000003,
100,INF0000019,MAT000328,VEN000003,
100,INF0000020,MAT000456,VEN000004,
100,INF0000021,MAT000209,VEN000004,
100,INF0000022,MAT000387,VEN000004,
100,INF0000023,MAT000096,VEN000004,
100,INF0000024,MAT000348,VEN000004,
100,INF0000025,MAT000298,VEN000004,
100,INF0000026,MAT000099,VEN000004,
100,INF0000027,MAT000437,VEN000004,
100,INF0000028,MAT000240,VEN000004,
100,INF0000029,MAT000366,VEN000004,
100,INF0000030,MAT000121,VEN000004,
100,INF0000031,MAT000099,VEN000005,
100,INF0000032,MAT000384,VEN000005,
100,INF0000033,MAT000445,VEN000005,
100,INF0000034,MAT000448,VEN000005,
100,INF0000035,MAT000306,VEN000005,
100,INF0000036,MAT000123,VEN000005,
100,INF0000037,MAT000182,VEN000005,
100,INF0000038,MAT000097,VEN000006,
100,INF0000039,MAT000208,VEN000006,
100,INF0000040,MAT000445,VEN000006,
100,INF0000041,MAT000452,VEN000006,
100,INF0000042,MAT000085,VEN000006,
100,INF0000043,MAT000448,VEN000006,
100,INF0000044,MAT000049,VEN000006,
100,INF0000045,MAT000223,VEN000006,
100,INF0000046,MAT000420,VEN000006,
100,INF0000047,MAT000260,VEN000006,
100,INF0000048,MAT000473,VEN000006,
100,INF0000049,MAT000442,VEN000006,
100,INF0000050,MAT000271,VEN000006,
100,INF0000051,MAT000455,VEN000006,
100,INF0000052,MAT000339,VEN000006,
100,INF0000053,MAT000236,VEN000007,
100,INF0000054,MAT000045,VEN000007,
100,INF0000055,MAT000081,VEN000007,
100,INF0000056,MAT000046,VEN000007,
100,INF0000057,MAT000204,VEN000007,
100,INF0000058,MAT000203,VEN000007,
100,INF0000059,MAT000458,VEN000007,
100,INF0000060,MAT000243,VEN000007,
100,INF0000061,MAT000049,VEN000007,
100,INF0000062,MAT000040,VEN000007,
100,INF0000063,MAT000227,VEN000007,
100,INF0000064,MAT000298,VEN000007,
100,INF0000065,MAT000437,VEN000007,
100,INF0000066,MAT000448,VEN000008,
100,INF0000067,MAT000380,VEN000008,
100,INF0000068,MAT000039,VEN000008,
100,INF0000069,MAT000037,VEN000008,
100,INF0000070,MAT000394,VEN000008,
100,INF0000071,MAT000165,VEN000008,
100,INF0000072,MAT000234,VEN000008,
100,INF0000073,MAT000162,VEN000008,
100,INF0000074,MAT000360,VEN000008,
100,INF0000075,MAT000331,VEN000008,
100,INF0000076,MAT000079,VEN000008,
100,INF0000077,MAT000040,VEN000009,
100,INF0000078,MAT000121,VEN000009,
100,INF0000079,MAT000409,VEN000009,
100,INF0000080,MAT000196,VEN000009,
100,INF0000081,MAT000461,VEN000009,
100,INF0000082,MAT000088,VEN000009,
100,INF0000083,MAT000291,VEN000009,
100,INF0000084,MAT000165,VEN000010,
100,INF0000085,MAT000085,VEN000010,
100,INF0000086,MAT000182,VEN000010,
100,INF0000087,MAT000094,VEN000010,
100,INF0000088,MAT000302,VEN000010,
100,INF0000089,MAT000137,VEN000010,
100,INF0000090,MAT000314,VEN000010,
100,INF0000091,MAT000470,VEN000011,
100,INF0000092,MAT000097,VEN000011,
100,INF0000093,MAT000393,VEN000011,
100,INF0000094,MAT000034,VEN000011,
100,INF0000095,MAT000410,VEN000011,
100,INF0000096,MAT000045,VEN000011,
100,INF0000097,MAT000085,VEN000011,
100,INF0000098,MAT000430,VEN000011,
100,INF0000099,MAT000336,VEN000011,
100,INF0000100,MAT000295,VEN000012,
