MANDT,INFNR,EKORG,WERKS,NETPR,WAERS,PEINH
100,INF0000001,1000,1200,1.25,EUR,100
100,INF0000002,1000,1400,0.76,EUR,10
100,INF0000003,1000,1400,16.21,EUR,100
100,INF0000004,1000,1400,7.09,EUR,100
100,INF0000005,1000,1200,4.24,EUR,100
100,INF0000006,1000,1200,12.06,EUR,1
100,INF0000007,1000,1100,16.48,EUR,100
100,INF0000008,1000,1200,18.76,EUR,10
100,INF0000009,1000,1000,12.68,EUR,10
100,INF0000010,1000,1400,19.13,EUR,1
100,INF0000011,1000,1000,11.06,EUR,10
100,INF0000012,1000,1300,10.6,EUR,100
100,INF0000013,1000,1200,9.87,EUR,10
100,INF0000014,1000,1000,12.54,EUR,10
100,INF0000015,1000,1200,1.5,EUR,1
100,INF0000016,1000,1200,9.98,EUR,100
100,INF0000017,1000,1000,12.89,EUR,100
100,INF0000018,1000,1100,16.36,EUR,10
100,INF0000019,1000,1000,13.2,EUR,10
100,INF0000020,1000,1200,5.04,EUR,1
100,INF0000021,1000,1300,8.65,EUR,100
100,INF0000022,1000,1000,18.01,EUR,100
100,INF0000023,1000,1300,19.15,EUR,10
100,INF0000024,1000,1400,4.59,EUR,100
100,INF0000025,1000,1300,2.52,EUR,1
100,INF0000026,1000,1000,7.14,EUR,10
100,INF0000027,1000,1100,9.47,EUR,1
100,INF0000028,1000,1100,19.72,EUR,100
100,INF0000029,1000,1300,13.53,EUR,1
100,INF0000030,1000,1000,18.38,EUR,100
100,INF0000031,1000,1200,9.6,EUR,100
100,INF0000032,1000,1300,7.08,EUR,1
100,INF0000033,1000,1000,7.97,EUR,1
100,INF0000034,1000,1200,14.96,EUR,10
100,INF0000035,1000,1400,14.92,EUR,10
100,INF0000036,1000,1400,12.22,EUR,1
100,INF0000037,1000,1300,2.61,EUR,100
100,INF0000038,1000,1100,5.95,EUR,1
100,INF0000039,1000,1000,16.7,EUR,100
100,INF0000040,1000,1000,5.58,EUR,10
100,INF0000041,1000,1300,7.34,EUR,100
100,INF0000042,1000,1100,13.96,EUR,100
100,INF0000043,1000,1200,15.72,EUR,10
100,INF0000044,1000,1200,11.22,EUR,100
100,INF0000045,1000,1300,3.9,EUR,100
100,INF0000046,1000,1200,16.01,EUR,10
100,INF0000047,1000,1000,6.13,EUR,10
100,INF0000048,1000,1200,7.97,EUR,100
100,INF0000049,1000,1400,2.1,EUR,1
100,INF0000050,1000,1200,5.27,EUR,1
100,INF0000051,1000,1000,15.35,EUR,10
100,INF0000052,1000,1200,19.45,EUR,1
100,INF0000053,1000,1200,9.98,EUR,1
100,INF0000054,1000,1100,17.35,EUR,1
100,INF0000055,1000,1000,7.53,EUR,10
100,INF0000056,1000,1400,8.22,EUR,100
100,INF0000057,1000,1300,9.01,EUR,100
100,INF0000058,1000,1200,8.44,EUR,10
100,INF0000059,1000,1300,10.79,EUR,1
100,INF0000060,1000,1000,0.73,EUR,100
100,INF0000061,1000,1100,5.43,EUR,100
100,INF0000062,1000,1000,19.25,EUR,10
100,INF0000063,1000,1400,15.12,EUR,1
100,INF0000064,1000,1100,17.64,EUR,1
100,INF0000065,1000,1200,12.45,EUR,10
100,INF0000066,1000,1300,5.8,EUR,100
100,INF0000067,1000,1300,10.68,EUR,100
100,INF0000068,1000,1100,11.72,EUR,10
100,INF0000069,1000,1400,4.54,EUR,1
100,INF0000070,1000,1400,3.59,EUR,1
100,INF0000071,1000,1200,9.8,EUR,10
100,INF0000072,1000,1300,19.18,EUR,100
100,INF0000073,1000,1000,7.64,EUR,10
100,INF0000074,1000,1300,14.62,EUR,10
100,INF0000075,1000,1000,3.79,EUR,10
100,INF0000076,1000,1000,18.72,EUR,100
100,INF0000077,1000,1400,2.72,EUR,10
100,INF0000078,1000,1200,11.37,EUR,10
100,INF0000079,1000,1100,14.24,EUR,100
100,INF0000080,1000,1000,13.56,EUR,10
100,INF0000081,1000,1100,7.86,EUR,100
100,INF0000082,1000,1400,17.88,EUR,10
100,INF0000083,1000,1200,4.17,EUR,1
100,INF0000084,1000,1000,18.8,EUR,10
100,INF0000085,1000,1300,11.52,EUR,10
100,INF0000086,1000,1200,14.74,EUR,100
100,INF0000087,1000,1400,10.44,EUR,10
100,INF0000088,1000,1400,2.6,EUR,10
100,INF0000089,1000,1400,6.08,EUR,10
100,INF0000090,1000,1000,7.62,EUR,100
100,INF0000091,1000,1100,6.8,EUR,10
100,INF0000092,1000,1100,11.21,EUR,1
100,INF0000093,1000,1200,16.93,EUR,100
100,INF0000094,1000,1300,18.29,EUR,10
