MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,MENGE,MEINS,DMBTR,WAERS
100,0045000000,00010,00001,1,2023,0050000000,001,715.546,KG,39233.39,EUR
100,0045000001,00010,00001,1,2024,0050000001,001,76.966,KG,1594.74,EUR
100,0045000002,00010,00001,1,2023,0050000002,001,346.987,KG,4691.26,EUR
100,0045000003,00010,00001,1,2024,0050000003,001,545.042,KG,31612.44,EUR
100,0045000004,00010,00001,1,2023,0050000004,001,394.4,KG,18422.42,EUR
100,0045000005,00010,00001,1,2024,0050000005,001,187.333,KG,18589.05,EUR
100,0045000006,00010,00001,1,2023,0050000006,001,377.354,KG,33746.77,EUR
100,0045000007,00010,00001,1,2024,0050000007,001,552.407,KG,35177.28,EUR
100,0045000008,00010,00001,1,2023,0050000008,001,190.923,KG,9987.18,EUR
100,0045000009,00010,00001,1,2024,0050000009,001,373.66,KG,19026.77,EUR
100,0045000010,00010,00001,1,2023,0050000010,001,318.595,KG,18382.93,EUR
100,0045000011,00010,00001,1,2024,0050000011,001,342.256,KG,12245.92,EUR
100,0045000012,00010,00001,1,2023,0050000012,001,808.28,KG,10055.0,EUR
100,0045000013,00010,00001,1,2024,0050000013,001,533.634,KG,7860.43,EUR
100,0045000014,00010,00001,1,2023,0050000014,001,377.463,KG,14656.89,EUR
100,0045000015,00010,00001,1,2024,0050000015,001,899.137,KG,56825.46,EUR
100,0045000016,00010,00001,1,2023,0050000016,001,90.451,KG,7773.36,EUR
100,0045000017,00010,00001,1,2024,0050000017,001,882.737,KG,64395.66,EUR
100,0045000018,00010,00001,1,2023,0050000018,001,643.261,KG,37161.19,EUR
100,0045000019,00010,00001,1,2024,0050000019,001,806.973,KG,35208.23,EUR
100,0045000020,00010,00001,1,2023,0050000020,001,245.056,KG,1467.89,EUR
100,0045000021,00010,00001,1,2024,0050000021,001,446.766,KG,31997.38,EUR
100,0045000022,00010,00001,1,2023,0050000022,001,676.679,KG,60786.07,EUR
100,0045000023,00010,00001,1,2024,0050000023,001,54.804,KG,5275.98,EUR
100,0045000024,00010,00001,1,2023,0050000024,001,952.123,KG,53061.81,EUR
100,0045000025,00010,00001,1,2024,0050000025,001,615.107,KG,51232.26,EUR
100,0045000026,00010,00001,1,2023,0050000026,001,934.111,KG,29461.86,EUR
100,0045000027,00010,00001,1,2024,0050000027,001,530.437,KG,19085.12,EUR
100,0045000028,00010,00001,1,2023,0050000028,001,718.029,KG,19516.03,EUR
100,0045000029,00010,00001,1,2024,0050000029,001,384.058,KG,10442.54,EUR
100,0045000030,00010,00001,1,2023,0050000030,001,825.726,KG,58312.77,EUR
100,0045000031,00010,00001,1,2024,0050000031,001,911.153,KG,24510.02,EUR
100,0045000032,00010,00001,1,2023,0050000032,001,679.8,KG,21651.63,EUR
100,0045000033,00010,00001,1,2024,0050000033,001,233.945,KG,18294.5,EUR
100,0045000034,00010,00001,1,2023,0050000034,001,610.643,KG,33072.42,EUR
