MANDT,EBELN,EBELP,ETENR,EINDT,MENGE
100,4500000001,00010,0001,20230715,26700
100,4500000001,00020,0001,20230719,30582
100,4500000002,00010,0001,20230830,43176
100,4500000002,00020,0001,20230918,666
100,4500000003,00010,0001,20250316,20079
100,4500000003,00020,0001,20250305,24573
100,4500000003,00030,0001,20250224,1980
100,4500000004,00010,0001,20240716,263
100,4500000004,00020,0001,20240720,34967
100,4500000005,00010,0001,20230202,37580
100,4500000005,00020,0001,20230128,16812
100,4500000005,00030,0001,20230119,41278
100,4500000005,00040,0001,20230115,37086
100,4500000006,00010,0001,20250402,33223
100,4500000006,00020,0001,20250412,11872
100,4500000007,00010,0001,20230807,6464
100,4500000008,00010,0001,20230321,22332
100,4500000008,00020,0001,20230319,3539
100,4500000008,00030,0001,20230320,1782
100,4500000008,00040,0001,20230324,14849
100,4500000009,00010,0001,20240922,25637
100,4500000010,00010,0001,20250725,5005
100,4500000011,00010,0001,20230721,6088
100,4500000011,00020,0001,20230809,2314
100,4500000011,00030,0001,20230730,5442
100,4500000012,00010,0001,20240909,12719
100,4500000012,00020,0001,20240918,41650
100,4500000013,00010,0001,20240419,37345
100,4500000013,00020,0001,20240425,26297
100,4500000014,00010,0001,20221006,177
100,4500000015,00010,0001,20240115,38475
100,4500000015,00020,0001,20240113,16653
100,4500000015,00030,0001,20240111,4037
100,4500000016,00010,0001,20250616,48231
100,4500000016,00020,0001,20250620,32458
100,4500000016,00030,0001,20250630,18810
100,4500000016,00040,0001,20250629,11348
100,4500000017,00010,0001,20250313,38155
100,4500000017,00020,0001,20250317,40462
100,4500000017,00030,0001,20250323,34913
100,4500000018,00010,0001,20220305,29107
100,4500000019,00010,0001,20241112,49699
100,4500000019,00020,0001,20241110,7037
100,4500000020,00010,0001,20241118,41512
100,4500000021,00010,0001,20221130,6193
100,4500000021,00020,0001,20221203,21676
100,4500000021,00030,0001,20221214,544
100,4500000022,00010,0001,20220409,2047
100,4500000023,00010,0001,20240601,27576
100,4500000023,00020,0001,20240527,14918
100,4500000023,00030,0001,20240520,11516
100,4500000024,00010,0001,20230802,43014
100,4500000024,00020,0001,20230728,3071
100,4500000025,00010,0001,20250527,37830
100,4500000025,00020,0001,20250523,17876
100,4500000025,00030,0001,20250518,113
100,4500000025,00040,0001,20250530,42792
100,4500000026,00010,0001,20221011,1939
100,4500000026,00020,0001,20221006,25722
100,4500000026,00030,0001,20221015,35489
100,4500000027,00010,0001,20250926,16631
100,4500000027,00020,0001,20250925,17674
100,4500000027,00030,0001,20251007,40145
100,4500000028,00010,0001,20250628,27775
100,4500000028,00020,0001,20250715,5221
100,4500000028,00030,0001,20250711,41429
100,4500000029,00010,0001,20250822,37676
100,4500000029,00020,0001,20250826,27744
100,4500000030,00010,0001,20230802,18987
100,4500000031,00010,0001,20241206,31908
100,4500000032,00010,0001,20241118,35745
100,4500000033,00010,0001,20220315,751
100,4500000033,00020,0001,20220306,48175
100,4500000033,00030,0001,20220310,16689
100,4500000034,00010,0001,20240716,7269
100,4500000035,00010,0001,20250820,15576
100,4500000035,00020,0001,20250907,27823
100,4500000035,00030,0001,20250830,34532
100,4500000035,00040,0001,20250901,39504
100,4500000036,00010,0001,20251022,32523
100,4500000036,00020,0001,20251027,46543
100,4500000037,00010,0001,20260103,5518
100,4500000038,00010,0001,20240121,33105
100,4500000039,00010,0001,20250118,23807
100,4500000040,00010,0001,20230708,29686
100,4500000040,00020,0001,20230708,34369
100,4500000041,00010,0001,20220223,383
100,4500000042,00010,0001,20250704,26894
100,4500000042,00020,0001,20250702,1686
100,4500000042,00030,0001,20250629,6779
100,4500000043,00010,0001,20231005,45176
100,4500000044,00010,0001,20231219,29632
100,4500000045,00010,0001,20220221,17438
100,4500000045,00020,0001,20220205,44248
100,4500000046,00010,0001,20250914,20593
100,4500000046,00020,0001,20250909,45875
100,4500000047,00010,0001,20220709,23098
100,4500000047,00020,0001,20220707,8265
100,4500000047,00030,0001,20220703,31967
100,4500000048,00010,0001,20220609,16848
100,4500000049,00010,0001,20230203,4341
100,4500000049,00020,0001,20230125,28274
100,4500000049,00030,0001,20230127,9534
100,4500000050,00010,0001,20220404,47567
100,4500000050,00020,0001,20220330,22426
100,4500000051,00010,0001,20240905,45674
100,4500000051,00020,0001,20240910,27620
100,4500000051,00030,0001,20240927,21869
100,4500000052,00010,0001,20231230,3342
100,4500000052,00020,0001,20231228,39834
100,4500000053,00010,0001,20220221,33069
100,4500000053,00020,0001,20220221,45439
100,4500000053,00030,0001,20220227,36011
100,4500000053,00040,0001,20220213,37412
100,4500000054,00010,0001,20220817,11297
100,4500000054,00020,0001,20220726,18574
100,4500000055,00010,0001,20221210,1872
100,4500000056,00010,0001,20250522,27410
100,4500000057,00010,0001,20230815,11293
100,4500000057,00020,0001,20230809,43119
100,4500000058,00010,0001,20220825,9535
