MANDT,EBELN,EBELP,MATNR,MENGE,MEINS,NETPR,WAERS,WERKS
100,4500000001,00010,MAT000420,26700,KG,3.56,EUR,1300
100,4500000001,00020,MAT000244,30582,KG,13.0,EUR,1200
100,4500000002,00010,MAT000459,43176,KG,9.83,EUR,1300
100,4500000002,00020,MAT000481,666,KG,2.36,EUR,1400
100,4500000003,00010,MAT000410,20079,KG,0.74,EUR,1300
100,4500000003,00020,MAT000269,24573,KG,14.45,EUR,1400
100,4500000003,00030,MAT000489,1980,KG,4.21,EUR,1000
100,4500000004,00010,MAT000269,263,KG,2.28,EUR,1200
100,4500000004,00020,MAT000478,34967,KG,8.68,EUR,1300
100,4500000005,00010,MAT000456,37580,KG,6.17,EUR,1100
100,4500000005,00020,MAT000185,16812,KG,5.19,EUR,1300
100,4500000005,00030,MAT000336,41278,KG,12.19,EUR,1000
100,4500000005,00040,MAT000295,37086,KG,3.47,EUR,1400
100,4500000006,00010,MAT000048,33223,KG,12.51,EUR,1300
100,4500000006,00020,MAT000123,11872,KG,6.36,EUR,1100
100,4500000007,00010,MAT000498,6464,KG,11.03,EUR,1400
100,4500000008,00010,MAT000452,22332,KG,9.1,EUR,1200
100,4500000008,00020,MAT000162,3539,KG,1.57,EUR,1300
100,4500000008,00030,MAT000047,1782,KG,11.46,EUR,1200
100,4500000008,00040,MAT000351,14849,KG,14.36,EUR,1000
100,4500000009,00010,MAT000405,25637,KG,9.95,EUR,1400
100,4500000010,00010,MAT000032,5005,KG,8.23,EUR,1300
100,4500000011,00010,MAT000049,6088,KG,12.7,EUR,1400
100,4500000011,00020,MAT000362,2314,KG,14.1,EUR,1300
100,4500000011,00030,MAT000407,5442,KG,10.06,EUR,1300
100,4500000012,00010,MAT000273,12719,KG,12.68,EUR,1300
100,4500000012,00020,MAT000137,41650,KG,10.39,EUR,1200
100,4500000013,00010,MAT000436,37345,KG,2.1,EUR,1100
100,4500000013,00020,MAT000467,26297,KG,4.77,EUR,1400
100,4500000014,00010,MAT000196,177,KG,2.56,EUR,1400
100,4500000015,00010,MAT000227,38475,KG,10.63,EUR,1400
100,4500000015,00020,MAT000436,16653,KG,7.67,EUR,1200
100,4500000015,00030,MAT000373,4037,KG,8.69,EUR,1400
100,4500000016,00010,MAT000328,48231,KG,10.42,EUR,1100
100,4500000016,00020,MAT000296,32458,KG,4.97,EUR,1300
100,4500000016,00030,MAT000051,18810,KG,14.71,EUR,1000
100,4500000016,00040,MAT000094,11348,KG,14.41,EUR,1100
100,4500000017,00010,MAT000406,38155,KG,12.96,EUR,1000
100,4500000017,00020,MAT000040,40462,KG,5.71,EUR,1400
100,4500000017,00030,MAT000295,34913,KG,7.12,EUR,1100
100,4500000018,00010,MAT000147,29107,KG,1.42,EUR,1100
100,4500000019,00010,MAT000186,49699,KG,11.47,EUR,1200
100,4500000019,00020,MAT000208,7037,KG,12.7,EUR,1400
100,4500000020,00010,MAT000208,41512,KG,0.72,EUR,1200
100,4500000021,00010,MAT000314,6193,KG,13.81,EUR,1300
100,4500000021,00020,MAT000098,21676,KG,12.45,EUR,1200
100,4500000021,00030,MAT000406,544,KG,8.21,EUR,1200
100,4500000022,00010,MAT000149,2047,KG,12.73,EUR,1100
100,4500000023,00010,MAT000392,27576,KG,0.78,EUR,1200
100,4500000023,00020,MAT000394,14918,KG,12.69,EUR,1300
100,4500000023,00030,MAT000492,11516,KG,12.77,EUR,1100
100,4500000024,00010,MAT000045,43014,KG,14.77,EUR,1000
100,4500000024,00020,MAT000085,3071,KG,4.61,EUR,1000
100,4500000025,00010,MAT000123,37830,KG,0.71,EUR,1200
100,4500000025,00020,MAT000489,17876,KG,10.82,EUR,1000
100,4500000025,00030,MAT000016,113,KG,12.78,EUR,1300
100,4500000025,00040,MAT000395,42792,KG,6.53,EUR,1000
100,4500000026,00010,MAT000196,1939,KG,12.7,EUR,1300
100,4500000026,00020,MAT000236,25722,KG,13.32,EUR,1100
100,4500000026,00030,MAT000448,35489,KG,9.12,EUR,1200
100,4500000027,00010,MAT000232,16631,KG,9.92,EUR,1200
100,4500000027,00020,MAT000115,17674,KG,12.59,EUR,1100
100,4500000027,00030,MAT000333,40145,KG,12.21,EUR,1000
100,4500000028,00010,MAT000366,27775,KG,3.76,EUR,1200
100,4500000028,00020,MAT000348,5221,KG,0.62,EUR,1200
100,4500000028,00030,MAT000430,41429,KG,7.16,EUR,1300
100,4500000029,00010,MAT000269,37676,KG,5.72,EUR,1100
100,4500000029,00020,MAT000409,27744,KG,2.19,EUR,1100
100,4500000030,00010,MAT000494,18987,KG,4.76,EUR,1100
100,4500000031,00010,MAT000277,31908,KG,6.85,EUR,1400
100,4500000032,00010,MAT000307,35745,KG,14.79,EUR,1300
100,4500000033,00010,MAT000277,751,KG,13.21,EUR,1000
100,4500000033,00020,MAT000105,48175,KG,12.3,EUR,1400
100,4500000033,00030,MAT000390,16689,KG,6.09,EUR,1000
100,4500000034,00010,MAT000196,7269,KG,14.72,EUR,1200
100,4500000035,00010,MAT000389,15576,KG,3.13,EUR,1400
100,4500000035,00020,MAT000394,27823,KG,13.23,EUR,1100
100,4500000035,00030,MAT000448,34532,KG,6.93,EUR,1000
100,4500000035,00040,MAT000234,39504,KG,6.5,EUR,1100
100,4500000036,00010,MAT000424,32523,KG,1.97,EUR,1000
100,4500000036,00020,MAT000079,46543,KG,7.12,EUR,1200
100,4500000037,00010,MAT000186,5518,KG,11.73,EUR,1100
100,4500000038,00010,MAT000436,33105,KG,3.6,EUR,1000
100,4500000039,00010,MAT000390,23807,KG,11.27,EUR,1400
100,4500000040,00010,MAT000097,29686,KG,3.6,EUR,1000
100,4500000040,00020,MAT000442,34369,KG,11.64,EUR,1300
100,4500000041,00010,MAT000409,383,KG,9.88,EUR,1400
100,4500000042,00010,MAT000123,26894,KG,10.42,EUR,1100
100,4500000042,00020,MAT000252,1686,KG,6.89,EUR,1000
