MANDT,RLDNR,BUKRS,GJAHR,BELNR,DOCLN,RACCT,KOSTL,HSL,RHCUR,BUDAT
100,0L,1000,2023,0010000000,000001,100000,0000001000,9784.51,EUR,20221028
100,0L,2000,2024,0010000001,000002,100001,0000001100,3989.65,EUR,20220524
100,0L,1000,2023,0010000002,000003,100002,0000001200,1775.7,EUR,20230411
100,0L,2000,2024,0010000003,000004,100003,0000001300,1055.45,EUR,20221125
100,0L,1000,2023,0010000004,000005,100004,0000001400,6281.74,EUR,20231228
100,0L,2000,2024,0010000005,000001,100005,0000001500,2800.06,EUR,20240215
100,0L,1000,2023,0010000006,000002,100006,0000001600,6767.76,EUR,20220811
100,0L,2000,2024,0010000007,000003,100007,0000001700,1920.2,EUR,20220227
100,0L,1000,2023,0010000008,000004,100008,0000001800,7116.71,EUR,20221203
100,0L,2000,2024,0010000009,000005,100009,0000001900,3255.95,EUR,20230720
100,0L,1000,2023,0010000010,000001,100010,0000002000,3445.16,EUR,20221104
100,0L,2000,2024,0010000011,000002,100011,0000002100,7252.32,EUR,20220810
100,0L,1000,2023,0010000012,000003,100012,0000002200,5984.37,EUR,20220808
100,0L,2000,2024,0010000013,000004,100013,0000002300,5771.8,EUR,20220123
100,0L,1000,2023,0010000014,000005,100014,0000002400,457.96,EUR,20241118
100,0L,2000,2024,0010000015,000001,100015,0000002500,2712.66,EUR,20240409
100,0L,1000,2023,0010000016,000002,100016,0000002600,4218.36,EUR,20220423
100,0L,2000,2024,0010000017,000003,100017,0000002700,5549.3,EUR,20231213
100,0L,1000,2023,0010000018,000004,100018,0000002800,5056.29,EUR,20230424
100,0L,2000,2024,0010000019,000005,100019,0000002900,6437.11,EUR,20220808
100,0L,1000,2023,0010000020,000001,100020,0000003000,4037.51,EUR,20230127
100,0L,2000,2024,0010000021,000002,100021,0000003100,6768.0,EUR,20220319
100,0L,1000,2023,0010000022,000003,100022,0000003200,647.76,EUR,20230512
100,0L,2000,2024,0010000023,000004,100023,0000003300,9488.03,EUR,20231124
100,0L,1000,2023,0010000024,000005,100024,0000003400,7053.23,EUR,20240824
100,0L,2000,2024,0010000025,000001,100025,0000003500,5651.31,EUR,20240109
100,0L,1000,2023,0010000026,000002,100026,0000003600,4675.31,EUR,20230310
100,0L,2000,2024,0010000027,000003,100027,0000003700,7002.45,EUR,20221121
100,0L,1000,2023,0010000028,000004,100028,0000003800,7769.09,EUR,20221212
100,0L,2000,2024,0010000029,000005,100029,0000003900,154.24,EUR,20240716
100,0L,1000,2023,0010000030,000001,100030,0000004000,5107.59,EUR,20240425
100,0L,2000,2024,0010000031,000002,100031,0000004100,3574.49,EUR,20240715
100,0L,1000,2023,0010000032,000003,100032,0000004200,2497.88,EUR,20240925
100,0L,2000,2024,0010000033,000004,100033,0000004300,5455.82,EUR,20240709
100,0L,1000,2023,0010000034,000005,100034,0000004400,607.73,EUR,20220322
100,0L,2000,2024,0010000035,000001,100035,0000004500,2383.48,EUR,20220406
100,0L,1000,2023,0010000036,000002,100036,0000004600,8920.52,EUR,20230721
100,0L,2000,2024,0010000037,000003,100037,0000004700,756.35,EUR,20221005
100,0L,1000,2023,0010000038,000004,100038,0000004800,5939.54,EUR,20220707
100,0L,2000,2024,0010000039,000005,100039,0000004900,5281.98,EUR,20230325
100,0L,1000,2023,0010000040,000001,100040,0000005000,5185.11,EUR,20241101
100,0L,2000,2024,0010000041,000002,100041,0000005100,1327.54,EUR,20240603
100,0L,1000,2023,0010000042,000003,100042,0000005200,2465.4,EUR,20230601
100,0L,2000,2024,0010000043,000004,100043,0000005300,255.97,EUR,20220205
100,0L,1000,2023,0010000044,000005,100044,0000005400,4856.69,EUR,20220719
100,0L,2000,2024,0010000045,000001,100045,0000005500,3252.09,EUR,20220905
100,0L,1000,2023,0010000046,000002,100046,0000005600,5305.91,EUR,20220202
100,0L,2000,2024,0010000047,000003,100047,0000005700,8887.53,EUR,20230815
100,0L,1000,2023,0010000048,000004,100048,0000005800,6603.67,EUR,20221110
100,0L,2000,2024,0010000049,000005,100049,0000005900,4400.14,EUR,20220424
100,0L,1000,2023,0010000050,000001,100050,0000001000,3492.05,EUR,20230425
100,0L,2000,2024,0010000051,000002,100051,0000001100,9488.7,EUR,20221022
100,0L,1000,2023,0010000052,000003,100052,0000001200,6848.77,EUR,20221020
100,0L,2000,2024,0010000053,000004,100053,0000001300,9617.97,EUR,20240317
100,0L,1000,2023,0010000054,000005,100054,0000001400,1980.23,EUR,20230221
100,0L,2000,2024,0010000055,000001,100055,0000001500,9844.06,EUR,20220608
100,0L,1000,2023,0010000056,000002,100056,0000001600,5951.6,EUR,20230517
100,0L,2000,2024,0010000057,000003,100057,0000001700,9148.06,EUR,20241029
100,0L,1000,2023,0010000058,000004,100058,0000001800,1947.19,EUR,20241023
100,0L,2000,2024,0010000059,000005,100059,0000001900,950.08,EUR,20220331
100,0L,1000,2023,0010000060,000001,100060,0000002000,5548.75,EUR,20221026
100,0L,2000,2024,0010000061,000002,100061,0000002100,2001.44,EUR,20220320
100,0L,1000,2023,0010000062,000003,100062,0000002200,6259.9,EUR,20230506
100,0L,2000,2024,0010000063,000004,100063,0000002300,1805.82,EUR,20221008
100,0L,1000,2023,0010000064,000005,100064,0000002400,1195.43,EUR,20220708
100,0L,2000,2024,0010000065,000001,100065,0000002500,4206.22,EUR,20231121
100,0L,1000,2023,0010000066,000002,100066,0000002600,836.62,EUR,20231109
100,0L,2000,2024,0010000067,000003,100067,0000002700,4327.65,EUR,20241030
100,0L,1000,2023,0010000068,000004,100068,0000002800,8237.66,EUR,20220828
100,0L,2000,2024,0010000069,000005,100069,0000002900,2237.35,EUR,20220730
100,0L,1000,2023,0010000070,000001,100070,0000003000,7209.51,EUR,20220811
100,0L,2000,2024,0010000071,000002,100071,0000003100,998.22,EUR,20221112
100,0L,1000,2023,0010000072,000003,100072,0000003200,8472.82,EUR,20241106
100,0L,2000,2024,0010000073,000004,100073,0000003300,6635.61,EUR,20231108
100,0L,1000,2023,0010000074,000005,100074,0000003400,8820.42,EUR,20220811
100,0L,2000,2024,0010000075,000001,100075,0000003500,5909.05,EUR,20231004
100,0L,1000,2023,0010000076,000002,100076,0000003600,557.92,EUR,20220905
100,0L,2000,2024,0010000077,000003,100077,0000003700,7170.49,EUR,20240406
100,0L,1000,2023,0010000078,000004,100078,0000003800,1211.18,EUR,20240327
100,0L,2000,2024,0010000079,000005,100079,0000003900,5836.62,EUR,20241017
100,0L,1000,2023,0010000080,000001,100080,0000004000,2868.61,EUR,20240911
100,0L,2000,2024,0010000081,000002,100081,0000004100,4028.27,EUR,20230107
100,0L,1000,2023,0010000082,000003,100082,0000004200,1862.23,EUR,20220603
100,0L,2000,2024,0010000083,000004,100083,0000004300,1594.38,EUR,20220809
100,0L,1000,2023,0010000084,000005,100084,0000004400,1672.67,EUR,20220805
100,0L,2000,2024,0010000085,000001,100085,0000004500,9770.79,EUR,20221124
100,0L,1000,2023,0010000086,000002,100086,0000004600,1819.28,EUR,20240920
100,0L,2000,2024,0010000087,000003,100087,0000004700,9331.93,EUR,20240319
100,0L,1000,2023,0010000088,000004,100088,0000004800,1281.74,EUR,20220525
100,0L,2000,2024,0010000089,000005,100089,0000004900,4881.01,EUR,20240820
100,0L,1000,2023,0010000090,000001,100090,0000005000,6644.86,EUR,20230602
100,0L,2000,2024,0010000091,000002,100091,0000005100,9982.25,EUR,20220919
100,0L,1000,2023,0010000092,000003,100092,0000005200,3029.65,EUR,20241028
100,0L,2000,2024,0010000093,000004,100093,0000005300,5185.9,EUR,20240711
100,0L,1000,2023,0010000094,000005,100094,0000005400,7693.76,EUR,20240304
100,0L,2000,2024,0010000095,000001,100095,0000005500,1116.99,EUR,20220326
100,0L,1000,2023,0010000096,000002,100096,0000005600,7339.4,EUR,20220215
100,0L,2000,2024,0010000097,000003,100097,0000005700,5734.94,EUR,20241003
100,0L,1000,2023,0010000098,000004,100098,0000005800,4805.05,EUR,20240503
100,0L,2000,2024,0010000099,000005,100099,0000005900,5897.87,EUR,20240206
100,0L,1000,2023,0010000100,000001,100000,0000001000,4586.29,EUR,20220502
100,0L,2000,2024,0010000101,000002,100001,0000001100,7875.66,EUR,20241008
100,0L,1000,2023,0010000102,000003,100002,0000001200,6617.82,EUR,20220104
100,0L,2000,2024,0010000103,000004,100003,0000001300,2051.45,EUR,20240704
100,0L,1000,2023,0010000104,000005,100004,0000001400,2289.83,EUR,20230329
100,0L,2000,2024,0010000105,000001,100005,0000001500,3581.55,EUR,20220719
100,0L,1000,2023,0010000106,000002,100006,0000001600,1831.89,EUR,20240126
100,0L,2000,2024,0010000107,000003,100007,0000001700,5923.43,EUR,20230814
100,0L,1000,2023,0010000108,000004,100008,0000001800,5379.72,EUR,20230201
100,0L,2000,2024,0010000109,000005,100009,0000001900,5890.42,EUR,20220728
100,0L,1000,2023,0010000110,000001,100010,0000002000,1773.89,EUR,20220530
100,0L,2000,2024,0010000111,000002,100011,0000002100,4292.68,EUR,20220917
100,0L,1000,2023,0010000112,000003,100012,0000002200,6528.5,EUR,20241102
100,0L,2000,2024,0010000113,000004,100013,0000002300,9397.81,EUR,20231129
100,0L,1000,2023,0010000114,000005,100014,0000002400,4177.03,EUR,20221127
100,0L,2000,2024,0010000115,000001,100015,0000002500,4138.68,EUR,20240201
100,0L,1000,2023,0010000116,000002,100016,0000002600,224.34,EUR,20230628
100,0L,2000,2024,0010000117,000003,100017,0000002700,4183.12,EUR,20220226
100,0L,1000,2023,0010000118,000004,100018,0000002800,4177.09,EUR,20240610
100,0L,2000,2024,0010000119,000005,100019,0000002900,4118.76,EUR,20230602
100,0L,1000,2023,0010000120,000001,100020,0000003000,9997.43,EUR,20220724
100,0L,2000,2024,0010000121,000002,100021,0000003100,6873.99,EUR,20230927
100,0L,1000,2023,0010000122,000003,100022,0000003200,2867.88,EUR,20230813
100,0L,2000,2024,0010000123,000004,100023,0000003300,8744.8,EUR,20230606
100,0L,1000,2023,0010000124,000005,100024,0000003400,2313.99,EUR,20240527
100,0L,2000,2024,0010000125,000001,100025,0000003500,4864.95,EUR,20230518
100,0L,1000,2023,0010000126,000002,100026,0000003600,8226.05,EUR,20220924
100,0L,2000,2024,0010000127,000003,100027,0000003700,548.21,EUR,20220715
100,0L,1000,2023,0010000128,000004,100028,0000003800,6674.48,EUR,20230518
100,0L,2000,2024,0010000129,000005,100029,0000003900,1548.03,EUR,20231125
100,0L,1000,2023,0010000130,000001,100030,0000004000,5948.69,EUR,20231110
100,0L,2000,2024,0010000131,000002,100031,0000004100,8091.56,EUR,20240624
100,0L,1000,2023,0010000132,000003,100032,0000004200,6924.49,EUR,20240121
100,0L,2000,2024,0010000133,000004,100033,0000004300,3298.8,EUR,20230913
100,0L,1000,2023,0010000134,000005,100034,0000004400,492.22,EUR,20230111
100,0L,2000,2024,0010000135,000001,100035,0000004500,7921.43,EUR,20240202
100,0L,1000,2023,0010000136,000002,100036,0000004600,3716.13,EUR,20230218
100,0L,2000,2024,0010000137,000003,100037,0000004700,1466.48,EUR,20221024
