MANDT,PLVAR,OTYPE,OBJID,BEGDA,ENDDA,STEXT,LANGU
100,01,O,00000001,20200101,99991231,Org Object 1,E
100,01,S,00000002,20200101,99991231,Org Object 2,E
100,01,P,00000003,20200101,99991231,Org Object 3,E
100,01,O,00000004,20200101,99991231,Org Object 4,E
100,01,S,00000005,20200101,99991231,Org Object 5,E
100,01,P,00000006,20200101,99991231,Org Object 6,E
100,01,O,00000007,20200101,99991231,Org Object 7,E
100,01,S,00000008,20200101,99991231,Org Object 8,E
100,01,P,00000009,20200101,99991231,Org Object 9,E
100,01,O,00000010,20200101,99991231,Org Object 10,E
100,01,S,00000011,20200101,99991231,Org Object 11,E
100,01,P,00000012,20200101,99991231,Org Object 12,E
100,01,O,00000013,20200101,99991231,Org Object 13,E
100,01,S,00000014,20200101,99991231,Org Object 14,E
100,01,P,00000015,20200101,99991231,Org Object 15,E
100,01,O,00000016,20200101,99991231,Org Object 16,E
100,01,S,00000017,20200101,99991231,Org Object 17,E
100,01,P,00000018,20200101,99991231,Org Object 18,E
100,01,O,00000019,20200101,99991231,Org Object 19,E
100,01,S,00000020,20200101,99991231,Org Object 20,E
100,01,P,00000021,20200101,99991231,Org Object 21,E
100,01,O,00000022,20200101,99991231,Org Object 22,E
100,01,S,00000023,20200101,99991231,Org Object 23,E
100,01,P,00000024,20200101,99991231,Org Object 24,E
100,01,O,00000025,20200101,99991231,Org Object 25,E
100,01,S,00000026,20200101,99991231,Org Object 26,E
100,01,P,00000027,20200101,99991231,Org Object 27,E
100,01,O,00000028,20200101,99991231,Org Object 28,E
100,01,S,00000029,20200101,99991231,Org Object 29,E
100,01,P,00000030,20200101,99991231,Org Object 30,E
100,01,O,00000031,20200101,99991231,Org Object 31,E
100,01,S,00000032,20200101,99991231,Org Object 32,E
100,01,P,00000033,20200101,99991231,Org Object 33,E
100,01,O,00000034,20200101,99991231,Org Object 34,E
100,01,S,00000035,20200101,99991231,Org Object 35,E
100,01,P,00000036,20200101,99991231,Org Object 36,E
100,01,O,00000037,20200101,99991231,Org Object 37,E
100,01,S,00000038,20200101,99991231,Org Object 38,E
100,01,P,00000039,20200101,99991231,Org Object 39,E
100,01,O,00000040,20200101,99991231,Org Object 40,E
100,01,S,00000041,20200101,99991231,Org Object 41,E
100,01,P,00000042,20200101,99991231,Org Object 42,E
100,01,O,00000043,20200101,99991231,Org Object 43,E
100,01,S,00000044,20200101,99991231,Org Object 44,E
100,01,P,00000045,20200101,99991231,Org Object 45,E
100,01,O,00000046,20200101,99991231,Org Object 46,E
100,01,S,00000047,20200101,99991231,Org Object 47,E
100,01,P,00000048,20200101,99991231,Org Object 48,E
100,01,O,00000049,20200101,99991231,Org Object 49,E
100,01,S,00000050,20200101,99991231,Org Object 50,E
100,01,P,00000051,20200101,99991231,Org Object 51,E
100,01,O,00000052,20200101,99991231,Org Object 52,E
100,01,S,00000053,20200101,99991231,Org Object 53,E
100,01,P,00000054,20200101,99991231,Org Object 54,E
100,01,O,00000055,20200101,99991231,Org Object 55,E
100,01,S,00000056,20200101,99991231,Org Object 56,E
100,01,P,00000057,20200101,99991231,Org Object 57,E
100,01,O,00000058,20200101,99991231,Org Object 58,E
100,01,S,00000059,20200101,99991231,Org Object 59,E
100,01,P,00000060,20200101,99991231,Org Object 60,E
100,01,O,00000061,20200101,99991231,Org Object 61,E
100,01,S,00000062,20200101,99991231,Org Object 62,E
100,01,P,00000063,20200101,99991231,Org Object 63,E
100,01,O,00000064,20200101,99991231,Org Object 64,E
100,01,S,00000065,20200101,99991231,Org Object 65,E
100,01,P,00000066,20200101,99991231,Org Object 66,E
100,01,O,00000067,20200101,99991231,Org Object 67,E
100,01,S,00000068,20200101,99991231,Org Object 68,E
100,01,P,00000069,20200101,99991231,Org Object 69,E
100,01,O,00000070,20200101,99991231,Org Object 70,E
100,01,S,00000071,20200101,99991231,Org Object 71,E
100,01,P,00000072,20200101,99991231,Org Object 72,E
100,01,O,00000073,20200101,99991231,Org Object 73,E
100,01,S,00000074,20200101,99991231,Org Object 74,E
100,01,P,00000075,20200101,99991231,Org Object 75,E
100,01,O,00000076,20200101,99991231,Org Object 76,E
100,01,S,00000077,20200101,99991231,Org Object 77,E
100,01,P,00000078,20200101,99991231,Org Object 78,E
100,01,O,00000079,20200101,99991231,Org Object 79,E
100,01,S,00000080,20200101,99991231,Org Object 80,E
100,01,P,00000081,20200101,99991231,Org Object 81,E
100,01,O,00000082,20200101,99991231,Org Object 82,E
100,01,S,00000083,20200101,99991231,Org Object 83,E
100,01,P,00000084,20200101,99991231,Org Object 84,E
100,01,O,00000085,20200101,99991231,Org Object 85,E
100,01,S,00000086,20200101,99991231,Org Object 86,E
100,01,P,00000087,20200101,99991231,Org Object 87,E
100,01,O,00000088,20200101,99991231,Org Object 88,E
100,01,S,00000089,20200101,99991231,Org Object 89,E
100,01,P,00000090,20200101,99991231,Org Object 90,E
100,01,O,00000091,20200101,99991231,Org Object 91,E
100,01,S,00000092,20200101,99991231,Org Object 92,E
100,01,P,00000093,20200101,99991231,Org Object 93,E
100,01,O,00000094,20200101,99991231,Org Object 94,E
100,01,S,00000095,20200101,99991231,Org Object 95,E
100,01,P,00000096,20200101,99991231,Org Object 96,E
100,01,O,00000097,20200101,99991231,Org Object 97,E
100,01,S,00000098,20200101,99991231,Org Object 98,E
100,01,P,00000099,20200101,99991231,Org Object 99,E
100,01,O,00000100,20200101,99991231,Org Object 100,E
