MANDT,PLVAR,OTYPE,OBJID,BEGDA,ENDDA,DESSION
100,01,O,00000001,20200101,99991231,Description for object 1
100,01,S,00000002,20200101,99991231,Description for object 2
100,01,P,00000003,20200101,99991231,Description for object 3
100,01,O,00000004,20200101,99991231,Description for object 4
100,01,S,00000005,20200101,99991231,Description for object 5
100,01,P,00000006,20200101,99991231,Description for object 6
100,01,O,00000007,20200101,99991231,Description for object 7
100,01,S,00000008,20200101,99991231,Description for object 8
100,01,P,00000009,20200101,99991231,Description for object 9
100,01,O,00000010,20200101,99991231,Description for object 10
100,01,S,00000011,20200101,99991231,Description for object 11
100,01,P,00000012,20200101,99991231,Description for object 12
100,01,O,00000013,20200101,99991231,Description for object 13
100,01,S,00000014,20200101,99991231,Description for object 14
100,01,P,00000015,20200101,99991231,Description for object 15
100,01,O,00000016,20200101,99991231,Description for object 16
100,01,S,00000017,20200101,99991231,Description for object 17
100,01,P,00000018,20200101,99991231,Description for object 18
100,01,O,00000019,20200101,99991231,Description for object 19
100,01,S,00000020,20200101,99991231,Description for object 20
100,01,P,00000021,20200101,99991231,Description for object 21
100,01,O,00000022,20200101,99991231,Description for object 22
100,01,S,00000023,20200101,99991231,Description for object 23
100,01,P,00000024,20200101,99991231,Description for object 24
100,01,O,00000025,20200101,99991231,Description for object 25
100,01,S,00000026,20200101,99991231,Description for object 26
100,01,P,00000027,20200101,99991231,Description for object 27
100,01,O,00000028,20200101,99991231,Description for object 28
100,01,S,00000029,20200101,99991231,Description for object 29
100,01,P,00000030,20200101,99991231,Description for object 30
100,01,O,00000031,20200101,99991231,Description for object 31
100,01,S,00000032,20200101,99991231,Description for object 32
100,01,P,00000033,20200101,99991231,Description for object 33
100,01,O,00000034,20200101,99991231,Description for object 34
100,01,S,00000035,20200101,99991231,Description for object 35
100,01,P,00000036,20200101,99991231,Description for object 36
100,01,O,00000037,20200101,99991231,Description for object 37
100,01,S,00000038,20200101,99991231,Description for object 38
100,01,P,00000039,20200101,99991231,Description for object 39
100,01,O,00000040,20200101,99991231,Description for object 40
100,01,S,00000041,20200101,99991231,Description for object 41
100,01,P,00000042,20200101,99991231,Description for object 42
100,01,O,00000043,20200101,99991231,Description for object 43
100,01,S,00000044,20200101,99991231,Description for object 44
100,01,P,00000045,20200101,99991231,Description for object 45
100,01,O,00000046,20200101,99991231,Description for object 46
100,01,S,00000047,20200101,99991231,Description for object 47
100,01,P,00000048,20200101,99991231,Description for object 48
100,01,O,00000049,20200101,99991231,Description for object 49
100,01,S,00000050,20200101,99991231,Description for object 50
100,01,P,00000051,20200101,99991231,Description for object 51
100,01,O,00000052,20200101,99991231,Description for object 52
100,01,S,00000053,20200101,99991231,Description for object 53
100,01,P,00000054,20200101,99991231,Description for object 54
100,01,O,00000055,20200101,99991231,Description for object 55
100,01,S,00000056,20200101,99991231,Description for object 56
100,01,P,00000057,20200101,99991231,Description for object 57
100,01,O,00000058,20200101,99991231,Description for object 58
100,01,S,00000059,20200101,99991231,Description for object 59
100,01,P,00000060,20200101,99991231,Description for object 60
100,01,O,00000061,20200101,99991231,Description for object 61
100,01,S,00000062,20200101,99991231,Description for object 62
100,01,P,00000063,20200101,99991231,Description for object 63
100,01,O,00000064,20200101,99991231,Description for object 64
100,01,S,00000065,20200101,99991231,Description for object 65
100,01,P,00000066,20200101,99991231,Description for object 66
100,01,O,00000067,20200101,99991231,Description for object 67
100,01,S,00000068,20200101,99991231,Description for object 68
100,01,P,00000069,20200101,99991231,Description for object 69
100,01,O,00000070,20200101,99991231,Description for object 70
100,01,S,00000071,20200101,99991231,Description for object 71
100,01,P,00000072,20200101,99991231,Description for object 72
100,01,O,00000073,20200101,99991231,Description for object 73
100,01,S,00000074,20200101,99991231,Description for object 74
100,01,P,00000075,20200101,99991231,Description for object 75
100,01,O,00000076,20200101,99991231,Description for object 76
100,01,S,00000077,20200101,99991231,Description for object 77
100,01,P,00000078,20200101,99991231,Description for object 78
100,01,O,00000079,20200101,99991231,Description for object 79
100,01,S,00000080,20200101,99991231,Description for object 80
100,01,P,00000081,20200101,99991231,Description for object 81
100,01,O,00000082,20200101,99991231,Description for object 82
100,01,S,00000083,20200101,99991231,Description for object 83
100,01,P,00000084,20200101,99991231,Description for object 84
100,01,O,00000085,20200101,99991231,Description for object 85
100,01,S,00000086,20200101,99991231,Description for object 86
100,01,P,00000087,20200101,99991231,Description for object 87
100,01,O,00000088,20200101,99991231,Description for object 88
100,01,S,00000089,20200101,99991231,Description for object 89
100,01,P,00000090,20200101,99991231,Description for object 90
100,01,O,00000091,20200101,99991231,Description for object 91
100,01,S,00000092,20200101,99991231,Description for object 92
100,01,P,00000093,20200101,99991231,Description for object 93
100,01,O,00000094,20200101,99991231,Description for object 94
100,01,S,00000095,20200101,99991231,Description for object 95
100,01,P,00000096,20200101,99991231,Description for object 96
100,01,O,00000097,20200101,99991231,Description for object 97
100,01,S,00000098,20200101,99991231,Description for object 98
100,01,P,00000099,20200101,99991231,Description for object 99
100,01,O,00000100,20200101,99991231,Description for object 100
