MANDT,INFNR,MATNR,LIFNR,LOEKZ
100,0000000001,000000000000100760,0000000090,
100,0000000002,000000000000100627,0000000099,
100,0000000003,000000000000100606,0000000038,
100,0000000004,000000000000100717,0000000160,
100,0000000005,000000000000100599,0000000143,
100,0000000006,000000000000100613,0000000087,
100,0000000007,000000000000100528,0000000011,
100,0000000008,000000000000100521,0000000163,
100,0000000009,000000000000100796,0000000165,
100,0000000010,000000000000100503,0000000079,
100,0000000011,000000000000100686,0000000170,
100,0000000012,000000000000100565,0000000005,
100,0000000013,000000000000100546,0000000071,
100,0000000014,000000000000100682,0000000200,
100,0000000015,000000000000100622,0000000138,
100,0000000016,000000000000100763,0000000180,
100,0000000017,000000000000100590,0000000197,
100,0000000018,000000000000100569,0000000019,
100,0000000019,000000000000100570,0000000030,
100,0000000020,000000000000100702,0000000049,
100,0000000021,000000000000100583,0000000060,
100,0000000022,000000000000100535,0000000152,
100,0000000023,000000000000100751,0000000052,
100,0000000024,000000000000100778,0000000158,
100,0000000025,000000000000100541,0000000034,
100,0000000026,000000000000100574,0000000180,
100,0000000027,000000000000100686,0000000054,
100,0000000028,000000000000100699,0000000062,
100,0000000029,000000000000100597,0000000120,
100,0000000030,000000000000100588,0000000195,
100,0000000031,000000000000100749,0000000015,
100,0000000032,000000000000100611,0000000128,
100,0000000033,000000000000100614,0000000063,
100,0000000034,000000000000100789,0000000094,
100,0000000035,000000000000100618,0000000142,
100,0000000036,000000000000100521,0000000085,
100,0000000037,000000000000100547,0000000189,
100,0000000038,000000000000100743,0000000004,
100,0000000039,000000000000100738,0000000139,
100,0000000040,000000000000100646,0000000030,
100,0000000041,000000000000100739,0000000132,
100,0000000042,000000000000100603,0000000070,
100,0000000043,000000000000100569,0000000028,
100,0000000044,000000000000100799,0000000030,
100,0000000045,000000000000100708,0000000175,
100,0000000046,000000000000100757,0000000167,
100,0000000047,000000000000100575,0000000124,
100,0000000048,000000000000100565,0000000154,
100,0000000049,000000000000100736,0000000004,
100,0000000050,000000000000100736,0000000134,
100,0000000051,000000000000100781,0000000029,
100,0000000052,000000000000100554,0000000069,
100,0000000053,000000000000100750,0000000080,
100,0000000054,000000000000100705,0000000182,
100,0000000055,000000000000100609,0000000016,
100,0000000056,000000000000100799,0000000046,
100,0000000057,000000000000100796,0000000113,
100,0000000058,000000000000100707,0000000096,
100,0000000059,000000000000100534,0000000148,
100,0000000060,000000000000100530,0000000083,
100,0000000061,000000000000100722,0000000114,
100,0000000062,000000000000100727,0000000001,
100,0000000063,000000000000100693,0000000105,
100,0000000064,000000000000100562,0000000016,
100,0000000065,000000000000100667,0000000199,
100,0000000066,000000000000100780,0000000043,
100,0000000067,000000000000100775,0000000029,
100,0000000068,000000000000100709,0000000193,
100,0000000069,000000000000100720,0000000005,
100,0000000070,000000000000100769,0000000200,
100,0000000071,000000000000100726,0000000102,
100,0000000072,000000000000100640,0000000146,
100,0000000073,000000000000100654,0000000077,
100,0000000074,000000000000100775,0000000044,
100,0000000075,000000000000100623,0000000071,
100,0000000076,000000000000100644,0000000177,
100,0000000077,000000000000100702,0000000172,
100,0000000078,000000000000100747,0000000108,
100,0000000079,000000000000100792,0000000022,
100,0000000080,000000000000100742,0000000013,
100,0000000081,000000000000100719,0000000113,
100,0000000082,000000000000100711,0000000030,
100,0000000083,000000000000100645,0000000153,
100,0000000084,000000000000100533,0000000078,
100,0000000085,000000000000100638,0000000073,
100,0000000086,000000000000100790,0000000175,
100,0000000087,000000000000100613,0000000149,
100,0000000088,000000000000100620,0000000028,
100,0000000089,000000000000100523,0000000178,
100,0000000090,000000000000100778,0000000176,
100,0000000091,000000000000100650,0000000097,
100,0000000092,000000000000100765,0000000064,
100,0000000093,000000000000100602,0000000053,
100,0000000094,000000000000100650,0000000076,
100,0000000095,000000000000100729,0000000164,
100,0000000096,000000000000100694,0000000093,
100,0000000097,000000000000100580,0000000004,
100,0000000098,000000000000100550,0000000046,
100,0000000099,000000000000100733,0000000075,
100,0000000100,000000000000100794,0000000031,
100,0000000101,000000000000100519,0000000161,
100,0000000102,000000000000100748,0000000104,
100,0000000103,000000000000100585,0000000066,
100,0000000104,000000000000100794,0000000029,
100,0000000105,000000000000100645,0000000064,
100,0000000106,000000000000100576,0000000011,
100,0000000107,000000000000100520,0000000113,
100,0000000108,000000000000100600,0000000036,
100,0000000109,000000000000100602,0000000133,
100,0000000110,000000000000100548,0000000023,
100,0000000111,000000000000100593,0000000015,
100,0000000112,000000000000100682,0000000118,
100,0000000113,000000000000100759,0000000083,
100,0000000114,000000000000100653,0000000098,
100,0000000115,000000000000100646,0000000092,
100,0000000116,000000000000100773,0000000142,
100,0000000117,000000000000100543,0000000093,
100,0000000118,000000000000100571,0000000029,
100,0000000119,000000000000100719,0000000096,
100,0000000120,000000000000100706,0000000110,
100,0000000121,000000000000100700,0000000067,
100,0000000122,000000000000100672,0000000104,
100,0000000123,000000000000100691,0000000074,
100,0000000124,000000000000100529,0000000156,
100,0000000125,000000000000100697,0000000003,
100,0000000126,000000000000100500,0000000033,
100,0000000127,000000000000100610,0000000142,
100,0000000128,000000000000100764,0000000194,
100,0000000129,000000000000100780,0000000068,
100,0000000130,000000000000100557,0000000106,
100,0000000131,000000000000100632,0000000149,
