MANDT,KUNNR,NAME1,LAND1,ORT01,PSTLZ,STRAS
100,CUS000001,Colruyt Breda 1,NL,Breda,4812 AB,Straat 182
100,CUS000002,Netto Rotterdam 2,NL,Rotterdam,5759 AB,Straat 50
100,CUS000003,Spar Groningen 3,NL,Groningen,1025 AB,Straat 31
100,CUS000004,Colruyt Nijmegen 4,NL,Nijmegen,1392 AB,Straat 120
100,CUS000005,Lidl Rotterdam 5,NL,Rotterdam,2932 AB,Straat 189
100,CUS000006,Colruyt Den Haag 6,NL,Den Haag,4396 AB,Straat 158
100,CUS000007,Colruyt Tilburg 7,NL,Tilburg,7793 AB,Straat 106
100,CUS000008,Albert Heijn Amsterdam 8,NL,Amsterdam,1745 AB,Straat 86
100,CUS000009,Netto Den Haag 9,NL,Den Haag,6728 AB,Straat 144
100,CUS000010,Plus Almere 10,NL,Almere,4478 AB,Straat 3
100,CUS000011,Spar Groningen 11,NL,Groningen,4296 AB,Straat 177
100,CUS000012,REWE Breda 12,NL,Breda,5614 AB,Straat 66
100,CUS000013,Albert Heijn Utrecht 13,NL,Utrecht,2111 AB,Straat 79
100,CUS000014,Carrefour Groningen 14,NL,Groningen,5919 AB,Straat 130
100,CUS000015,Dirk Groningen 15,NL,Groningen,6307 AB,Straat 197
100,CUS000016,Aldi Eindhoven 16,NL,Eindhoven,1100 AB,Straat 30
100,CUS000017,Plus Almere 17,NL,Almere,6460 AB,Straat 88
100,CUS000018,Carrefour Amsterdam 18,NL,Amsterdam,7488 AB,Straat 186
100,CUS000019,Netto Eindhoven 19,NL,Eindhoven,1477 AB,Straat 45
100,CUS000020,Netto Breda 20,NL,Breda,4178 AB,Straat 85
100,CUS000021,Colruyt Amsterdam 21,NL,Amsterdam,6536 AB,Straat 173
100,CUS000022,Aldi Eindhoven 22,NL,Eindhoven,8849 AB,Straat 122
100,CUS000023,Dirk Utrecht 23,NL,Utrecht,1582 AB,Straat 166
100,CUS000024,Carrefour Breda 24,NL,Breda,3224 AB,Straat 124
100,CUS000025,Jumbo Utrecht 25,NL,Utrecht,3545 AB,Straat 161
100,CUS000026,Colruyt Breda 26,NL,Breda,8546 AB,Straat 138
100,CUS000027,Penny Nijmegen 27,NL,Nijmegen,6490 AB,Straat 119
100,CUS000028,Coop Den Haag 28,NL,Den Haag,7782 AB,Straat 191
100,CUS000029,Delhaize Den Haag 29,NL,Den Haag,1917 AB,Straat 134
100,CUS000030,Coop Utrecht 30,NL,Utrecht,5904 AB,Straat 145
100,CUS000031,Netto Eindhoven 31,NL,Eindhoven,6169 AB,Straat 143
100,CUS000032,Dirk Nijmegen 32,NL,Nijmegen,9779 AB,Straat 5
100,CUS000033,Colruyt Tilburg 33,NL,Tilburg,4412 AB,Straat 148
100,CUS000034,Aldi Utrecht 34,NL,Utrecht,6434 AB,Straat 91
100,CUS000035,Delhaize Utrecht 35,NL,Utrecht,2084 AB,Straat 39
100,CUS000036,Carrefour Almere 36,NL,Almere,5595 AB,Straat 8
100,CUS000037,Penny Den Haag 37,NL,Den Haag,6556 AB,Straat 97
100,CUS000038,Plus Utrecht 38,NL,Utrecht,9753 AB,Straat 43
100,CUS000039,Netto Almere 39,NL,Almere,7382 AB,Straat 48
100,CUS000040,Coop Utrecht 40,NL,Utrecht,2914 AB,Straat 193
100,CUS000041,Carrefour Utrecht 41,NL,Utrecht,6050 AB,Straat 181
100,CUS000042,Netto Nijmegen 42,NL,Nijmegen,6152 AB,Straat 182
100,CUS000043,Dirk Utrecht 43,NL,Utrecht,1518 AB,Straat 70
100,CUS000044,Colruyt Rotterdam 44,NL,Rotterdam,7780 AB,Straat 23
100,CUS000045,REWE Almere 45,NL,Almere,9143 AB,Straat 61
100,CUS000046,Lidl Rotterdam 46,NL,Rotterdam,7088 AB,Straat 116
100,CUS000047,Penny Groningen 47,NL,Groningen,5958 AB,Straat 56
100,CUS000048,REWE Utrecht 48,NL,Utrecht,9603 AB,Straat 78
100,CUS000049,Edeka Amsterdam 49,NL,Amsterdam,3867 AB,Straat 29
100,CUS000050,Netto Groningen 50,NL,Groningen,7131 AB,Straat 10
100,CUS000051,Coop Breda 51,NL,Breda,4311 AB,Straat 24
100,CUS000052,Spar Eindhoven 52,NL,Eindhoven,8270 AB,Straat 130
100,CUS000053,Lidl Eindhoven 53,NL,Eindhoven,1408 AB,Straat 124
100,CUS000054,Jumbo Den Haag 54,NL,Den Haag,9192 AB,Straat 40
100,CUS000055,Lidl Utrecht 55,NL,Utrecht,4116 AB,Straat 88
100,CUS000056,Edeka Amsterdam 56,NL,Amsterdam,8921 AB,Straat 188
100,CUS000057,Delhaize Nijmegen 57,NL,Nijmegen,9579 AB,Straat 80
