MANDT,KUNNR,VKORG,VTWEG,SPART,KDGRP,WAERS
100,CUS000001,1000,10,00,01,EUR
100,CUS000002,1000,10,00,03,EUR
100,CUS000003,1000,10,00,01,EUR
100,CUS000004,1000,10,00,03,EUR
100,CUS000005,1000,10,00,01,EUR
100,CUS000006,1000,10,00,04,EUR
100,CUS000007,1000,10,00,04,EUR
100,CUS000008,1000,10,00,04,EUR
100,CUS000009,1000,10,00,03,EUR
100,CUS000010,1000,10,00,04,EUR
100,CUS000011,1000,10,00,03,EUR
100,CUS000012,1000,10,00,03,EUR
100,CUS000013,1000,10,00,03,EUR
100,CUS000014,1000,10,00,02,EUR
100,CUS000015,1000,10,00,01,EUR
100,CUS000016,1000,10,00,03,EUR
100,CUS000017,1000,10,00,03,EUR
100,CUS000018,1000,10,00,01,EUR
100,CUS000019,1000,10,00,04,EUR
100,CUS000020,1000,10,00,02,EUR
100,CUS000021,1000,10,00,01,EUR
100,CUS000022,1000,10,00,03,EUR
100,CUS000023,1000,10,00,01,EUR
100,CUS000024,1000,10,00,03,EUR
100,CUS000025,1000,10,00,04,EUR
100,CUS000026,1000,10,00,01,EUR
100,CUS000027,1000,10,00,02,EUR
100,CUS000028,1000,10,00,01,EUR
100,CUS000029,1000,10,00,03,EUR
100,CUS000030,1000,10,00,03,EUR
100,CUS000031,1000,10,00,02,EUR
100,CUS000032,1000,10,00,03,EUR
100,CUS000033,1000,10,00,03,EUR
100,CUS000034,1000,10,00,03,EUR
100,CUS000035,1000,10,00,01,EUR
100,CUS000036,1000,10,00,01,EUR
100,CUS000037,1000,10,00,02,EUR
100,CUS000038,1000,10,00,02,EUR
100,CUS000039,1000,10,00,04,EUR
100,CUS000040,1000,10,00,03,EUR
100,CUS000041,1000,10,00,02,EUR
100,CUS000042,1000,10,00,03,EUR
100,CUS000043,1000,10,00,02,EUR
100,CUS000044,1000,10,00,04,EUR
100,CUS000045,1000,10,00,02,EUR
100,CUS000046,1000,10,00,01,EUR
100,CUS000047,1000,10,00,03,EUR
100,CUS000048,1000,10,00,01,EUR
100,CUS000049,1000,10,00,02,EUR
100,CUS000050,1000,10,00,02,EUR
100,CUS000051,1000,10,00,04,EUR
100,CUS000052,1000,10,00,04,EUR
100,CUS000053,1000,10,00,04,EUR
100,CUS000054,1000,10,00,02,EUR
100,CUS000055,1000,10,00,04,EUR
100,CUS000056,1000,10,00,02,EUR
100,CUS000057,1000,10,00,02,EUR
100,CUS000058,1000,10,00,03,EUR
100,CUS000059,1000,10,00,01,EUR
100,CUS000060,1000,10,00,03,EUR
100,CUS000061,1000,10,00,01,EUR
100,CUS000062,1000,10,00,01,EUR
100,CUS000063,1000,10,00,02,EUR
100,CUS000064,1000,10,00,04,EUR
100,CUS000065,1000,10,00,04,EUR
100,CUS000066,1000,10,00,04,EUR
100,CUS000067,1000,10,00,03,EUR
100,CUS000068,1000,10,00,04,EUR
100,CUS000069,1000,10,00,02,EUR
100,CUS000070,1000,10,00,04,EUR
100,CUS000071,1000,10,00,04,EUR
100,CUS000072,1000,10,00,04,EUR
100,CUS000073,1000,10,00,03,EUR
100,CUS000074,1000,10,00,02,EUR
100,CUS000075,1000,10,00,04,EUR
100,CUS000076,1000,10,00,01,EUR
100,CUS000077,1000,10,00,03,EUR
100,CUS000078,1000,10,00,04,EUR
100,CUS000079,1000,10,00,04,EUR
100,CUS000080,1000,10,00,03,EUR
100,CUS000081,1000,10,00,01,EUR
100,CUS000082,1000,10,00,01,EUR
100,CUS000083,1000,10,00,03,EUR
100,CUS000084,1000,10,00,04,EUR
100,CUS000085,1000,10,00,03,EUR
