MANDT,LENUM,LGNUM,LGTYP,LGPLA
100,00000000000000000001,001,A,0000000001
100,00000000000000000002,002,B,0000000002
100,00000000000000000003,003,C,0000000003
100,00000000000000000004,001,A,0000000004
100,00000000000000000005,002,B,0000000005
100,00000000000000000006,003,C,0000000006
100,00000000000000000007,001,A,0000000007
100,00000000000000000008,002,B,0000000008
100,00000000000000000009,003,C,0000000009
100,00000000000000000010,001,A,0000000010
100,00000000000000000011,002,B,0000000011
100,00000000000000000012,003,C,0000000012
100,00000000000000000013,001,A,0000000013
100,00000000000000000014,002,B,0000000014
100,00000000000000000015,003,C,0000000015
100,00000000000000000016,001,A,0000000016
100,00000000000000000017,002,B,0000000017
100,00000000000000000018,003,C,0000000018
100,00000000000000000019,001,A,0000000019
100,00000000000000000020,002,B,0000000020
100,00000000000000000021,003,C,0000000021
100,00000000000000000022,001,A,0000000022
100,00000000000000000023,002,B,0000000023
100,00000000000000000024,003,C,0000000024
100,00000000000000000025,001,A,0000000025
100,00000000000000000026,002,B,0000000026
100,00000000000000000027,003,C,0000000027
100,00000000000000000028,001,A,0000000028
100,00000000000000000029,002,B,0000000029
100,00000000000000000030,003,C,0000000030
100,00000000000000000031,001,A,0000000031
100,00000000000000000032,002,B,0000000032
100,00000000000000000033,003,C,0000000033
100,00000000000000000034,001,A,0000000034
100,00000000000000000035,002,B,0000000035
100,00000000000000000036,003,C,0000000036
100,00000000000000000037,001,A,0000000037
100,00000000000000000038,002,B,0000000038
100,00000000000000000039,003,C,0000000039
100,00000000000000000040,001,A,0000000040
100,00000000000000000041,002,B,0000000041
100,00000000000000000042,003,C,0000000042
100,00000000000000000043,001,A,0000000043
100,00000000000000000044,002,B,0000000044
100,00000000000000000045,003,C,0000000045
100,00000000000000000046,001,A,0000000046
100,00000000000000000047,002,B,0000000047
100,00000000000000000048,003,C,0000000048
100,00000000000000000049,001,A,0000000049
100,00000000000000000050,002,B,0000000050
100,00000000000000000051,003,C,0000000051
100,00000000000000000052,001,A,0000000052
100,00000000000000000053,002,B,0000000053
100,00000000000000000054,003,C,0000000054
100,00000000000000000055,001,A,0000000055
100,00000000000000000056,002,B,0000000056
100,00000000000000000057,003,C,0000000057
100,00000000000000000058,001,A,0000000058
100,00000000000000000059,002,B,0000000059
100,00000000000000000060,003,C,0000000060
100,00000000000000000061,001,A,0000000061
100,00000000000000000062,002,B,0000000062
100,00000000000000000063,003,C,0000000063
100,00000000000000000064,001,A,0000000064
100,00000000000000000065,002,B,0000000065
100,00000000000000000066,003,C,0000000066
100,00000000000000000067,001,A,0000000067
100,00000000000000000068,002,B,0000000068
100,00000000000000000069,003,C,0000000069
100,00000000000000000070,001,A,0000000070
100,00000000000000000071,002,B,0000000071
100,00000000000000000072,003,C,0000000072
100,00000000000000000073,001,A,0000000073
100,00000000000000000074,002,B,0000000074
100,00000000000000000075,003,C,0000000075
100,00000000000000000076,001,A,0000000076
100,00000000000000000077,002,B,0000000077
100,00000000000000000078,003,C,0000000078
100,00000000000000000079,001,A,0000000079
100,00000000000000000080,002,B,0000000080
100,00000000000000000081,003,C,0000000081
100,00000000000000000082,001,A,0000000082
100,00000000000000000083,002,B,0000000083
100,00000000000000000084,003,C,0000000084
100,00000000000000000085,001,A,0000000085
100,00000000000000000086,002,B,0000000086
100,00000000000000000087,003,C,0000000087
100,00000000000000000088,001,A,0000000088
100,00000000000000000089,002,B,0000000089
100,00000000000000000090,003,C,0000000090
100,00000000000000000091,001,A,0000000091
100,00000000000000000092,002,B,0000000092
100,00000000000000000093,003,C,0000000093
100,00000000000000000094,001,A,0000000094
100,00000000000000000095,002,B,0000000095
100,00000000000000000096,003,C,0000000096
100,00000000000000000097,001,A,0000000097
100,00000000000000000098,002,B,0000000098
100,00000000000000000099,003,C,0000000099
100,00000000000000000100,001,A,0000000100
100,00000000000000000101,002,B,0000000001
100,00000000000000000102,003,C,0000000002
100,00000000000000000103,001,A,0000000003
100,00000000000000000104,002,B,0000000004
100,00000000000000000105,003,C,0000000005
100,00000000000000000106,001,A,0000000006
100,00000000000000000107,002,B,0000000007
100,00000000000000000108,003,C,0000000008
100,00000000000000000109,001,A,0000000009
100,00000000000000000110,002,B,0000000010
100,00000000000000000111,003,C,0000000011
100,00000000000000000112,001,A,0000000012
100,00000000000000000113,002,B,0000000013
100,00000000000000000114,003,C,0000000014
100,00000000000000000115,001,A,0000000015
100,00000000000000000116,002,B,0000000016
100,00000000000000000117,003,C,0000000017
100,00000000000000000118,001,A,0000000018
100,00000000000000000119,002,B,0000000019
100,00000000000000000120,003,C,0000000020
100,00000000000000000121,001,A,0000000021
100,00000000000000000122,002,B,0000000022
100,00000000000000000123,003,C,0000000023
100,00000000000000000124,001,A,0000000024
100,00000000000000000125,002,B,0000000025
100,00000000000000000126,003,C,0000000026
