MANDT,VBELN,LFART,KUNNR,WADAT
100,1800000002,LF,CUS000113,20240905
100,1800000003,LF,CUS000117,20230928
100,1800000004,LF,CUS000099,20240211
100,1800000005,LF,CUS000179,20240129
100,1800000006,LF,CUS000174,20251224
100,1800000007,LF,CUS000004,20221202
100,1800000008,LF,CUS000110,20221213
100,1800000009,LF,CUS000179,20240402
100,1800000010,LF,CUS000146,20240717
100,1800000011,LF,CUS000150,20250928
100,1800000012,LF,CUS000026,20231122
100,1800000013,LF,CUS000116,20240208
100,1800000014,LF,CUS000180,20250922
100,1800000015,LF,CUS000084,20221128
100,1800000016,LF,CUS000023,20220830
100,1800000017,LF,CUS000071,20220923
100,1800000018,LF,CUS000101,20250209
100,1800000019,LF,CUS000179,20240704
100,1800000020,LF,CUS000025,20220503
100,1800000021,LF,CUS000168,20221224
100,1800000022,LF,CUS000017,20241006
100,1800000023,LF,CUS000140,20240126
100,1800000024,LF,CUS000178,20241008
100,1800000025,LF,CUS000033,20230727
100,1800000026,LF,CUS000155,20241117
100,1800000027,LF,CUS000032,20230715
100,1800000028,LF,CUS000153,20250215
100,1800000029,LF,CUS000163,20230924
100,1800000030,LF,CUS000180,20240602
100,1800000031,LF,CUS000022,20230218
100,1800000032,LF,CUS000113,20220819
100,1800000033,LF,CUS000183,20251108
100,1800000034,LF,CUS000040,20220925
100,1800000035,LF,CUS000048,20241125
100,1800000036,LF,CUS000103,20221012
100,1800000037,LF,CUS000079,20241224
100,1800000038,LF,CUS000111,20220803
100,1800000039,LF,CUS000093,20231112
100,1800000040,LF,CUS000129,20241222
100,1800000041,LF,CUS000147,20221130
100,1800000042,LF,CUS000146,20230131
100,1800000043,LF,CUS000028,20220202
100,1800000044,LF,CUS000006,20220914
100,1800000045,LF,CUS000039,20250601
100,1800000046,LF,CUS000074,20250716
100,1800000047,LF,CUS000018,20240913
100,1800000048,LF,CUS000109,20241011
100,1800000049,LF,CUS000022,20240309
100,1800000050,LF,CUS000063,20240523
100,1800000051,LF,CUS000038,20220315
100,1800000052,LF,CUS000004,20251126
100,1800000053,LF,CUS000070,20221127
100,1800000054,LF,CUS000142,20230122
100,1800000055,LF,CUS000129,20240409
100,1800000056,LF,CUS000129,20220728
100,1800000057,LF,CUS000075,20231208
100,1800000058,LF,CUS000023,20250206
100,1800000059,LF,CUS000167,20240630
100,1800000060,LF,CUS000100,20230408
100,1800000061,LF,CUS000154,20220312
100,1800000062,LF,CUS000014,20230122
100,1800000063,LF,CUS000138,20240907
100,1800000064,LF,CUS000068,20240416
100,1800000065,LF,CUS000056,20240215
100,1800000066,LF,CUS000134,20240525
100,1800000067,LF,CUS000051,20220827
100,1800000068,LF,CUS000147,20221225
100,1800000069,LF,CUS000159,20220304
100,1800000070,LF,CUS000054,20240121
100,1800000071,LF,CUS000076,20250906
100,1800000072,LF,CUS000111,20241009
100,1800000073,LF,CUS000038,20240208
100,1800000074,LF,CUS000082,20240621
100,1800000075,LF,CUS000107,20220722
100,1800000076,LF,CUS000083,20220816
100,1800000077,LF,CUS000115,20250806
100,1800000078,LF,CUS000099,20240826
100,1800000079,LF,CUS000117,20260104
100,1800000080,LF,CUS000118,20220208
100,1800000081,LF,CUS000111,20240105
100,1800000082,LF,CUS000136,20230722
100,1800000083,LF,CUS000053,20241013
100,1800000084,LF,CUS000160,20251207
100,1800000085,LF,CUS000126,20240729
100,1800000086,LF,CUS000111,20251129
100,1800000087,LF,CUS000151,20240323
100,1800000088,LF,CUS000038,20251118
100,1800000089,LF,CUS000014,20220917
100,1800000090,LF,CUS000111,20230214
100,1800000091,LF,CUS000107,20221010
100,1800000092,LF,CUS000197,20220303
100,1800000093,LF,CUS000014,20240807
100,1800000094,LF,CUS000190,20220913
100,1800000095,LF,CUS000025,20241209
100,1800000096,LF,CUS000003,20240313
100,1800000097,LF,CUS000087,20250308
100,1800000098,LF,CUS000067,20241214
100,1800000099,LF,CUS000188,20220304
100,1800000100,LF,CUS000027,20230506
100,1800000101,LF,CUS000023,20230205
100,1800000102,LF,CUS000161,20240606
100,1800000103,LF,CUS000181,20240318
100,1800000104,LF,CUS000168,20230627
100,1800000105,LF,CUS000194,20231115
100,1800000106,LF,CUS000015,20230606
100,1800000107,LF,CUS000034,20230901
100,1800000108,LF,CUS000160,20251229
100,1800000109,LF,CUS000030,20240731
100,1800000110,LF,CUS000099,20250614
100,1800000111,LF,CUS000068,20231128
100,1800000112,LF,CUS000198,20230531
100,1800000113,LF,CUS000067,20230729
100,1800000114,LF,CUS000147,20231108
100,1800000115,LF,CUS000169,20220320
100,1800000116,LF,CUS000063,20231107
100,1800000117,LF,CUS000063,20250108
100,1800000118,LF,CUS000121,20260105
100,1800000119,LF,CUS000019,20220408
100,1800000120,LF,CUS000113,20231026
100,1800000121,LF,CUS000135,20241130
100,1800000122,LF,CUS000011,20250516
100,1800000123,LF,CUS000199,20251014
100,1800000124,LF,CUS000010,20250713
100,1800000125,LF,CUS000061,20250422
100,1800000126,LF,CUS000030,20240524
100,1800000127,LF,CUS000106,20250521
100,1800000128,LF,CUS000168,20220516
100,1800000129,LF,CUS000096,20221210
100,1800000130,LF,CUS000198,20250729
100,1800000131,LF,CUS000083,20231011
100,1800000132,LF,CUS000180,20230811
100,1800000133,LF,CUS000028,20250311
100,1800000134,LF,CUS000083,20220327
100,1800000135,LF,CUS000033,20240211
100,1800000136,LF,CUS000043,20221016
100,1800000137,LF,CUS000120,20250713
100,1800000138,LF,CUS000072,20230324
100,1800000139,LF,CUS000155,20250507
100,1800000140,LF,CUS000198,20240819
100,1800000141,LF,CUS000183,20250611
100,1800000142,LF,CUS000140,20220725
100,1800000143,LF,CUS000050,20220521
100,1800000144,LF,CUS000003,20221224
100,1800000145,LF,CUS000058,20240509
100,1800000146,LF,CUS000191,20250213
100,1800000147,LF,CUS000041,20220121
100,1800000148,LF,CUS000112,20251204
100,1800000149,LF,CUS000135,20251202
100,1800000150,LF,CUS000118,20231215
100,1800000151,LF,CUS000123,20220122
100,1800000152,LF,CUS000063,20251228
100,1800000153,LF,CUS000001,20241025
100,1800000154,LF,CUS000022,20240822
100,1800000155,LF,CUS000190,20230617
100,1800000156,LF,CUS000112,20240727
100,1800000157,LF,CUS000065,20240201
100,1800000158,LF,CUS000064,20240404
100,1800000159,LF,CUS000159,20251121
100,1800000160,LF,CUS000103,20240522
100,1800000161,LF,CUS000132,20250621
100,1800000162,LF,CUS000100,20250119
100,1800000163,LF,CUS000162,20220620
100,1800000164,LF,CUS000025,20220918
100,1800000165,LF,CUS000028,20250728
100,1800000166,LF,CUS000149,20240227
100,1800000167,LF,CUS000142,20240322
100,1800000168,LF,CUS000155,20251111
100,1800000169,LF,CUS000121,20241210
100,1800000170,LF,CUS000037,20231204
100,1800000171,LF,CUS000079,20250724
100,1800000172,LF,CUS000094,20230630
100,1800000173,LF,CUS000085,20220725
100,1800000174,LF,CUS000063,20250902
100,1800000175,LF,CUS000195,20250422
100,1800000176,LF,CUS000200,20240629
100,1800000177,LF,CUS000125,20230120
100,1800000178,LF,CUS000088,20240704
100,1800000179,LF,CUS000133,20231110
100,1800000180,LF,CUS000071,20231205
