MANDT,VBELN,POSNR,MATNR,LFIMG,VRKME,WERKS
100,1800000002,000010,MAT000474,3560,ST,1100
100,1800000002,000020,MAT000066,2469,ST,1000
100,1800000003,000010,MAT000421,4974,ST,1100
100,1800000003,000020,MAT000152,44,ST,1200
100,1800000004,000010,MAT000440,593,ST,1000
100,1800000004,000020,MAT000153,3584,ST,1200
100,1800000005,000010,MAT000280,3483,ST,1000
100,1800000006,000010,MAT000111,2150,ST,1200
100,1800000007,000010,MAT000070,3158,ST,1200
100,1800000008,000010,MAT000216,4111,ST,1200
100,1800000008,000020,MAT000069,905,ST,1100
100,1800000009,000010,MAT000135,4038,ST,1000
100,1800000009,000020,MAT000312,1407,ST,1000
100,1800000010,000010,MAT000150,1656,ST,1000
100,1800000010,000020,MAT000294,3620,ST,1200
100,1800000010,000030,MAT000211,712,ST,1100
100,1800000010,000040,MAT000355,3984,ST,1000
100,1800000011,000010,MAT000011,803,ST,1000
100,1800000011,000020,MAT000195,3990,ST,1100
100,1800000011,000030,MAT000249,2592,ST,1100
100,1800000012,000010,MAT000290,1147,ST,1000
100,1800000013,000010,MAT000354,4228,ST,1000
100,1800000013,000020,MAT000231,146,ST,1000
100,1800000013,000030,MAT000358,3288,ST,1000
100,1800000014,000010,MAT000280,2417,ST,1200
100,1800000014,000020,MAT000375,270,ST,1000
100,1800000014,000030,MAT000347,1386,ST,1000
100,1800000014,000040,MAT000168,1406,ST,1200
100,1800000015,000010,MAT000200,1815,ST,1200
100,1800000015,000020,MAT000104,4388,ST,1100
100,1800000015,000030,MAT000174,4728,ST,1200
100,1800000015,000040,MAT000275,4613,ST,1100
100,1800000016,000010,MAT000451,1551,ST,1000
100,1800000016,000020,MAT000275,4736,ST,1100
100,1800000017,000010,MAT000427,3928,ST,1000
100,1800000017,000020,MAT000016,2739,ST,1200
100,1800000017,000030,MAT000174,440,ST,1000
100,1800000017,000040,MAT000122,186,ST,1100
100,1800000017,000050,MAT000282,3213,ST,1200
100,1800000018,000010,MAT000231,4764,ST,1000
100,1800000019,000010,MAT000111,1728,ST,1200
100,1800000019,000020,MAT000428,845,ST,1000
100,1800000020,000010,MAT000354,1481,ST,1000
100,1800000020,000020,MAT000113,3319,ST,1000
100,1800000021,000010,MAT000069,3808,ST,1200
100,1800000021,000020,MAT000266,105,ST,1000
100,1800000021,000030,MAT000376,1852,ST,1200
100,1800000022,000010,MAT000433,4425,ST,1200
100,1800000022,000020,MAT000086,1490,ST,1200
100,1800000023,000010,MAT000001,2044,ST,1200
100,1800000024,000010,MAT000258,4975,ST,1000
100,1800000024,000020,MAT000010,1550,ST,1000
100,1800000025,000010,MAT000310,619,ST,1100
100,1800000025,000020,MAT000343,692,ST,1200
100,1800000025,000030,MAT000166,588,ST,1100
100,1800000026,000010,MAT000117,2601,ST,1100
100,1800000027,000010,MAT000416,3342,ST,1200
100,1800000027,000020,MAT000197,1208,ST,1000
100,1800000028,000010,MAT000293,3916,ST,1100
100,1800000028,000020,MAT000095,1178,ST,1200
100,1800000028,000030,MAT000266,2050,ST,1100
100,1800000028,000040,MAT000347,4124,ST,1100
100,1800000029,000010,MAT000219,3340,ST,1000
100,1800000029,000020,MAT000070,1362,ST,1000
100,1800000029,000030,MAT000003,3483,ST,1200
100,1800000029,000040,MAT000411,1031,ST,1200
100,1800000030,000010,MAT000250,2010,ST,1200
100,1800000030,000020,MAT000335,1390,ST,1200
100,1800000031,000010,MAT000117,3374,ST,1100
100,1800000031,000020,MAT000174,3865,ST,1100
100,1800000032,000010,MAT000324,1335,ST,1200
100,1800000032,000020,MAT000154,916,ST,1000
100,1800000032,000030,MAT000009,1323,ST,1100
100,1800000033,000010,MAT000290,4121,ST,1200
