MANDT,LGNUM,LQNUM,MATNR,WERKS,LGTYP,LGPLA,GESME,MEINS
100,100,LQ00000001,MAT000268,1100,002,002-07-03,1925.73,ST
100,100,LQ00000002,MAT000113,1000,001,001-08-04,3003.73,KG
100,200,LQ00000003,MAT000339,1300,020,020-14-04,221.6,KG
100,100,LQ00000004,MAT000373,1400,002,002-49-01,6579.51,ST
100,100,LQ00000005,MAT000375,1300,002,002-40-04,6764.55,KG
100,200,LQ00000006,MAT000278,1100,020,020-32-04,4398.47,ST
100,100,LQ00000007,MAT000266,1200,002,002-17-05,8450.41,KG
100,100,LQ00000008,MAT000143,1100,020,020-07-04,1685.5,KG
100,100,LQ00000009,MAT000210,1200,001,001-47-04,7947.79,ST
100,200,LQ00000010,MAT000045,1400,001,001-23-05,1762.08,ST
100,200,LQ00000011,MAT000195,1300,020,020-30-02,1211.68,KG
100,200,LQ00000012,MAT000400,1400,010,010-03-01,7007.28,KG
100,100,LQ00000013,MAT000300,1100,020,020-23-03,684.21,KG
100,100,LQ00000014,MAT000401,1100,001,001-19-04,5996.75,KG
100,100,LQ00000015,MAT000302,1100,020,020-28-01,6089.74,KG
100,200,LQ00000016,MAT000006,1300,002,002-09-02,6120.66,KG
100,200,LQ00000017,MAT000124,1100,003,003-31-01,5846.74,KG
100,100,LQ00000018,MAT000190,1300,002,002-37-01,4451.88,KG
100,200,LQ00000019,MAT000063,1200,020,020-40-02,5802.51,KG
100,100,LQ00000020,MAT000104,1400,003,003-01-05,5086.91,KG
100,200,LQ00000021,MAT000186,1300,010,010-43-04,5739.05,KG
100,200,LQ00000022,MAT000249,1300,010,010-08-04,800.63,KG
100,100,LQ00000023,MAT000031,1300,010,010-07-02,3647.11,KG
100,200,LQ00000024,MAT000474,1300,003,003-04-01,9781.14,ST
100,200,LQ00000025,MAT000188,1100,002,002-15-04,8689.97,KG
100,100,LQ00000026,MAT000279,1100,010,010-24-03,7008.38,KG
100,200,LQ00000027,MAT000345,1200,003,003-38-01,2534.04,KG
100,100,LQ00000028,MAT000041,1200,010,010-07-05,6034.79,ST
100,200,LQ00000029,MAT000103,1000,002,002-14-02,347.66,ST
100,100,LQ00000030,MAT000162,1000,001,001-10-02,1253.37,KG
100,200,LQ00000031,MAT000392,1300,002,002-20-01,5297.57,ST
100,100,LQ00000032,MAT000031,1400,003,003-05-04,2595.53,KG
100,200,LQ00000033,MAT000421,1400,010,010-15-04,6130.32,KG
100,200,LQ00000034,MAT000365,1200,001,001-22-04,5522.02,ST
100,100,LQ00000035,MAT000440,1100,001,001-05-04,9263.01,KG
100,200,LQ00000036,MAT000184,1400,010,010-08-04,8489.37,KG
100,200,LQ00000037,MAT000087,1000,001,001-04-04,4397.76,KG
100,100,LQ00000038,MAT000087,1200,003,003-03-03,48.3,KG
100,200,LQ00000039,MAT000380,1000,001,001-49-05,6144.83,KG
100,100,LQ00000040,MAT000488,1000,003,003-43-03,7085.5,ST
100,100,LQ00000041,MAT000389,1000,003,003-24-01,4034.4,ST
100,100,LQ00000042,MAT000479,1000,020,020-38-03,1453.78,ST
100,100,LQ00000043,MAT000009,1300,001,001-38-04,3498.44,KG
100,100,LQ00000044,MAT000181,1200,003,003-34-05,7304.09,KG
100,200,LQ00000045,MAT000403,1100,002,002-49-02,3893.26,KG
100,100,LQ00000046,MAT000032,1000,010,010-13-01,5975.14,KG
100,100,LQ00000047,MAT000418,1100,003,003-01-03,6665.8,KG
100,200,LQ00000048,MAT000476,1300,002,002-25-03,5403.2,KG
100,100,LQ00000049,MAT000240,1000,010,010-39-03,9797.75,ST
100,200,LQ00000050,MAT000277,1000,002,002-17-04,5836.25,KG
100,200,LQ00000051,MAT000404,1200,003,003-42-05,7211.07,ST
100,100,LQ00000052,MAT000311,1000,002,002-23-01,1591.88,ST
100,200,LQ00000053,MAT000258,1200,002,002-06-04,9573.61,KG
100,200,LQ00000054,MAT000331,1400,020,020-29-04,933.06,KG
100,200,LQ00000055,MAT000349,1100,020,020-40-04,3973.04,ST
100,200,LQ00000056,MAT000471,1200,001,001-03-05,5563.03,KG
100,100,LQ00000057,MAT000456,1400,003,003-22-02,9341.3,KG
100,100,LQ00000058,MAT000244,1200,002,002-33-01,2871.95,KG
100,200,LQ00000059,MAT000309,1200,001,001-04-03,8253.32,KG
100,200,LQ00000060,MAT000304,1000,003,003-16-02,6366.81,KG
100,200,LQ00000061,MAT000164,1400,003,003-33-04,5395.72,KG
100,100,LQ00000062,MAT000133,1100,001,001-02-05,8683.58,KG
100,100,LQ00000063,MAT000084,1400,001,001-06-02,8809.53,KG
100,100,LQ00000064,MAT000357,1100,001,001-36-03,3702.57,KG
100,200,LQ00000065,MAT000152,1000,020,020-34-02,5091.98,KG
100,100,LQ00000066,MAT000307,1200,002,002-01-05,930.36,ST
100,200,LQ00000067,MAT000233,1400,010,010-03-05,4596.38,ST
100,200,LQ00000068,MAT000115,1400,001,001-36-02,6794.92,KG
100,200,LQ00000069,MAT000304,1400,010,010-11-02,7980.9,KG
100,200,LQ00000070,MAT000246,1000,003,003-21-01,9865.71,KG
100,200,LQ00000071,MAT000289,1100,002,002-15-04,9078.83,KG
100,100,LQ00000072,MAT000376,1400,020,020-34-05,9204.8,ST
100,200,LQ00000073,MAT000097,1200,010,010-12-02,2627.46,ST
100,200,LQ00000074,MAT000374,1400,002,002-43-02,726.67,KG
100,200,LQ00000075,MAT000072,1300,010,010-50-03,5657.13,KG
100,100,LQ00000076,MAT000481,1300,010,010-01-03,7097.73,KG
100,100,LQ00000077,MAT000344,1400,003,003-22-04,5423.39,ST
100,100,LQ00000078,MAT000387,1400,020,020-10-01,3246.08,KG
100,200,LQ00000079,MAT000480,1100,003,003-20-02,4162.69,KG
100,200,LQ00000080,MAT000337,1400,020,020-05-04,4777.77,ST
100,100,LQ00000081,MAT000069,1000,020,020-18-03,380.69,ST
100,100,LQ00000082,MAT000493,1300,002,002-45-02,3104.75,KG
100,100,LQ00000083,MAT000308,1200,020,020-28-01,1745.39,KG
100,200,LQ00000084,MAT000442,1200,002,002-25-05,2227.52,ST
100,100,LQ00000085,MAT000266,1400,003,003-50-05,6124.78,KG
100,200,LQ00000086,MAT000429,1400,010,010-15-05,6574.2,KG
100,200,LQ00000087,MAT000378,1200,020,020-45-03,8244.18,KG
100,200,LQ00000088,MAT000500,1100,003,003-50-05,1916.43,ST
100,100,LQ00000089,MAT000462,1000,003,003-09-04,8822.76,ST
100,100,LQ00000090,MAT000344,1200,001,001-39-01,9999.48,ST
100,200,LQ00000091,MAT000383,1400,003,003-20-02,3498.34,ST
100,200,LQ00000092,MAT000249,1200,003,003-23-02,3243.67,KG
100,100,LQ00000093,MAT000191,1100,010,010-23-05,4584.36,KG
100,200,LQ00000094,MAT000490,1000,001,001-21-05,9642.95,ST
100,100,LQ00000095,MAT000400,1000,010,010-32-04,9487.2,KG
100,100,LQ00000096,MAT000353,1300,001,001-25-01,4665.58,KG
100,100,LQ00000097,MAT000139,1200,003,003-23-02,8123.56,ST
100,100,LQ00000098,MAT000174,1100,020,020-33-03,7543.1,KG
100,100,LQ00000099,MAT000213,1100,001,001-40-01,5343.84,KG
100,200,LQ00000100,MAT000381,1200,010,010-17-03,5487.22,ST
