MANDT,LGNUM,TESSION,TAESSION,MATNR,WERKS,VSOLA,MEINS
100,001,0000000001,0001,000000000000100358,0007,44.939,KG
100,002,0000000001,0002,000000000000100290,0007,59.203,KG
100,003,0000000001,0003,000000000000100059,0010,54.519,KG
100,001,0000000002,0001,000000000000100605,0004,79.576,KG
100,002,0000000002,0002,000000000000100471,0007,88.995,KG
100,003,0000000002,0003,000000000000100790,0002,17.883,KG
100,001,0000000003,0001,000000000000100370,0009,69.099,KG
100,002,0000000003,0002,000000000000100817,0005,87.324,KG
100,003,0000000003,0003,000000000000100918,0006,93.562,KG
100,001,0000000004,0001,000000000000100743,0010,66.753,KG
100,002,0000000004,0002,000000000000100987,0009,40.545,KG
100,003,0000000004,0003,000000000000100772,0008,87.653,KG
100,001,0000000005,0001,000000000000100760,0009,81.64,KG
100,002,0000000005,0002,000000000000100831,0010,65.484,KG
100,003,0000000005,0003,000000000000100379,0010,4.396,KG
100,001,0000000006,0001,000000000000100284,0002,42.707,KG
100,002,0000000006,0002,000000000000100944,0003,95.722,KG
100,003,0000000006,0003,000000000000100383,0010,37.711,KG
100,001,0000000007,0001,000000000000100728,0001,34.78,KG
100,002,0000000007,0002,000000000000100783,0009,76.328,KG
100,003,0000000007,0003,000000000000100181,0005,78.829,KG
100,001,0000000008,0001,000000000000100744,0009,27.391,KG
100,002,0000000008,0002,000000000000100848,0007,65.967,KG
100,003,0000000008,0003,000000000000100758,0005,12.718,KG
100,001,0000000009,0001,000000000000100897,0003,28.847,KG
100,002,0000000009,0002,000000000000100296,0003,21.232,KG
100,003,0000000009,0003,000000000000100328,0005,60.797,KG
100,001,0000000010,0001,000000000000100143,0004,38.851,KG
100,002,0000000010,0002,000000000000100358,0006,26.239,KG
100,003,0000000010,0003,000000000000100232,0002,40.856,KG
100,001,0000000011,0001,000000000000100531,0007,9.388,KG
100,002,0000000011,0002,000000000000100976,0007,17.039,KG
100,003,0000000011,0003,000000000000100126,0007,41.662,KG
100,001,0000000012,0001,000000000000100010,0007,95.801,KG
100,002,0000000012,0002,000000000000100045,0002,71.604,KG
100,003,0000000012,0003,000000000000100267,0010,65.271,KG
100,001,0000000013,0001,000000000000100797,0002,98.906,KG
100,002,0000000013,0002,000000000000100777,0004,70.637,KG
100,003,0000000013,0003,000000000000100878,0003,40.668,KG
100,001,0000000014,0001,000000000000100422,0005,27.265,KG
100,002,0000000014,0002,000000000000100829,0005,58.012,KG
100,003,0000000014,0003,000000000000100554,0007,24.381,KG
100,001,0000000015,0001,000000000000100469,0004,50.624,KG
100,002,0000000015,0002,000000000000100089,0010,20.379,KG
100,003,0000000015,0003,000000000000100553,0009,97.612,KG
100,001,0000000016,0001,000000000000100151,0008,49.924,KG
100,002,0000000016,0002,000000000000100735,0010,29.641,KG
100,003,0000000016,0003,000000000000100665,0004,75.423,KG
100,001,0000000017,0001,000000000000100525,0005,27.096,KG
100,002,0000000017,0002,000000000000100004,0008,9.111,KG
100,003,0000000017,0003,000000000000100885,0003,16.079,KG
100,001,0000000018,0001,000000000000100130,0010,58.449,KG
100,002,0000000018,0002,000000000000100465,0002,68.818,KG
100,003,0000000018,0003,000000000000100146,0001,50.455,KG
100,001,0000000019,0001,000000000000100018,0010,79.292,KG
100,002,0000000019,0002,000000000000100195,0008,34.678,KG
100,003,0000000019,0003,000000000000100003,0003,9.596,KG
100,001,0000000020,0001,000000000000100872,0004,44.689,KG
100,002,0000000020,0002,000000000000100146,0004,90.429,KG
100,003,0000000020,0003,000000000000100903,0010,90.704,KG
100,001,0000000021,0001,000000000000100892,0002,99.81,KG
100,002,0000000021,0002,000000000000100427,0008,39.275,KG
100,003,0000000021,0003,000000000000100018,0004,66.358,KG
100,001,0000000022,0001,000000000000100040,0005,43.769,KG
100,002,0000000022,0002,000000000000100430,0004,21.066,KG
100,003,0000000022,0003,000000000000100824,0010,90.948,KG
100,001,0000000023,0001,000000000000100112,0006,64.596,KG
100,002,0000000023,0002,000000000000100786,0003,71.504,KG
100,003,0000000023,0003,000000000000100782,0010,69.919,KG
100,001,0000000024,0001,000000000000100488,0003,55.081,KG
100,002,0000000024,0002,000000000000100896,0001,58.482,KG
100,003,0000000024,0003,000000000000100008,0001,9.636,KG
100,001,0000000025,0001,000000000000100715,0005,26.165,KG
100,002,0000000025,0002,000000000000100034,0007,97.678,KG
100,003,0000000025,0003,000000000000100749,0005,30.227,KG
100,001,0000000026,0001,000000000000100923,0001,60.127,KG
100,002,0000000026,0002,000000000000100385,0009,73.53,KG
100,003,0000000026,0003,000000000000100001,0004,71.573,KG
100,001,0000000027,0001,000000000000100830,0003,18.909,KG
100,002,0000000027,0002,000000000000100769,0001,42.578,KG
100,003,0000000027,0003,000000000000100657,0004,41.339,KG
100,001,0000000028,0001,000000000000100091,0008,38.85,KG
100,002,0000000028,0002,000000000000100894,0010,65.279,KG
100,003,0000000028,0003,000000000000100624,0004,6.494,KG
100,001,0000000029,0001,000000000000100610,0004,67.19,KG
100,002,0000000029,0002,000000000000100718,0007,66.266,KG
100,003,0000000029,0003,000000000000100252,0003,39.689,KG
100,001,0000000030,0001,000000000000100753,0002,33.63,KG
100,002,0000000030,0002,000000000000100132,0005,57.54,KG
100,003,0000000030,0003,000000000000100676,0006,24.085,KG
100,001,0000000031,0001,000000000000100236,0006,83.798,KG
100,002,0000000031,0002,000000000000100399,0008,19.098,KG
100,003,0000000031,0003,000000000000100396,0002,64.35,KG
100,001,0000000032,0001,000000000000100761,0009,84.11,KG
100,002,0000000032,0002,000000000000100730,0005,53.199,KG
100,003,0000000032,0003,000000000000100271,0004,78.018,KG
100,001,0000000033,0001,000000000000100661,0010,70.0,KG
100,002,0000000033,0002,000000000000100191,0007,82.542,KG
100,003,0000000033,0003,000000000000100319,0008,23.436,KG
100,001,0000000034,0001,000000000000100697,0008,32.586,KG
100,002,0000000034,0002,000000000000100879,0003,20.261,KG
100,003,0000000034,0003,000000000000100305,0004,53.399,KG
100,001,0000000035,0001,000000000000100530,0009,96.31,KG
100,002,0000000035,0002,000000000000100296,0010,87.523,KG
100,003,0000000035,0003,000000000000100492,0010,95.166,KG
100,001,0000000036,0001,000000000000100708,0001,50.287,KG
100,002,0000000036,0002,000000000000100504,0004,49.234,KG
100,003,0000000036,0003,000000000000100713,0001,61.551,KG
100,001,0000000037,0001,000000000000100481,0007,54.287,KG
100,002,0000000037,0002,000000000000100707,0009,71.526,KG
100,003,0000000037,0003,000000000000100033,0003,68.704,KG
100,001,0000000038,0001,000000000000100773,0003,23.73,KG
100,002,0000000038,0002,000000000000100151,0001,49.342,KG
100,003,0000000038,0003,000000000000100868,0004,15.383,KG
100,001,0000000039,0001,000000000000100651,0002,1.503,KG
100,002,0000000039,0002,000000000000100176,0005,81.087,KG
100,003,0000000039,0003,000000000000100726,0003,58.524,KG
100,001,0000000040,0001,000000000000100908,0003,80.093,KG
100,002,0000000040,0002,000000000000100589,0005,94.084,KG
100,003,0000000040,0003,000000000000100605,0002,15.381,KG
100,001,0000000041,0001,000000000000100695,0006,27.012,KG
100,002,0000000041,0002,000000000000100921,0001,61.279,KG
100,003,0000000041,0003,000000000000100322,0010,77.897,KG
100,001,0000000042,0001,000000000000100134,0001,86.843,KG
100,002,0000000042,0002,000000000000100570,0009,74.141,KG
100,003,0000000042,0003,000000000000100833,0007,26.105,KG
100,001,0000000043,0001,000000000000100097,0003,22.355,KG
100,002,0000000043,0002,000000000000100730,0002,15.444,KG
100,003,0000000043,0003,000000000000100658,0010,51.857,KG
100,001,0000000044,0001,000000000000100799,0006,50.157,KG
100,002,0000000044,0002,000000000000100414,0007,88.151,KG
100,003,0000000044,0003,000000000000100490,0007,56.929,KG
