MANDT,MATNR,MTART,MBRSH,MATKL,MEINS,BRGEW,GEWEI,ERDAT
100,MAT000001,FERT,N,BISCUIT,ST,2.913,KG,20200819
100,MAT000002,FERT,N,BISCUIT,ST,2.446,KG,20191129
100,MAT000003,FERT,N,BISCUIT,ST,1.003,KG,20180416
100,MAT000004,FERT,N,BISCUIT,ST,1.337,KG,20221031
100,MAT000005,FERT,N,BISCUIT,ST,2.441,KG,20220811
100,MAT000006,FERT,N,WAFEL,ST,0.42,KG,20201004
100,MAT000007,FERT,N,WAFEL,ST,0.463,KG,20210713
100,MAT000008,FERT,N,WAFEL,ST,3.464,KG,20181107
100,MAT000009,FERT,N,WAFEL,ST,0.831,KG,20210226
100,MAT000010,FERT,N,KOEKROL,ST,4.751,KG,20180624
100,MAT000011,FERT,N,KOEKROL,ST,4.97,KG,20180831
100,MAT000012,FERT,N,KOEKROL,ST,2.835,KG,20200502
100,MAT000013,FERT,N,SPECULAAS,ST,3.071,KG,20220608
100,MAT000014,FERT,N,SPECULAAS,ST,3.13,KG,20220508
100,MAT000015,FERT,N,SPECULAAS,ST,2.661,KG,20200711
100,MAT000016,FERT,N,SPECULAAS,ST,4.552,KG,20190901
100,MAT000017,FERT,N,STROOPWFL,ST,4.315,KG,20200528
100,MAT000018,FERT,N,STROOPWFL,ST,1.596,KG,20210625
100,MAT000019,FERT,N,STROOPWFL,ST,0.395,KG,20220224
100,MAT000020,HALB,N,DEEG,KG,0.586,KG,20220412
100,MAT000021,HALB,N,DEEG,KG,1.118,KG,20190309
100,MAT000022,HALB,N,DEEG,KG,1.397,KG,20180616
100,MAT000023,HALB,N,DEEG,KG,0.87,KG,20181222
100,MAT000024,HALB,N,VULLING,KG,2.805,KG,20181117
100,MAT000025,HALB,N,VULLING,KG,0.113,KG,20200711
100,MAT000026,HALB,N,VULLING,KG,3.478,KG,20200820
100,MAT000027,HALB,N,VULLING,KG,1.527,KG,20190420
100,MAT000028,HALB,N,GLAZUUR,KG,1.512,KG,20190803
100,MAT000029,HALB,N,GLAZUUR,KG,3.545,KG,20200718
100,MAT000030,HALB,N,GLAZUUR,KG,0.449,KG,20190424
100,MAT000031,HALB,N,GLAZUUR,KG,4.627,KG,20220602
100,MAT000032,ROH,N,MEEL,KG,3.977,KG,20210422
100,MAT000033,ROH,N,MEEL,KG,3.34,KG,20190210
100,MAT000034,ROH,N,MEEL,KG,2.183,KG,20210120
100,MAT000035,ROH,N,MEEL,KG,1.202,KG,20181102
100,MAT000036,ROH,N,BOTER,KG,4.551,KG,20220820
100,MAT000037,ROH,N,BOTER,KG,0.797,KG,20180503
100,MAT000038,ROH,N,BOTER,KG,0.913,KG,20190922
100,MAT000039,ROH,N,SUIKER,KG,3.016,KG,20220816
100,MAT000040,ROH,N,SUIKER,KG,2.889,KG,20190815
100,MAT000041,ROH,N,SUIKER,KG,2.252,KG,20200817
100,MAT000042,ROH,N,SUIKER,KG,3.475,KG,20211204
100,MAT000043,ROH,N,EIEREN,KG,2.072,KG,20190712
100,MAT000044,ROH,N,EIEREN,KG,2.552,KG,20201008
100,MAT000045,ROH,N,EIEREN,KG,2.245,KG,20210509
100,MAT000046,ROH,N,CHOCOLA,KG,0.295,KG,20200603
100,MAT000047,ROH,N,CHOCOLA,KG,3.699,KG,20210521
100,MAT000048,ROH,N,CHOCOLA,KG,1.327,KG,20180707
100,MAT000049,ROH,N,CHOCOLA,KG,1.222,KG,20211012
100,MAT000050,ROH,N,KANEEL,KG,4.196,KG,20210324
100,MAT000051,ROH,N,KANEEL,KG,2.977,KG,20180212
100,MAT000052,ROH,N,VANILLE,KG,4.998,KG,20211008
100,MAT000053,ROH,N,VANILLE,KG,4.125,KG,20210326
100,MAT000054,VERP,N,DOOS,ST,0.297,KG,20220329
