MANDT,MATNR,WERKS,LGORT,LABST,INSME,SPEME
100,000000000000100000,0001,0001,939,171,44
100,000000000000100001,0002,0002,3650,61,82
100,000000000000100002,0003,0003,1997,10,87
100,000000000000100003,0004,0001,2629,97,14
100,000000000000100004,0005,0002,3161,65,69
100,000000000000100005,0006,0003,2316,6,66
100,000000000000100006,0007,0001,3071,131,65
100,000000000000100007,0008,0002,3650,124,5
100,000000000000100008,0009,0003,2428,166,24
100,000000000000100009,0010,0001,2624,131,10
100,000000000000100010,0001,0002,786,42,98
100,000000000000100011,0002,0003,4407,136,0
100,000000000000100012,0003,0001,536,53,85
100,000000000000100013,0004,0002,1746,175,54
100,000000000000100014,0005,0003,851,52,68
100,000000000000100015,0006,0001,3565,165,9
100,000000000000100016,0007,0002,1259,6,58
100,000000000000100017,0008,0003,2717,9,11
100,000000000000100018,0009,0001,600,13,22
100,000000000000100019,0010,0002,2063,142,9
100,000000000000100020,0001,0003,4710,58,33
100,000000000000100021,0002,0001,3339,99,57
100,000000000000100022,0003,0002,3313,110,40
100,000000000000100023,0004,0003,138,99,86
100,000000000000100024,0005,0001,969,136,0
100,000000000000100025,0006,0002,518,193,95
100,000000000000100026,0007,0003,4797,11,89
100,000000000000100027,0008,0001,594,91,64
100,000000000000100028,0009,0002,869,74,100
100,000000000000100029,0010,0003,2468,155,11
100,000000000000100030,0001,0001,2306,195,56
100,000000000000100031,0002,0002,3124,101,84
100,000000000000100032,0003,0003,252,121,20
100,000000000000100033,0004,0001,4370,56,17
100,000000000000100034,0005,0002,3203,139,37
100,000000000000100035,0006,0003,1180,76,86
100,000000000000100036,0007,0001,3056,2,70
100,000000000000100037,0008,0002,4547,36,15
100,000000000000100038,0009,0003,342,1,73
100,000000000000100039,0010,0001,4887,100,68
100,000000000000100040,0001,0002,4485,21,39
100,000000000000100041,0002,0003,1720,191,94
100,000000000000100042,0003,0001,2816,54,52
100,000000000000100043,0004,0002,4198,36,20
100,000000000000100044,0005,0003,1507,56,78
100,000000000000100045,0006,0001,2070,49,14
100,000000000000100046,0007,0002,1485,171,72
100,000000000000100047,0008,0003,445,192,70
100,000000000000100048,0009,0001,3778,165,70
100,000000000000100049,0010,0002,599,74,85
100,000000000000100050,0001,0003,551,64,12
100,000000000000100051,0002,0001,1617,185,74
100,000000000000100052,0003,0002,3991,84,45
100,000000000000100053,0004,0003,1050,171,83
100,000000000000100054,0005,0001,1921,25,36
100,000000000000100055,0006,0002,571,49,40
100,000000000000100056,0007,0003,3980,115,42
100,000000000000100057,0008,0001,2504,177,74
100,000000000000100058,0009,0002,1248,144,72
100,000000000000100059,0010,0003,2985,80,54
100,000000000000100060,0001,0001,1381,1,40
100,000000000000100061,0002,0002,2016,56,91
100,000000000000100062,0003,0003,3572,70,46
100,000000000000100063,0004,0001,1100,173,93
100,000000000000100064,0005,0002,2716,122,59
100,000000000000100065,0006,0003,3648,91,99
100,000000000000100066,0007,0001,2502,124,70
100,000000000000100067,0008,0002,891,44,82
100,000000000000100068,0009,0003,4969,20,35
100,000000000000100069,0010,0001,1146,137,25
100,000000000000100070,0001,0002,2156,187,80
100,000000000000100071,0002,0003,626,186,9
100,000000000000100072,0003,0001,152,129,80
100,000000000000100073,0004,0002,255,148,74
100,000000000000100074,0005,0003,3318,196,75
100,000000000000100075,0006,0001,1742,9,70
100,000000000000100076,0007,0002,2134,139,69
100,000000000000100077,0008,0003,3867,167,99
100,000000000000100078,0009,0001,1217,93,50
100,000000000000100079,0010,0002,1829,197,75
100,000000000000100080,0001,0003,2383,34,59
100,000000000000100081,0002,0001,4105,130,11
100,000000000000100082,0003,0002,3250,93,64
100,000000000000100083,0004,0003,86,169,30
100,000000000000100084,0005,0001,1358,193,65
100,000000000000100085,0006,0002,1149,114,20
100,000000000000100086,0007,0003,1467,144,72
100,000000000000100087,0008,0001,1197,188,93
100,000000000000100088,0009,0002,3960,91,5
100,000000000000100089,0010,0003,1792,194,62
100,000000000000100090,0001,0001,1898,16,33
100,000000000000100091,0002,0002,3026,59,5
100,000000000000100092,0003,0003,1693,132,46
100,000000000000100093,0004,0001,3179,120,58
100,000000000000100094,0005,0002,380,10,83
100,000000000000100095,0006,0003,2654,26,90
100,000000000000100096,0007,0001,4271,162,35
100,000000000000100097,0008,0002,2157,148,69
100,000000000000100098,0009,0003,4670,44,48
100,000000000000100099,0010,0001,3100,93,75
100,000000000000100100,0001,0002,637,132,32
100,000000000000100101,0002,0003,3082,57,66
100,000000000000100102,0003,0001,3324,90,44
100,000000000000100103,0004,0002,3988,123,77
100,000000000000100104,0005,0003,54,128,17
100,000000000000100105,0006,0001,3603,42,29
100,000000000000100106,0007,0002,631,131,82
100,000000000000100107,0008,0003,2300,54,19
100,000000000000100108,0009,0001,1531,40,46
100,000000000000100109,0010,0002,4931,183,15
100,000000000000100110,0001,0003,1886,106,42
100,000000000000100111,0002,0001,928,123,86
100,000000000000100112,0003,0002,3922,122,26
100,000000000000100113,0004,0003,4839,41,82
100,000000000000100114,0005,0001,3366,5,31
100,000000000000100115,0006,0002,353,32,73
100,000000000000100116,0007,0003,4852,41,17
100,000000000000100117,0008,0001,4199,10,73
100,000000000000100118,0009,0002,1203,14,21
100,000000000000100119,0010,0003,2115,46,66
100,000000000000100120,0001,0001,3321,153,72
100,000000000000100121,0002,0002,152,184,93
100,000000000000100122,0003,0003,2322,21,27
100,000000000000100123,0004,0001,3679,155,60
100,000000000000100124,0005,0002,3945,43,28
100,000000000000100125,0006,0003,3365,153,18
100,000000000000100126,0007,0001,4773,196,23
100,000000000000100127,0008,0002,4184,67,21
100,000000000000100128,0009,0003,2807,116,76
100,000000000000100129,0010,0001,4838,17,29
100,000000000000100130,0001,0002,3098,98,16
100,000000000000100131,0002,0003,889,4,25
100,000000000000100132,0003,0001,4282,129,87
100,000000000000100133,0004,0002,3438,38,77
100,000000000000100134,0005,0003,788,45,60
100,000000000000100135,0006,0001,4913,9,100
100,000000000000100136,0007,0002,4353,128,96
100,000000000000100137,0008,0003,962,23,61
100,000000000000100138,0009,0001,1067,154,69
100,000000000000100139,0010,0002,9,198,86
100,000000000000100140,0001,0003,3534,133,53
100,000000000000100141,0002,0001,3034,11,89
100,000000000000100142,0003,0002,4340,109,29
100,000000000000100143,0004,0003,3949,196,48
100,000000000000100144,0005,0001,2871,150,94
100,000000000000100145,0006,0002,4719,25,54
100,000000000000100146,0007,0003,1096,65,61
100,000000000000100147,0008,0001,1904,21,36
100,000000000000100148,0009,0002,4901,139,52
100,000000000000100149,0010,0003,2111,48,0
100,000000000000100150,0001,0001,58,147,66
100,000000000000100151,0002,0002,965,133,0
100,000000000000100152,0003,0003,3072,167,26
100,000000000000100153,0004,0001,2587,104,46
100,000000000000100154,0005,0002,873,39,54
100,000000000000100155,0006,0003,4795,64,33
100,000000000000100156,0007,0001,4391,108,72
100,000000000000100157,0008,0002,2995,156,35
100,000000000000100158,0009,0003,3255,193,26
100,000000000000100159,0010,0001,3385,141,100
100,000000000000100160,0001,0002,4567,123,22
100,000000000000100161,0002,0003,3032,143,71
100,000000000000100162,0003,0001,3962,64,39
100,000000000000100163,0004,0002,4732,88,99
100,000000000000100164,0005,0003,3261,188,17
100,000000000000100165,0006,0001,975,191,29
100,000000000000100166,0007,0002,3658,200,89
100,000000000000100167,0008,0003,1325,25,27
100,000000000000100168,0009,0001,4164,102,100
100,000000000000100169,0010,0002,2772,140,78
100,000000000000100170,0001,0003,426,41,49
100,000000000000100171,0002,0001,43,23,18
100,000000000000100172,0003,0002,3863,153,55
100,000000000000100173,0004,0003,722,16,33
100,000000000000100174,0005,0001,1816,94,10
100,000000000000100175,0006,0002,4989,9,92
100,000000000000100176,0007,0003,3148,102,78
100,000000000000100177,0008,0001,4268,73,91
100,000000000000100178,0009,0002,4894,14,99
100,000000000000100179,0010,0003,1435,163,63
100,000000000000100180,0001,0001,3596,2,25
100,000000000000100181,0002,0002,4244,73,24
100,000000000000100182,0003,0003,275,200,76
100,000000000000100183,0004,0001,4182,132,89
100,000000000000100184,0005,0002,1897,157,21
100,000000000000100185,0006,0003,295,92,30
100,000000000000100186,0007,0001,2,40,11
100,000000000000100187,0008,0002,2260,199,51
100,000000000000100188,0009,0003,2892,171,50
100,000000000000100189,0010,0001,3321,150,25
100,000000000000100190,0001,0002,4241,3,94
100,000000000000100191,0002,0003,562,23,70
100,000000000000100192,0003,0001,2330,185,71
100,000000000000100193,0004,0002,4775,89,44
100,000000000000100194,0005,0003,2265,57,77
100,000000000000100195,0006,0001,1593,116,51
100,000000000000100196,0007,0002,4709,1,33
100,000000000000100197,0008,0003,1433,104,64
100,000000000000100198,0009,0001,872,143,9
100,000000000000100199,0010,0002,4121,75,43
100,000000000000100200,0001,0003,958,131,32
100,000000000000100201,0002,0001,4406,147,32
100,000000000000100202,0003,0002,3627,96,72
100,000000000000100203,0004,0003,3961,197,31
100,000000000000100204,0005,0001,2782,198,58
100,000000000000100205,0006,0002,3774,150,3
100,000000000000100206,0007,0003,3948,29,33
100,000000000000100207,0008,0001,553,97,81
100,000000000000100208,0009,0002,1805,173,89
100,000000000000100209,0010,0003,1883,80,52
100,000000000000100210,0001,0001,2892,132,68
100,000000000000100211,0002,0002,79,179,33
100,000000000000100212,0003,0003,2033,73,11
100,000000000000100213,0004,0001,3268,172,95
100,000000000000100214,0005,0002,2801,19,70
100,000000000000100215,0006,0003,1462,121,40
100,000000000000100216,0007,0001,2896,55,73
100,000000000000100217,0008,0002,2204,46,95
100,000000000000100218,0009,0003,1557,127,94
100,000000000000100219,0010,0001,1635,60,94
100,000000000000100220,0001,0002,1982,67,26
100,000000000000100221,0002,0003,1877,51,31
100,000000000000100222,0003,0001,2916,39,99
100,000000000000100223,0004,0002,873,30,10
100,000000000000100224,0005,0003,4035,157,0
100,000000000000100225,0006,0001,4435,10,61
100,000000000000100226,0007,0002,3040,158,40
100,000000000000100227,0008,0003,4033,147,35
100,000000000000100228,0009,0001,4020,46,97
100,000000000000100229,0010,0002,4187,71,50
100,000000000000100230,0001,0003,1819,192,73
100,000000000000100231,0002,0001,1050,13,67
100,000000000000100232,0003,0002,3466,122,69
100,000000000000100233,0004,0003,266,128,44
100,000000000000100234,0005,0001,3225,175,99
100,000000000000100235,0006,0002,1431,117,15
100,000000000000100236,0007,0003,4245,117,40
100,000000000000100237,0008,0001,68,3,86
100,000000000000100238,0009,0002,1726,97,74
100,000000000000100239,0010,0003,825,83,46
100,000000000000100240,0001,0001,2127,47,70
100,000000000000100241,0002,0002,2153,60,34
100,000000000000100242,0003,0003,3861,156,43
100,000000000000100243,0004,0001,2997,47,63
100,000000000000100244,0005,0002,3472,53,53
100,000000000000100245,0006,0003,3049,93,51
100,000000000000100246,0007,0001,2290,115,23
100,000000000000100247,0008,0002,4680,33,73
100,000000000000100248,0009,0003,1872,25,92
100,000000000000100249,0010,0001,2211,60,71
100,000000000000100250,0001,0002,3540,97,25
100,000000000000100251,0002,0003,1194,189,19
100,000000000000100252,0003,0001,3874,2,22
100,000000000000100253,0004,0002,3453,127,17
100,000000000000100254,0005,0003,4235,136,92
100,000000000000100255,0006,0001,2586,124,38
100,000000000000100256,0007,0002,2055,143,72
