MANDT,DTNUM,MATNR,WERKS,BEESSION
100,000000000001,000000000000100364,0008,20230816
100,000000000002,000000000000100383,0006,20220101
100,000000000003,000000000000100200,0002,20230128
100,000000000004,000000000000100233,0009,20230404
100,000000000005,000000000000100663,0001,20230927
100,000000000006,000000000000100729,0006,20240309
100,000000000007,000000000000100081,0002,20231027
100,000000000008,000000000000100201,0010,20230726
100,000000000009,000000000000100044,0002,20230512
100,000000000010,000000000000100050,0006,20220814
100,000000000011,000000000000100326,0009,20230905
100,000000000012,000000000000100351,0001,20231221
100,000000000013,000000000000100186,0002,20230526
100,000000000014,000000000000100945,0001,20230504
100,000000000015,000000000000100972,0008,20240125
100,000000000016,000000000000100324,0009,20220618
100,000000000017,000000000000100661,0001,20220315
100,000000000018,000000000000100546,0001,20240625
100,000000000019,000000000000100847,0007,20230415
100,000000000020,000000000000100011,0006,20240808
100,000000000021,000000000000100129,0001,20230822
100,000000000022,000000000000100702,0008,20230305
100,000000000023,000000000000100404,0010,20241217
100,000000000024,000000000000100406,0003,20240317
100,000000000025,000000000000100543,0008,20221119
100,000000000026,000000000000100794,0005,20241112
100,000000000027,000000000000100033,0003,20240321
100,000000000028,000000000000100801,0008,20230425
100,000000000029,000000000000100224,0004,20240215
100,000000000030,000000000000100814,0009,20240326
100,000000000031,000000000000100889,0002,20230312
100,000000000032,000000000000100185,0009,20230201
100,000000000033,000000000000100659,0006,20240330
100,000000000034,000000000000100049,0006,20231215
100,000000000035,000000000000100478,0005,20220817
100,000000000036,000000000000100815,0002,20230205
100,000000000037,000000000000100931,0001,20230912
100,000000000038,000000000000100104,0003,20220807
100,000000000039,000000000000100399,0002,20230606
100,000000000040,000000000000100142,0009,20220203
100,000000000041,000000000000100623,0005,20230110
100,000000000042,000000000000100923,0003,20220503
100,000000000043,000000000000100192,0001,20220125
100,000000000044,000000000000100629,0008,20240410
100,000000000045,000000000000100874,0006,20240605
100,000000000046,000000000000100933,0008,20230509
100,000000000047,000000000000100365,0006,20220524
100,000000000048,000000000000100779,0006,20231205
