MANDT,DTNUM,DTLINE,DELKZ,PLESSION,MESSION,MEINS
100,000000000001,0001,,20220830,69.217,EA
100,000000000001,0002,,20221214,25.019,EA
100,000000000001,0003,,20230629,23.216,EA
100,000000000001,0004,,20230105,51.61,EA
100,000000000001,0005,,20240203,43.769,EA
100,000000000002,0001,,20230816,81.582,EA
100,000000000002,0002,,20230615,16.581,EA
100,000000000002,0003,,20220428,25.855,EA
100,000000000002,0004,,20231024,84.293,EA
100,000000000002,0005,,20220612,40.3,EA
100,000000000003,0001,,20230223,96.248,EA
100,000000000003,0002,,20220916,56.28,EA
100,000000000003,0003,,20241216,77.765,EA
100,000000000003,0004,,20220521,59.35,EA
100,000000000003,0005,,20230614,43.161,EA
100,000000000004,0001,,20230207,25.88,EA
100,000000000004,0002,,20241101,69.381,EA
100,000000000004,0003,,20220414,6.084,EA
100,000000000004,0004,,20230218,93.049,EA
100,000000000004,0005,,20231110,8.847,EA
100,000000000005,0001,,20220503,24.574,EA
100,000000000005,0002,,20220919,57.274,EA
100,000000000005,0003,,20230623,96.28,EA
100,000000000005,0004,,20220724,26.658,EA
100,000000000005,0005,,20230915,79.706,EA
100,000000000006,0001,,20220408,53.241,EA
100,000000000006,0002,,20241216,53.448,EA
100,000000000006,0003,,20220811,9.339,EA
100,000000000006,0004,,20230222,88.091,EA
100,000000000006,0005,,20220205,77.756,EA
100,000000000007,0001,,20240701,19.511,EA
100,000000000007,0002,,20240513,82.144,EA
100,000000000007,0003,,20240106,22.116,EA
100,000000000007,0004,,20230401,32.608,EA
100,000000000007,0005,,20231030,46.869,EA
100,000000000008,0001,,20240113,7.767,EA
100,000000000008,0002,,20231003,83.648,EA
100,000000000008,0003,,20221110,91.575,EA
100,000000000008,0004,,20221221,63.282,EA
100,000000000008,0005,,20221211,1.073,EA
100,000000000009,0001,,20240917,67.023,EA
100,000000000009,0002,,20230722,47.346,EA
100,000000000009,0003,,20241203,1.543,EA
100,000000000009,0004,,20230824,98.811,EA
100,000000000009,0005,,20230104,36.651,EA
100,000000000010,0001,,20230825,49.126,EA
100,000000000010,0002,,20221204,17.08,EA
100,000000000010,0003,,20220519,38.807,EA
100,000000000010,0004,,20221121,68.4,EA
100,000000000010,0005,,20241122,53.807,EA
100,000000000011,0001,,20241009,23.698,EA
100,000000000011,0002,,20221023,21.996,EA
100,000000000011,0003,,20230314,48.881,EA
100,000000000011,0004,,20221110,49.275,EA
100,000000000011,0005,,20221208,41.19,EA
100,000000000012,0001,,20230405,35.597,EA
100,000000000012,0002,,20240727,56.72,EA
100,000000000012,0003,,20220929,26.191,EA
100,000000000012,0004,,20240106,59.5,EA
100,000000000012,0005,,20240318,81.936,EA
100,000000000013,0001,,20221210,96.097,EA
100,000000000013,0002,,20240103,21.304,EA
100,000000000013,0003,,20220502,48.771,EA
100,000000000013,0004,,20231029,22.856,EA
100,000000000013,0005,,20220918,16.456,EA
100,000000000014,0001,,20220902,76.495,EA
100,000000000014,0002,,20240322,66.049,EA
100,000000000014,0003,,20241230,55.584,EA
100,000000000014,0004,,20220720,35.038,EA
100,000000000014,0005,,20240313,66.165,EA
100,000000000015,0001,,20240402,61.446,EA
100,000000000015,0002,,20220104,40.845,EA
100,000000000015,0003,,20220627,23.186,EA
100,000000000015,0004,,20221016,59.423,EA
100,000000000015,0005,,20220703,59.772,EA
100,000000000016,0001,,20230331,8.598,EA
100,000000000016,0002,,20231012,13.121,EA
100,000000000016,0003,,20230130,86.037,EA
100,000000000016,0004,,20230414,3.58,EA
100,000000000016,0005,,20221030,5.436,EA
100,000000000017,0001,,20231210,3.965,EA
100,000000000017,0002,,20220725,27.402,EA
100,000000000017,0003,,20221220,61.353,EA
100,000000000017,0004,,20221006,57.721,EA
100,000000000017,0005,,20230302,48.64,EA
100,000000000018,0001,,20220921,8.682,EA
100,000000000018,0002,,20230503,70.342,EA
100,000000000018,0003,,20240702,26.544,EA
100,000000000018,0004,,20221010,76.606,EA
100,000000000018,0005,,20220912,37.874,EA
