MANDT,MBLNR,MJAHR,BUDAT,BLDAT,USNAM
100,5000000001,2024,20240605,20240605,USER031
100,5000000002,2022,20220509,20220509,USER034
100,5000000003,2022,20221109,20221109,USER028
100,5000000004,2025,20251231,20251231,USER042
100,5000000005,2022,20221105,20221105,USER027
100,5000000006,2025,20250909,20250909,USER004
100,5000000007,2025,20250119,20250119,USER038
100,5000000008,2022,20220501,20220501,USER039
100,5000000009,2023,20230309,20230309,USER016
100,5000000010,2022,20221028,20221028,USER029
100,5000000011,2024,20240123,20240123,USER009
100,5000000012,2022,20220114,20220114,USER042
100,5000000013,2023,20230301,20230301,USER014
100,5000000014,2023,20230519,20230519,USER012
100,5000000015,2025,20250812,20250812,USER013
100,5000000016,2022,20220227,20220227,USER001
100,5000000017,2024,20240901,20240901,USER042
100,5000000018,2023,20230708,20230708,USER043
100,5000000019,2024,20240630,20240630,USER043
100,5000000020,2024,20240102,20240102,USER032
100,5000000021,2024,20240808,20240808,USER035
100,5000000022,2022,20221008,20221008,USER004
100,5000000023,2022,20221110,20221110,USER036
100,5000000024,2024,20241101,20241101,USER021
100,5000000025,2024,20240923,20240923,USER013
100,5000000026,2023,20230210,20230210,USER029
100,5000000027,2025,20250412,20250412,USER018
100,5000000028,2025,20251026,20251026,USER040
100,5000000029,2023,20230205,20230205,USER041
100,5000000030,2025,20250615,20250615,USER047
100,5000000031,2024,20240308,20240308,USER017
100,5000000032,2023,20230722,20230722,USER023
100,5000000033,2023,20230130,20230130,USER033
100,5000000034,2023,20230206,20230206,USER028
100,5000000035,2022,20220630,20220630,USER005
100,5000000036,2025,20250325,20250325,USER018
100,5000000037,2025,20251207,20251207,USER040
100,5000000038,2023,20231008,20231008,USER045
100,5000000039,2025,20251229,20251229,USER034
100,5000000040,2024,20240822,20240822,USER006
100,5000000041,2023,20231002,20231002,USER010
100,5000000042,2022,20220814,20220814,USER018
100,5000000043,2024,20240826,20240826,USER015
100,5000000044,2024,20240107,20240107,USER043
100,5000000045,2024,20240628,20240628,USER049
100,5000000046,2023,20230205,20230205,USER016
100,5000000047,2023,20230518,20230518,USER025
100,5000000048,2022,20220516,20220516,USER003
100,5000000049,2023,20230418,20230418,USER005
100,5000000050,2023,20230130,20230130,USER001
100,5000000051,2022,20221217,20221217,USER013
100,5000000052,2024,20240908,20240908,USER018
100,5000000053,2024,20240427,20240427,USER034
100,5000000054,2022,20221108,20221108,USER038
100,5000000055,2023,20230521,20230521,USER018
100,5000000056,2023,20231227,20231227,USER050
100,5000000057,2022,20220114,20220114,USER034
100,5000000058,2023,20230107,20230107,USER040
100,5000000059,2024,20241010,20241010,USER035
100,5000000060,2023,20230211,20230211,USER015
100,5000000061,2025,20250719,20250719,USER049
100,5000000062,2024,20240122,20240122,USER008
100,5000000063,2024,20240530,20240530,USER049
100,5000000064,2025,20250701,20250701,USER031
100,5000000065,2022,20220527,20220527,USER017
100,5000000066,2025,20250501,20250501,USER040
100,5000000067,2024,20240514,20240514,USER009
100,5000000068,2024,20240807,20240807,USER012
100,5000000069,2025,20251219,20251219,USER023
100,5000000070,2022,20220816,20220816,USER015
100,5000000071,2024,20241220,20241220,USER030
100,5000000072,2022,20220918,20220918,USER044
100,5000000073,2025,20250710,20250710,USER005
100,5000000074,2023,20230515,20230515,USER002
100,5000000075,2024,20240417,20240417,USER033
100,5000000076,2024,20241018,20241018,USER049
100,5000000077,2022,20220726,20220726,USER041
100,5000000078,2024,20241028,20241028,USER024
100,5000000079,2024,20240501,20240501,USER025
100,5000000080,2022,20220325,20220325,USER032
100,5000000081,2025,20250623,20250623,USER034
100,5000000082,2023,20230906,20230906,USER018
100,5000000083,2023,20230416,20230416,USER045
100,5000000084,2025,20251217,20251217,USER008
100,5000000085,2023,20230804,20230804,USER047
100,5000000086,2024,20240806,20240806,USER026
100,5000000087,2022,20220719,20220719,USER004
100,5000000088,2023,20231112,20231112,USER037
