MANDT,MBLNR,MJAHR,ZEILE,BWART,MATNR,WERKS,LGORT,MENGE,MEINS,DMBTR,WAERS
100,5000000001,2024,0001,301,MAT000337,1300,0003,2234.25,KG,14759.17,EUR
100,5000000001,2024,0002,601,MAT000318,1100,0002,2457.71,KG,8577.84,EUR
100,5000000002,2022,0001,261,MAT000101,1400,0002,1217.66,KG,14688.52,EUR
100,5000000002,2022,0002,261,MAT000301,1400,0001,4484.46,KG,48068.72,EUR
100,5000000002,2022,0003,261,MAT000239,1200,0010,4862.37,KG,84915.59,EUR
100,5000000003,2022,0001,261,MAT000085,1400,0001,430.49,KG,4037.46,EUR
100,5000000003,2022,0002,311,MAT000327,1100,0003,4966.6,KG,55915.72,EUR
100,5000000003,2022,0003,551,MAT000111,1100,0003,2387.33,KG,31599.65,EUR
100,5000000003,2022,0004,261,MAT000362,1000,0003,2807.52,KG,48946.55,EUR
100,5000000004,2025,0001,551,MAT000154,1200,0010,2968.65,KG,7945.3,EUR
100,5000000004,2025,0002,901,MAT000142,1000,0001,387.08,KG,4661.26,EUR
100,5000000005,2022,0001,261,MAT000295,1200,0010,4606.67,KG,58460.63,EUR
100,5000000005,2022,0002,551,MAT000144,1000,0003,3910.86,KG,20790.59,EUR
100,5000000005,2022,0003,101,MAT000187,1300,0001,4860.27,KG,13612.11,EUR
100,5000000005,2022,0004,601,MAT000432,1400,0001,4859.54,KG,73034.33,EUR
100,5000000006,2025,0001,201,MAT000176,1200,0010,4464.62,KG,34203.4,EUR
100,5000000006,2025,0002,301,MAT000423,1300,0002,3663.99,KG,23275.03,EUR
100,5000000006,2025,0003,901,MAT000490,1100,0002,2023.08,KG,30569.71,EUR
100,5000000006,2025,0004,261,MAT000327,1400,0002,3528.65,KG,32397.81,EUR
100,5000000007,2025,0001,601,MAT000356,1300,0001,4390.18,KG,20209.69,EUR
100,5000000008,2022,0001,551,MAT000360,1400,0001,3165.41,KG,35900.51,EUR
100,5000000008,2022,0002,601,MAT000331,1200,0001,3577.7,KG,57122.32,EUR
100,5000000008,2022,0003,901,MAT000383,1300,0002,4622.83,KG,53664.16,EUR
100,5000000008,2022,0004,201,MAT000170,1400,0002,2648.9,KG,28053.68,EUR
100,5000000009,2023,0001,301,MAT000430,1100,0003,3242.53,KG,25314.91,EUR
100,5000000010,2022,0001,201,MAT000358,1000,0002,2316.18,KG,2344.52,EUR
100,5000000010,2022,0002,601,MAT000098,1100,0001,4089.88,KG,53140.21,EUR
100,5000000011,2024,0001,311,MAT000233,1200,0003,3251.29,KG,22337.55,EUR
100,5000000012,2022,0001,101,MAT000170,1100,0002,1022.2,KG,19786.6,EUR
100,5000000012,2022,0002,551,MAT000407,1000,0002,631.17,KG,12285.97,EUR
100,5000000013,2023,0001,311,MAT000041,1200,0010,2007.91,KG,11813.85,EUR
100,5000000013,2023,0002,101,MAT000052,1200,0010,3141.03,KG,32094.25,EUR
100,5000000014,2023,0001,901,MAT000283,1400,0002,241.2,KG,3349.04,EUR
100,5000000014,2023,0002,301,MAT000135,1200,0001,4492.27,KG,51181.7,EUR
100,5000000014,2023,0003,311,MAT000005,1000,0003,4536.59,KG,70082.06,EUR
100,5000000014,2023,0004,201,MAT000347,1400,0003,4423.98,KG,3138.82,EUR
100,5000000015,2025,0001,901,MAT000124,1400,0002,2.03,KG,15.02,EUR
100,5000000015,2025,0002,551,MAT000213,1300,0010,2596.12,KG,48791.88,EUR
100,5000000015,2025,0003,601,MAT000148,1000,0002,3886.13,KG,52098.35,EUR
100,5000000015,2025,0004,201,MAT000125,1000,0003,4495.1,KG,12102.23,EUR
100,5000000016,2022,0001,901,MAT000441,1000,0003,2447.55,KG,14815.91,EUR
100,5000000016,2022,0002,551,MAT000192,1400,0001,4334.74,KG,55478.08,EUR
100,5000000016,2022,0003,551,MAT000074,1300,0002,3394.82,KG,29198.71,EUR
100,5000000017,2024,0001,601,MAT000420,1300,0010,302.08,KG,4752.55,EUR
100,5000000018,2023,0001,311,MAT000207,1000,0003,2434.54,KG,45246.52,EUR
100,5000000018,2023,0002,101,MAT000450,1200,0001,3213.31,KG,6086.49,EUR
100,5000000018,2023,0003,311,MAT000297,1100,0001,2713.4,KG,38727.92,EUR
100,5000000018,2023,0004,201,MAT000052,1300,0002,1421.97,KG,24857.4,EUR
100,5000000019,2024,0001,311,MAT000477,1400,0003,3484.97,KG,55282.59,EUR
100,5000000019,2024,0002,311,MAT000327,1400,0002,2754.01,KG,9663.2,EUR
100,5000000020,2024,0001,551,MAT000304,1400,0001,2485.65,KG,2050.82,EUR
100,5000000021,2024,0001,201,MAT000006,1100,0010,2071.96,KG,40904.14,EUR
100,5000000021,2024,0002,311,MAT000310,1000,0003,4144.17,KG,5639.55,EUR
100,5000000021,2024,0003,601,MAT000298,1000,0001,2329.76,KG,31476.75,EUR
100,5000000022,2022,0001,261,MAT000030,1100,0001,2341.54,KG,38183.27,EUR
100,5000000022,2022,0002,261,MAT000196,1000,0003,2538.72,KG,33406.01,EUR
100,5000000023,2022,0001,901,MAT000487,1400,0003,1352.65,KG,8566.42,EUR
100,5000000023,2022,0002,311,MAT000240,1200,0003,817.66,KG,657.7,EUR
100,5000000023,2022,0003,301,MAT000378,1400,0003,3161.72,KG,47821.51,EUR
100,5000000023,2022,0004,601,MAT000358,1100,0002,385.81,KG,1103.41,EUR
100,5000000024,2024,0001,311,MAT000159,1100,0003,2712.59,KG,45107.76,EUR
100,5000000025,2024,0001,551,MAT000252,1100,0003,373.17,KG,2832.93,EUR
100,5000000025,2024,0002,101,MAT000311,1300,0002,3924.04,KG,10224.02,EUR
100,5000000025,2024,0003,551,MAT000002,1200,0002,1192.28,KG,4712.43,EUR
100,5000000026,2023,0001,201,MAT000220,1200,0001,4873.76,KG,94683.51,EUR
100,5000000027,2025,0001,261,MAT000285,1300,0001,3289.12,KG,18015.26,EUR
100,5000000028,2025,0001,301,MAT000345,1200,0001,4899.52,KG,18595.53,EUR
100,5000000028,2025,0002,551,MAT000104,1000,0003,1768.15,KG,1143.05,EUR
100,5000000028,2025,0003,261,MAT000045,1000,0002,683.29,KG,11746.28,EUR
100,5000000029,2023,0001,601,MAT000360,1200,0010,3565.98,KG,60053.15,EUR
100,5000000029,2023,0002,601,MAT000089,1400,0002,1761.86,KG,5202.02,EUR
100,5000000029,2023,0003,261,MAT000497,1200,0010,60.54,KG,1190.57,EUR
100,5000000030,2025,0001,201,MAT000005,1000,0002,2923.12,KG,26896.67,EUR
100,5000000030,2025,0002,601,MAT000429,1400,0010,2149.55,KG,39467.16,EUR
100,5000000030,2025,0003,261,MAT000413,1300,0010,2680.82,KG,25845.07,EUR
100,5000000030,2025,0004,101,MAT000378,1400,0001,1215.98,KG,21918.11,EUR
100,5000000031,2024,0001,261,MAT000041,1000,0001,805.89,KG,7300.21,EUR
100,5000000031,2024,0002,101,MAT000217,1000,0002,4200.87,KG,10121.21,EUR
100,5000000031,2024,0003,101,MAT000489,1300,0010,3013.32,KG,38611.62,EUR
100,5000000032,2023,0001,551,MAT000218,1100,0002,1301.5,KG,14926.92,EUR
100,5000000033,2023,0001,311,MAT000368,1100,0002,4986.52,KG,96924.33,EUR
100,5000000033,2023,0002,301,MAT000091,1000,0002,1046.96,KG,7009.74,EUR
100,5000000034,2023,0001,261,MAT000087,1100,0003,4146.9,KG,81509.2,EUR
100,5000000035,2022,0001,101,MAT000287,1300,0003,4936.39,KG,91613.98,EUR
100,5000000035,2022,0002,551,MAT000420,1000,0010,457.65,KG,4030.67,EUR
100,5000000035,2022,0003,901,MAT000017,1300,0003,4862.58,KG,52967.94,EUR
100,5000000036,2025,0001,601,MAT000111,1100,0010,4377.04,KG,70935.67,EUR
100,5000000036,2025,0002,311,MAT000496,1400,0002,713.47,KG,524.96,EUR
100,5000000036,2025,0003,101,MAT000485,1100,0002,391.85,KG,6806.41,EUR
100,5000000037,2025,0001,311,MAT000452,1300,0002,1168.63,KG,8292.63,EUR
100,5000000037,2025,0002,301,MAT000121,1300,0010,1766.2,KG,14880.95,EUR
100,5000000037,2025,0003,601,MAT000353,1300,0003,3543.72,KG,29566.67,EUR
100,5000000038,2023,0001,301,MAT000466,1300,0010,602.2,KG,3918.38,EUR
100,5000000038,2023,0002,551,MAT000204,1300,0003,833.84,KG,5536.59,EUR
100,5000000038,2023,0003,261,MAT000305,1300,0001,2741.32,KG,11892.85,EUR
