MANDT,PERNR,ENDDA,BEGDA,BUKRS,WERKS,KOSTL,ORGEH,PLANS
100,00000001,99991231,20200101,1000,0001,0000001000,00000001,00000001
100,00000002,99991231,20200101,2000,0002,0000001100,00000002,00000002
100,00000003,99991231,20200101,1000,0003,0000001200,00000003,00000003
100,00000004,99991231,20200101,2000,0004,0000001300,00000004,00000004
100,00000005,99991231,20200101,1000,0005,0000001400,00000005,00000005
100,00000006,99991231,20200101,2000,0006,0000001500,00000006,00000006
100,00000007,99991231,20200101,1000,0007,0000001600,00000007,00000007
100,00000008,99991231,20200101,2000,0008,0000001700,00000008,00000008
100,00000009,99991231,20200101,1000,0009,0000001800,00000009,00000009
100,00000010,99991231,20200101,2000,0010,0000001900,00000010,00000010
100,00000011,99991231,20200101,1000,0001,0000002000,00000011,00000011
100,00000012,99991231,20200101,2000,0002,0000002100,00000012,00000012
100,00000013,99991231,20200101,1000,0003,0000002200,00000013,00000013
100,00000014,99991231,20200101,2000,0004,0000002300,00000014,00000014
100,00000015,99991231,20200101,1000,0005,0000002400,00000015,00000015
100,00000016,99991231,20200101,2000,0006,0000002500,00000016,00000016
100,00000017,99991231,20200101,1000,0007,0000002600,00000017,00000017
100,00000018,99991231,20200101,2000,0008,0000002700,00000018,00000018
100,00000019,99991231,20200101,1000,0009,0000002800,00000019,00000019
100,00000020,99991231,20200101,2000,0010,0000002900,00000020,00000020
100,00000021,99991231,20200101,1000,0001,0000003000,00000001,00000021
100,00000022,99991231,20200101,2000,0002,0000003100,00000002,00000022
100,00000023,99991231,20200101,1000,0003,0000003200,00000003,00000023
100,00000024,99991231,20200101,2000,0004,0000003300,00000004,00000024
100,00000025,99991231,20200101,1000,0005,0000003400,00000005,00000025
100,00000026,99991231,20200101,2000,0006,0000003500,00000006,00000026
100,00000027,99991231,20200101,1000,0007,0000003600,00000007,00000027
100,00000028,99991231,20200101,2000,0008,0000003700,00000008,00000028
100,00000029,99991231,20200101,1000,0009,0000003800,00000009,00000029
100,00000030,99991231,20200101,2000,0010,0000003900,00000010,00000030
100,00000031,99991231,20200101,1000,0001,0000004000,00000011,00000031
100,00000032,99991231,20200101,2000,0002,0000004100,00000012,00000032
100,00000033,99991231,20200101,1000,0003,0000004200,00000013,00000033
100,00000034,99991231,20200101,2000,0004,0000004300,00000014,00000034
100,00000035,99991231,20200101,1000,0005,0000004400,00000015,00000035
100,00000036,99991231,20200101,2000,0006,0000004500,00000016,00000036
100,00000037,99991231,20200101,1000,0007,0000004600,00000017,00000037
100,00000038,99991231,20200101,2000,0008,0000004700,00000018,00000038
100,00000039,99991231,20200101,1000,0009,0000004800,00000019,00000039
100,00000040,99991231,20200101,2000,0010,0000004900,00000020,00000040
100,00000041,99991231,20200101,1000,0001,0000005000,00000001,00000041
100,00000042,99991231,20200101,2000,0002,0000005100,00000002,00000042
