MANDT,PERNR,ENDDA,BEGDA,LGART,BETRG,WAESSION
100,00000001,99991231,20200101,0001,190.68,EUR
100,00000002,99991231,20200101,0002,253.64,EUR
100,00000003,99991231,20200101,0003,409.55,EUR
100,00000004,99991231,20200101,0004,470.74,EUR
100,00000005,99991231,20200101,0005,354.37,EUR
100,00000006,99991231,20200101,0001,111.24,EUR
100,00000007,99991231,20200101,0002,165.13,EUR
100,00000008,99991231,20200101,0003,63.0,EUR
100,00000009,99991231,20200101,0004,96.42,EUR
100,00000010,99991231,20200101,0005,357.66,EUR
100,00000011,99991231,20200101,0001,155.57,EUR
100,00000012,99991231,20200101,0002,390.24,EUR
100,00000013,99991231,20200101,0003,142.37,EUR
100,00000014,99991231,20200101,0004,161.52,EUR
100,00000015,99991231,20200101,0005,411.75,EUR
100,00000016,99991231,20200101,0001,327.71,EUR
100,00000017,99991231,20200101,0002,129.83,EUR
100,00000018,99991231,20200101,0003,496.1,EUR
100,00000019,99991231,20200101,0004,425.94,EUR
100,00000020,99991231,20200101,0005,228.39,EUR
100,00000021,99991231,20200101,0001,276.79,EUR
100,00000022,99991231,20200101,0002,304.81,EUR
100,00000023,99991231,20200101,0003,113.91,EUR
100,00000024,99991231,20200101,0004,165.23,EUR
100,00000025,99991231,20200101,0005,340.46,EUR
100,00000026,99991231,20200101,0001,372.14,EUR
100,00000027,99991231,20200101,0002,280.33,EUR
100,00000028,99991231,20200101,0003,273.12,EUR
100,00000029,99991231,20200101,0004,225.25,EUR
100,00000030,99991231,20200101,0005,273.58,EUR
100,00000031,99991231,20200101,0001,232.42,EUR
100,00000032,99991231,20200101,0002,72.33,EUR
100,00000033,99991231,20200101,0003,145.86,EUR
100,00000034,99991231,20200101,0004,483.73,EUR
100,00000035,99991231,20200101,0005,324.43,EUR
100,00000036,99991231,20200101,0001,410.65,EUR
100,00000037,99991231,20200101,0002,495.6,EUR
100,00000038,99991231,20200101,0003,389.23,EUR
100,00000039,99991231,20200101,0004,141.75,EUR
100,00000040,99991231,20200101,0005,452.76,EUR
100,00000041,99991231,20200101,0001,149.27,EUR
100,00000042,99991231,20200101,0002,212.79,EUR
100,00000043,99991231,20200101,0003,239.13,EUR
100,00000044,99991231,20200101,0004,270.59,EUR
100,00000045,99991231,20200101,0005,302.79,EUR
100,00000046,99991231,20200101,0001,485.0,EUR
100,00000047,99991231,20200101,0002,397.23,EUR
100,00000048,99991231,20200101,0003,51.86,EUR
100,00000049,99991231,20200101,0004,479.48,EUR
100,00000050,99991231,20200101,0005,242.52,EUR
100,00000051,99991231,20200101,0001,157.33,EUR
100,00000052,99991231,20200101,0002,141.77,EUR
100,00000053,99991231,20200101,0003,489.49,EUR
100,00000054,99991231,20200101,0004,438.24,EUR
100,00000055,99991231,20200101,0005,193.14,EUR
100,00000056,99991231,20200101,0001,95.51,EUR
100,00000057,99991231,20200101,0002,152.47,EUR
100,00000058,99991231,20200101,0003,189.55,EUR
100,00000059,99991231,20200101,0004,148.21,EUR
100,00000060,99991231,20200101,0005,286.15,EUR
100,00000061,99991231,20200101,0001,144.23,EUR
100,00000062,99991231,20200101,0002,107.41,EUR
100,00000063,99991231,20200101,0003,318.91,EUR
100,00000064,99991231,20200101,0004,177.52,EUR
100,00000065,99991231,20200101,0005,175.48,EUR
100,00000066,99991231,20200101,0001,368.71,EUR
100,00000067,99991231,20200101,0002,286.77,EUR
100,00000068,99991231,20200101,0003,397.77,EUR
100,00000069,99991231,20200101,0004,434.71,EUR
100,00000070,99991231,20200101,0005,210.3,EUR
100,00000071,99991231,20200101,0001,371.33,EUR
100,00000072,99991231,20200101,0002,299.69,EUR
100,00000073,99991231,20200101,0003,308.88,EUR
100,00000074,99991231,20200101,0004,399.76,EUR
100,00000075,99991231,20200101,0005,134.04,EUR
100,00000076,99991231,20200101,0001,306.5,EUR
100,00000077,99991231,20200101,0002,84.52,EUR
100,00000078,99991231,20200101,0003,252.21,EUR
100,00000079,99991231,20200101,0004,125.88,EUR
100,00000080,99991231,20200101,0005,219.83,EUR
100,00000081,99991231,20200101,0001,483.23,EUR
100,00000082,99991231,20200101,0002,167.83,EUR
100,00000083,99991231,20200101,0003,127.26,EUR
100,00000084,99991231,20200101,0004,196.24,EUR
100,00000085,99991231,20200101,0005,272.46,EUR
100,00000086,99991231,20200101,0001,452.51,EUR
100,00000087,99991231,20200101,0002,450.0,EUR
100,00000088,99991231,20200101,0003,430.45,EUR
100,00000089,99991231,20200101,0004,371.39,EUR
100,00000090,99991231,20200101,0005,72.82,EUR
100,00000091,99991231,20200101,0001,195.53,EUR
100,00000092,99991231,20200101,0002,193.01,EUR
100,00000093,99991231,20200101,0003,224.34,EUR
100,00000094,99991231,20200101,0004,170.5,EUR
100,00000095,99991231,20200101,0005,188.47,EUR
100,00000096,99991231,20200101,0001,358.64,EUR
100,00000097,99991231,20200101,0002,206.28,EUR
100,00000098,99991231,20200101,0003,151.29,EUR
100,00000099,99991231,20200101,0004,140.6,EUR
100,00000100,99991231,20200101,0005,294.5,EUR
100,00000101,99991231,20200101,0001,362.34,EUR
100,00000102,99991231,20200101,0002,87.23,EUR
100,00000103,99991231,20200101,0003,332.41,EUR
100,00000104,99991231,20200101,0004,149.87,EUR
100,00000105,99991231,20200101,0005,234.98,EUR
100,00000106,99991231,20200101,0001,237.45,EUR
100,00000107,99991231,20200101,0002,179.86,EUR
