MANDT,PERNR,ENDDA,BEGDA,SUBTY,ABESSION
100,00000385,20230607,20221025,0002,5.37
100,00000468,20220908,20220911,0005,4.38
100,00000025,20230904,20231115,0002,1.45
100,00001758,20220519,20220629,0003,4.32
100,00001933,20231024,20220326,0002,3.54
100,00000236,20240810,20241203,0001,0.74
100,00000801,20230310,20230224,0002,1.64
100,00001691,20231109,20220119,0004,5.7
100,00001826,20240713,20231011,0001,5.27
100,00001716,20240527,20230128,0003,3.94
100,00001814,20241117,20220927,0002,6.73
100,00000088,20240610,20231127,0003,3.36
100,00001870,20230907,20231217,0005,0.75
100,00001591,20230228,20231011,0001,6.31
100,00000577,20240717,20240512,0005,5.15
100,00001233,20230816,20230904,0005,3.79
100,00001804,20220208,20230831,0004,4.81
100,00001506,20231001,20230602,0002,3.66
100,00001471,20241226,20220720,0004,7.73
100,00001484,20220424,20220924,0001,6.36
100,00001697,20240421,20241005,0002,0.82
100,00000147,20220529,20231017,0003,4.41
100,00000584,20240428,20231022,0003,6.98
100,00001562,20230805,20220503,0005,2.94
100,00001948,20241215,20240514,0001,7.85
100,00000597,20220128,20221111,0005,6.51
100,00000979,20231227,20221103,0002,4.41
100,00001674,20241222,20230921,0003,6.29
100,00000725,20231222,20240930,0004,5.49
100,00000528,20240501,20220723,0004,6.59
100,00000281,20240915,20220104,0003,4.37
100,00001093,20230730,20240112,0005,4.2
100,00000120,20240530,20220406,0002,0.59
100,00001091,20220211,20220103,0005,5.57
100,00001977,20240406,20231221,0003,6.93
100,00001589,20220521,20230714,0001,4.49
100,00001850,20240402,20240118,0005,0.95
100,00001946,20231226,20240610,0003,5.73
100,00000646,20240530,20220805,0002,1.71
100,00001822,20230226,20240812,0004,5.31
100,00001279,20220113,20240828,0003,5.31
100,00001869,20230726,20230912,0005,1.34
100,00001739,20230928,20241218,0003,4.94
100,00000515,20220505,20231214,0004,3.24
100,00000773,20220623,20241204,0002,5.57
100,00001521,20231011,20220213,0005,4.76
100,00000452,20230430,20220811,0004,6.52
100,00001680,20241004,20241012,0003,3.14
100,00001797,20240403,20241130,0005,1.33
100,00001930,20221231,20220317,0001,4.11
100,00000664,20240517,20221117,0002,1.41
100,00000043,20230504,20230721,0004,4.84
100,00001208,20240318,20240211,0003,3.22
100,00000782,20220506,20220601,0001,6.1
100,00000215,20220617,20240310,0004,2.68
100,00000600,20220110,20230121,0004,7.87
100,00001158,20240125,20230313,0005,6.34
100,00001894,20240903,20231031,0004,4.39
100,00001537,20241210,20230909,0004,6.06
100,00000352,20231004,20221218,0004,3.04
100,00001877,20240915,20240528,0005,2.26
100,00000671,20220530,20220326,0003,0.57
100,00001195,20240728,20220429,0003,7.71
100,00001410,20241016,20220311,0001,6.63
100,00000687,20230321,20240531,0003,4.82
100,00000684,20240211,20221029,0005,3.68
100,00000889,20231225,20230920,0005,7.15
100,00000332,20240510,20240125,0002,5.22
100,00000831,20240419,20241110,0001,4.77
100,00001913,20240202,20240728,0002,0.6
100,00000900,20240731,20231004,0001,1.4
100,00000542,20220209,20240718,0004,5.39
100,00000035,20230409,20221116,0003,5.97
100,00001989,20241227,20230726,0002,6.76
100,00001902,20221001,20220218,0005,6.6
100,00001264,20220216,20240516,0004,1.63
100,00001042,20220430,20220528,0001,4.63
100,00001495,20230930,20240122,0004,6.77
100,00001868,20240126,20240207,0005,1.03
100,00000948,20220512,20240902,0005,1.08
100,00000321,20241025,20231021,0001,3.88
100,00001894,20231017,20220725,0003,2.68
100,00001000,20240605,20240816,0004,1.98
100,00000351,20240211,20240422,0003,5.84
100,00001083,20221009,20230828,0003,3.44
100,00000422,20240911,20231213,0004,3.84
100,00001318,20230416,20220430,0005,7.37
100,00000864,20220202,20221203,0001,2.63
100,00001739,20240505,20240402,0005,4.54
100,00000390,20240505,20241112,0004,2.7
100,00000973,20231129,20220127,0003,1.69
100,00001477,20220710,20240118,0002,3.8
100,00001052,20240821,20241020,0001,0.94
100,00001725,20220625,20230724,0003,3.65
100,00001825,20231014,20231111,0002,5.59
100,00000405,20230101,20230924,0002,1.16
100,00000053,20231011,20220827,0005,5.96
100,00001753,20241226,20240414,0001,1.36
100,00001324,20220217,20230410,0002,3.59
100,00000903,20241110,20241011,0001,4.29
100,00001211,20220515,20221015,0001,5.83
100,00001587,20221109,20230725,0005,5.11
100,00000517,20220516,20240727,0002,0.72
100,00000030,20220605,20230813,0004,0.61
100,00001447,20231208,20230317,0005,2.55
100,00001052,20240516,20240330,0005,6.14
100,00001831,20240111,20230207,0001,0.9
100,00000143,20240611,20231119,0003,5.32
100,00001897,20230904,20230526,0001,5.2
100,00000520,20230417,20220719,0002,5.51
100,00000235,20220221,20230307,0005,1.01
100,00001043,20240630,20231111,0002,5.2
100,00001233,20240909,20220118,0005,7.0
100,00000798,20231123,20220703,0002,6.9
100,00000096,20220204,20240313,0001,4.02
100,00000674,20240522,20230414,0003,3.4
100,00001871,20240112,20241104,0003,4.78
100,00000833,20240117,20230520,0005,4.55
100,00001804,20220216,20220128,0004,5.57
100,00001071,20220117,20240318,0004,6.42
100,00000119,20221001,20230930,0002,6.85
100,00001389,20220326,20230131,0004,7.96
100,00000385,20240623,20220226,0004,7.83
100,00000687,20230911,20220101,0001,4.06
100,00000205,20230604,20230720,0005,7.37
100,00000345,20230115,20230114,0003,5.16
100,00000228,20220302,20230611,0004,5.41
100,00001714,20221017,20230617,0002,4.71
100,00001078,20240527,20230109,0003,7.19
100,00001040,20220130,20240803,0004,4.82
100,00001235,20240124,20241125,0001,4.25
100,00001278,20240113,20230926,0001,5.08
100,00001762,20230215,20230519,0001,6.17
100,00001519,20220413,20230715,0005,6.49
100,00001629,20230623,20231024,0001,6.83
100,00000827,20240405,20220220,0003,2.95
100,00001244,20221125,20230804,0003,3.69
100,00000565,20220928,20230706,0003,7.9
100,00001340,20240710,20240223,0005,2.06
100,00000300,20230101,20241014,0004,2.15
100,00000570,20240828,20241019,0003,0.8
100,00000840,20240428,20240328,0005,1.44
100,00001962,20230520,20240409,0003,4.25
100,00000382,20240301,20230615,0005,1.98
100,00001032,20230124,20220520,0003,5.21
