MANDT,PERNR,ENDDA,BEGDA,SUBTY,ANZHL,KESSION
100,00001051,99991231,20230101,0001,23.94,22.48
100,00001196,99991231,20230101,0001,10.4,11.85
100,00001286,99991231,20230101,0003,18.39,12.4
100,00000343,99991231,20230101,0003,25.87,11.2
100,00000528,99991231,20230101,0003,29.45,19.39
100,00001592,99991231,20230101,0001,22.06,16.58
100,00001498,99991231,20230101,0002,27.59,5.25
100,00001959,99991231,20230101,0001,15.22,5.0
100,00001134,99991231,20230101,0002,13.11,16.76
100,00000291,99991231,20230101,0002,12.73,12.08
100,00000940,99991231,20230101,0002,21.94,10.53
100,00000180,99991231,20230101,0002,19.86,20.23
100,00001361,99991231,20230101,0001,14.73,15.31
100,00000732,99991231,20230101,0001,28.42,15.66
100,00000355,99991231,20230101,0001,29.97,19.51
100,00001812,99991231,20230101,0002,20.63,17.38
100,00001688,99991231,20230101,0002,12.62,20.58
100,00000518,99991231,20230101,0001,20.31,20.78
100,00001158,99991231,20230101,0001,18.88,6.35
100,00000234,99991231,20230101,0001,23.07,6.91
100,00001037,99991231,20230101,0002,10.01,19.9
100,00000118,99991231,20230101,0003,28.17,18.22
100,00001889,99991231,20230101,0003,25.76,15.28
100,00000751,99991231,20230101,0002,27.53,22.53
100,00001275,99991231,20230101,0002,19.03,15.89
100,00000889,99991231,20230101,0001,22.25,5.96
100,00001904,99991231,20230101,0002,27.66,5.27
100,00001474,99991231,20230101,0003,20.42,17.14
100,00001213,99991231,20230101,0003,15.05,10.82
100,00001804,99991231,20230101,0003,28.36,16.89
100,00000775,99991231,20230101,0001,11.77,16.26
100,00001399,99991231,20230101,0001,22.11,18.78
100,00001665,99991231,20230101,0002,29.56,17.85
100,00001258,99991231,20230101,0001,20.28,16.6
100,00001717,99991231,20230101,0002,18.23,20.39
100,00001677,99991231,20230101,0001,25.07,11.61
100,00000725,99991231,20230101,0001,13.94,17.49
100,00000719,99991231,20230101,0003,28.21,21.2
100,00000882,99991231,20230101,0001,24.19,14.27
100,00001512,99991231,20230101,0003,28.17,12.06
100,00000342,99991231,20230101,0001,27.02,19.41
100,00000328,99991231,20230101,0002,20.81,24.42
100,00001796,99991231,20230101,0003,20.48,5.34
100,00000436,99991231,20230101,0001,28.53,20.07
100,00001509,99991231,20230101,0003,23.2,22.71
100,00000818,99991231,20230101,0001,23.47,16.76
100,00000237,99991231,20230101,0001,16.73,10.7
100,00001442,99991231,20230101,0003,29.84,19.66
