MANDT,MATNR,WERKS,BEDAE,PDATU,PLNMG,MEINS
100,000000000000100000,0001,LSF1,20231114,159.871,EA
100,000000000000100001,0002,LSF2,20241117,86.528,EA
100,000000000000100002,0003,LSF3,20230130,174.921,EA
100,000000000000100003,0004,LSF1,20240810,370.487,EA
100,000000000000100004,0005,LSF2,20220816,499.026,EA
100,000000000000100005,0006,LSF3,20231201,227.128,EA
100,000000000000100006,0007,LSF1,20230715,118.272,EA
100,000000000000100007,0008,LSF2,20220224,99.758,EA
100,000000000000100008,0009,LSF3,20241207,147.778,EA
100,000000000000100009,0010,LSF1,20220109,391.29,EA
100,000000000000100010,0001,LSF2,20240524,178.126,EA
100,000000000000100011,0002,LSF3,20231211,347.747,EA
100,000000000000100012,0003,LSF1,20221227,424.776,EA
100,000000000000100013,0004,LSF2,20221021,467.855,EA
100,000000000000100014,0005,LSF3,20220125,277.619,EA
100,000000000000100015,0006,LSF1,20230729,238.223,EA
100,000000000000100016,0007,LSF2,20240104,468.211,EA
100,000000000000100017,0008,LSF3,20220503,311.75,EA
100,000000000000100018,0009,LSF1,20230125,116.893,EA
100,000000000000100019,0010,LSF2,20220114,70.726,EA
100,000000000000100020,0001,LSF3,20231021,250.538,EA
100,000000000000100021,0002,LSF1,20220527,480.324,EA
100,000000000000100022,0003,LSF2,20220801,468.63,EA
100,000000000000100023,0004,LSF3,20240417,340.228,EA
100,000000000000100024,0005,LSF1,20221019,452.92,EA
100,000000000000100025,0006,LSF2,20231227,213.052,EA
100,000000000000100026,0007,LSF3,20230603,251.357,EA
100,000000000000100027,0008,LSF1,20221030,325.597,EA
100,000000000000100028,0009,LSF2,20230902,438.535,EA
100,000000000000100029,0010,LSF3,20240812,115.261,EA
100,000000000000100030,0001,LSF1,20240519,85.716,EA
100,000000000000100031,0002,LSF2,20231224,101.292,EA
100,000000000000100032,0003,LSF3,20230614,454.518,EA
100,000000000000100033,0004,LSF1,20240919,139.683,EA
100,000000000000100034,0005,LSF2,20240124,158.095,EA
100,000000000000100035,0006,LSF3,20240429,468.6,EA
