MANDT,MATNR,WERKS,BEDAE,VERSB
100,000000000000100000,0001,LSF1,01
100,000000000000100001,0002,LSF2,02
100,000000000000100002,0003,LSF3,03
100,000000000000100003,0004,LSF1,01
100,000000000000100004,0005,LSF2,02
100,000000000000100005,0006,LSF3,03
100,000000000000100006,0007,LSF1,01
100,000000000000100007,0008,LSF2,02
100,000000000000100008,0009,LSF3,03
100,000000000000100009,0010,LSF1,01
100,000000000000100010,0001,LSF2,02
100,000000000000100011,0002,LSF3,03
100,000000000000100012,0003,LSF1,01
100,000000000000100013,0004,LSF2,02
100,000000000000100014,0005,LSF3,03
100,000000000000100015,0006,LSF1,01
100,000000000000100016,0007,LSF2,02
100,000000000000100017,0008,LSF3,03
100,000000000000100018,0009,LSF1,01
100,000000000000100019,0010,LSF2,02
100,000000000000100020,0001,LSF3,03
100,000000000000100021,0002,LSF1,01
100,000000000000100022,0003,LSF2,02
100,000000000000100023,0004,LSF3,03
100,000000000000100024,0005,LSF1,01
100,000000000000100025,0006,LSF2,02
100,000000000000100026,0007,LSF3,03
100,000000000000100027,0008,LSF1,01
100,000000000000100028,0009,LSF2,02
100,000000000000100029,0010,LSF3,03
100,000000000000100030,0001,LSF1,01
100,000000000000100031,0002,LSF2,02
100,000000000000100032,0003,LSF3,03
100,000000000000100033,0004,LSF1,01
100,000000000000100034,0005,LSF2,02
100,000000000000100035,0006,LSF3,03
100,000000000000100036,0007,LSF1,01
100,000000000000100037,0008,LSF2,02
100,000000000000100038,0009,LSF3,03
100,000000000000100039,0010,LSF1,01
100,000000000000100040,0001,LSF2,02
100,000000000000100041,0002,LSF3,03
100,000000000000100042,0003,LSF1,01
100,000000000000100043,0004,LSF2,02
100,000000000000100044,0005,LSF3,03
100,000000000000100045,0006,LSF1,01
100,000000000000100046,0007,LSF2,02
100,000000000000100047,0008,LSF3,03
100,000000000000100048,0009,LSF1,01
100,000000000000100049,0010,LSF2,02
100,000000000000100050,0001,LSF3,03
100,000000000000100051,0002,LSF1,01
100,000000000000100052,0003,LSF2,02
100,000000000000100053,0004,LSF3,03
100,000000000000100054,0005,LSF1,01
100,000000000000100055,0006,LSF2,02
100,000000000000100056,0007,LSF3,03
100,000000000000100057,0008,LSF1,01
100,000000000000100058,0009,LSF2,02
100,000000000000100059,0010,LSF3,03
100,000000000000100060,0001,LSF1,01
100,000000000000100061,0002,LSF2,02
100,000000000000100062,0003,LSF3,03
100,000000000000100063,0004,LSF1,01
100,000000000000100064,0005,LSF2,02
100,000000000000100065,0006,LSF3,03
100,000000000000100066,0007,LSF1,01
100,000000000000100067,0008,LSF2,02
100,000000000000100068,0009,LSF3,03
100,000000000000100069,0010,LSF1,01
100,000000000000100070,0001,LSF2,02
100,000000000000100071,0002,LSF3,03
100,000000000000100072,0003,LSF1,01
100,000000000000100073,0004,LSF2,02
100,000000000000100074,0005,LSF3,03
100,000000000000100075,0006,LSF1,01
100,000000000000100076,0007,LSF2,02
100,000000000000100077,0008,LSF3,03
100,000000000000100078,0009,LSF1,01
100,000000000000100079,0010,LSF2,02
100,000000000000100080,0001,LSF3,03
100,000000000000100081,0002,LSF1,01
100,000000000000100082,0003,LSF2,02
100,000000000000100083,0004,LSF3,03
100,000000000000100084,0005,LSF1,01
100,000000000000100085,0006,LSF2,02
100,000000000000100086,0007,LSF3,03
100,000000000000100087,0008,LSF1,01
100,000000000000100088,0009,LSF2,02
100,000000000000100089,0010,LSF3,03
100,000000000000100090,0001,LSF1,01
100,000000000000100091,0002,LSF2,02
100,000000000000100092,0003,LSF3,03
100,000000000000100093,0004,LSF1,01
100,000000000000100094,0005,LSF2,02
100,000000000000100095,0006,LSF3,03
100,000000000000100096,0007,LSF1,01
100,000000000000100097,0008,LSF2,02
100,000000000000100098,0009,LSF3,03
100,000000000000100099,0010,LSF1,01
100,000000000000100100,0001,LSF2,02
100,000000000000100101,0002,LSF3,03
100,000000000000100102,0003,LSF1,01
100,000000000000100103,0004,LSF2,02
100,000000000000100104,0005,LSF3,03
100,000000000000100105,0006,LSF1,01
100,000000000000100106,0007,LSF2,02
100,000000000000100107,0008,LSF3,03
100,000000000000100108,0009,LSF1,01
100,000000000000100109,0010,LSF2,02
100,000000000000100110,0001,LSF3,03
100,000000000000100111,0002,LSF1,01
100,000000000000100112,0003,LSF2,02
100,000000000000100113,0004,LSF3,03
100,000000000000100114,0005,LSF1,01
100,000000000000100115,0006,LSF2,02
100,000000000000100116,0007,LSF3,03
100,000000000000100117,0008,LSF1,01
100,000000000000100118,0009,LSF2,02
100,000000000000100119,0010,LSF3,03
100,000000000000100120,0001,LSF1,01
100,000000000000100121,0002,LSF2,02
100,000000000000100122,0003,LSF3,03
100,000000000000100123,0004,LSF1,01
100,000000000000100124,0005,LSF2,02
100,000000000000100125,0006,LSF3,03
100,000000000000100126,0007,LSF1,01
100,000000000000100127,0008,LSF2,02
100,000000000000100128,0009,LSF3,03
100,000000000000100129,0010,LSF1,01
100,000000000000100130,0001,LSF2,02
