MANDT,PLNUM,MATNR,WERKS,GESSION,MEINS,PEDTR,PESSION
100,0000000001,000000000000100240,0001,1555.147,EA,20240608,20220603
100,0000000002,000000000000100062,0010,1822.838,EA,20230430,20230920
100,0000000003,000000000000100333,0003,1671.335,EA,20240306,20240219
100,0000000004,000000000000100474,0009,484.158,EA,20240513,20240430
100,0000000005,000000000000100284,0001,381.319,EA,20230327,20231211
100,0000000006,000000000000100491,0002,94.386,EA,20240828,20240116
100,0000000007,000000000000100122,0002,514.84,EA,20220412,20231007
100,0000000008,000000000000100048,0008,36.571,EA,20230124,20230428
100,0000000009,000000000000100378,0003,675.462,EA,20230210,20220806
100,0000000010,000000000000100484,0001,1060.987,EA,20230402,20220515
100,0000000011,000000000000100108,0007,795.462,EA,20230427,20230821
100,0000000012,000000000000100469,0009,332.094,EA,20240605,20230720
100,0000000013,000000000000100094,0001,394.409,EA,20221025,20221209
100,0000000014,000000000000100436,0005,1751.458,EA,20231214,20230820
100,0000000015,000000000000100449,0001,752.879,EA,20230219,20230925
100,0000000016,000000000000100290,0002,1080.604,EA,20230131,20230822
100,0000000017,000000000000100336,0009,1873.119,EA,20231031,20240929
100,0000000018,000000000000100210,0004,1468.313,EA,20231210,20221106
100,0000000019,000000000000100037,0009,1687.272,EA,20220610,20240514
100,0000000020,000000000000100272,0010,780.18,EA,20240922,20231011
100,0000000021,000000000000100414,0010,1011.023,EA,20230410,20240708
100,0000000022,000000000000100000,0003,1216.173,EA,20220828,20220109
100,0000000023,000000000000100076,0002,782.286,EA,20220824,20220711
100,0000000024,000000000000100467,0009,202.73,EA,20231030,20240119
100,0000000025,000000000000100305,0010,752.165,EA,20221105,20240313
100,0000000026,000000000000100264,0009,134.07,EA,20240704,20240507
100,0000000027,000000000000100081,0006,858.185,EA,20241202,20230902
100,0000000028,000000000000100374,0004,675.164,EA,20220728,20230306
100,0000000029,000000000000100071,0005,633.943,EA,20241125,20230716
100,0000000030,000000000000100013,0002,579.628,EA,20230607,20230226
100,0000000031,000000000000100111,0001,742.39,EA,20240213,20240824
100,0000000032,000000000000100170,0008,1688.298,EA,20230411,20241205
100,0000000033,000000000000100300,0003,1804.816,EA,20240523,20240815
100,0000000034,000000000000100050,0004,588.228,EA,20221018,20241106
100,0000000035,000000000000100340,0010,169.182,EA,20241003,20240509
100,0000000036,000000000000100084,0006,370.485,EA,20240810,20240508
