MANDT,PLNTY,PLNNR,PLNAL,WERKS,VERWE,LOESSION,MEINS
100,N,00000001,01,0001,001,15.02,EA
100,N,00000002,02,0002,001,75.082,EA
100,N,00000003,03,0003,001,59.187,EA
100,N,00000004,01,0004,001,77.86,EA
100,N,00000005,02,0005,001,27.862,EA
100,N,00000006,03,0006,001,28.112,EA
100,N,00000007,01,0007,001,22.897,EA
100,N,00000008,02,0008,001,77.836,EA
100,N,00000009,03,0009,001,54.064,EA
100,N,00000010,01,0010,001,30.547,EA
100,N,00000011,02,0001,001,43.926,EA
100,N,00000012,03,0002,001,65.715,EA
100,N,00000013,01,0003,001,89.14,EA
100,N,00000014,02,0004,001,60.376,EA
100,N,00000015,03,0005,001,30.675,EA
100,N,00000016,01,0006,001,98.927,EA
100,N,00000017,02,0007,001,8.736,EA
100,N,00000018,03,0008,001,50.696,EA
100,N,00000019,01,0009,001,79.468,EA
100,N,00000020,02,0010,001,19.622,EA
100,N,00000021,03,0001,001,72.05,EA
100,N,00000022,01,0002,001,80.127,EA
100,N,00000023,02,0003,001,36.716,EA
100,N,00000024,03,0004,001,70.17,EA
100,N,00000025,01,0005,001,10.648,EA
100,N,00000026,02,0006,001,12.351,EA
100,N,00000027,03,0007,001,41.502,EA
100,N,00000028,01,0008,001,75.864,EA
100,N,00000029,02,0009,001,75.567,EA
100,N,00000030,03,0010,001,56.966,EA
100,N,00000031,01,0001,001,64.277,EA
100,N,00000032,02,0002,001,42.356,EA
100,N,00000033,03,0003,001,89.32,EA
100,N,00000034,01,0004,001,60.875,EA
100,N,00000035,02,0005,001,64.224,EA
100,N,00000036,03,0006,001,58.101,EA
100,N,00000037,01,0007,001,83.447,EA
100,N,00000038,02,0008,001,7.113,EA
100,N,00000039,03,0009,001,31.86,EA
100,N,00000040,01,0010,001,9.253,EA
100,N,00000041,02,0001,001,57.287,EA
100,N,00000042,03,0002,001,85.776,EA
100,N,00000043,01,0003,001,64.257,EA
100,N,00000044,02,0004,001,79.103,EA
100,N,00000045,03,0005,001,33.483,EA
100,N,00000046,01,0006,001,48.496,EA
100,N,00000047,02,0007,001,28.884,EA
100,N,00000048,03,0008,001,20.921,EA
100,N,00000049,01,0009,001,72.692,EA
100,N,00000050,02,0010,001,81.662,EA
100,N,00000051,03,0001,001,82.613,EA
100,N,00000052,01,0002,001,49.164,EA
100,N,00000053,02,0003,001,55.013,EA
100,N,00000054,03,0004,001,51.713,EA
100,N,00000055,01,0005,001,81.249,EA
100,N,00000056,02,0006,001,1.3,EA
100,N,00000057,03,0007,001,29.82,EA
100,N,00000058,01,0008,001,93.299,EA
100,N,00000059,02,0009,001,98.172,EA
100,N,00000060,03,0010,001,77.856,EA
100,N,00000061,01,0001,001,54.72,EA
100,N,00000062,02,0002,001,64.448,EA
100,N,00000063,03,0003,001,30.437,EA
100,N,00000064,01,0004,001,51.507,EA
100,N,00000065,02,0005,001,84.256,EA
100,N,00000066,03,0006,001,36.59,EA
100,N,00000067,01,0007,001,89.123,EA
100,N,00000068,02,0008,001,7.168,EA
100,N,00000069,03,0009,001,75.582,EA
100,N,00000070,01,0010,001,33.666,EA
100,N,00000071,02,0001,001,38.818,EA
100,N,00000072,03,0002,001,77.879,EA
100,N,00000073,01,0003,001,36.382,EA
100,N,00000074,02,0004,001,51.353,EA
100,N,00000075,03,0005,001,40.175,EA
100,N,00000076,01,0006,001,79.67,EA
100,N,00000077,02,0007,001,15.134,EA
100,N,00000078,03,0008,001,64.687,EA
100,N,00000079,01,0009,001,72.082,EA
100,N,00000080,02,0010,001,39.443,EA
100,N,00000081,03,0001,001,11.77,EA
100,N,00000082,01,0002,001,29.119,EA
100,N,00000083,02,0003,001,7.769,EA
100,N,00000084,03,0004,001,38.073,EA
100,N,00000085,01,0005,001,78.764,EA
100,N,00000086,02,0006,001,1.746,EA
100,N,00000087,03,0007,001,27.617,EA
100,N,00000088,01,0008,001,18.167,EA
100,N,00000089,02,0009,001,91.508,EA
100,N,00000090,03,0010,001,26.862,EA
100,N,00000091,01,0001,001,7.635,EA
100,N,00000092,02,0002,001,4.09,EA
100,N,00000093,03,0003,001,70.761,EA
100,N,00000094,01,0004,001,9.588,EA
100,N,00000095,02,0005,001,72.085,EA
100,N,00000096,03,0006,001,37.125,EA
100,N,00000097,01,0007,001,89.61,EA
100,N,00000098,02,0008,001,5.246,EA
100,N,00000099,03,0009,001,78.104,EA
100,N,00000100,01,0010,001,77.739,EA
100,N,00000101,02,0001,001,4.572,EA
100,N,00000102,03,0002,001,32.513,EA
100,N,00000103,01,0003,001,34.812,EA
100,N,00000104,02,0004,001,3.434,EA
100,N,00000105,03,0005,001,20.449,EA
100,N,00000106,01,0006,001,81.457,EA
100,N,00000107,02,0007,001,86.873,EA
100,N,00000108,03,0008,001,34.643,EA
100,N,00000109,01,0009,001,8.325,EA
100,N,00000110,02,0010,001,45.009,EA
100,N,00000111,03,0001,001,12.349,EA
100,N,00000112,01,0002,001,47.403,EA
100,N,00000113,02,0003,001,55.445,EA
100,N,00000114,03,0004,001,9.602,EA
100,N,00000115,01,0005,001,7.412,EA
100,N,00000116,02,0006,001,58.482,EA
100,N,00000117,03,0007,001,12.887,EA
100,N,00000118,01,0008,001,5.606,EA
100,N,00000119,02,0009,001,49.011,EA
100,N,00000120,03,0010,001,87.352,EA
100,N,00000121,01,0001,001,95.986,EA
100,N,00000122,02,0002,001,19.243,EA
100,N,00000123,03,0003,001,6.91,EA
100,N,00000124,01,0004,001,64.987,EA
100,N,00000125,02,0005,001,78.933,EA
100,N,00000126,03,0006,001,66.297,EA
100,N,00000127,01,0007,001,95.729,EA
100,N,00000128,02,0008,001,26.85,EA
100,N,00000129,03,0009,001,7.847,EA
100,N,00000130,01,0010,001,32.571,EA
100,N,00000131,02,0001,001,66.133,EA
100,N,00000132,03,0002,001,43.033,EA
100,N,00000133,01,0003,001,46.682,EA
100,N,00000134,02,0004,001,62.16,EA
100,N,00000135,03,0005,001,20.7,EA
100,N,00000136,01,0006,001,28.691,EA
100,N,00000137,02,0007,001,8.395,EA
100,N,00000138,03,0008,001,51.944,EA
100,N,00000139,01,0009,001,51.168,EA
100,N,00000140,02,0010,001,23.734,EA
100,N,00000141,03,0001,001,92.498,EA
100,N,00000142,01,0002,001,90.131,EA
100,N,00000143,02,0003,001,22.911,EA
100,N,00000144,03,0004,001,29.844,EA
100,N,00000145,01,0005,001,92.972,EA
100,N,00000146,02,0006,001,89.321,EA
100,N,00000147,03,0007,001,79.21,EA
100,N,00000148,01,0008,001,62.831,EA
100,N,00000149,02,0009,001,41.917,EA
100,N,00000150,03,0010,001,48.61,EA
100,N,00000151,01,0001,001,92.196,EA
100,N,00000152,02,0002,001,73.71,EA
100,N,00000153,03,0003,001,37.941,EA
100,N,00000154,01,0004,001,26.421,EA
100,N,00000155,02,0005,001,70.666,EA
100,N,00000156,03,0006,001,28.867,EA
100,N,00000157,01,0007,001,91.521,EA
100,N,00000158,02,0008,001,74.765,EA
100,N,00000159,03,0009,001,15.132,EA
100,N,00000160,01,0010,001,46.527,EA
100,N,00000161,02,0001,001,56.617,EA
100,N,00000162,03,0002,001,64.404,EA
100,N,00000163,01,0003,001,8.842,EA
100,N,00000164,02,0004,001,50.711,EA
100,N,00000165,03,0005,001,56.651,EA
100,N,00000166,01,0006,001,83.401,EA
100,N,00000167,02,0007,001,12.41,EA
100,N,00000168,03,0008,001,26.363,EA
100,N,00000169,01,0009,001,26.658,EA
100,N,00000170,02,0010,001,5.319,EA
100,N,00000171,03,0001,001,95.304,EA
100,N,00000172,01,0002,001,59.399,EA
100,N,00000173,02,0003,001,20.213,EA
100,N,00000174,03,0004,001,12.852,EA
100,N,00000175,01,0005,001,57.013,EA
100,N,00000176,02,0006,001,50.006,EA
100,N,00000177,03,0007,001,43.457,EA
100,N,00000178,01,0008,001,41.958,EA
100,N,00000179,02,0009,001,83.873,EA
100,N,00000180,03,0010,001,46.068,EA
100,N,00000181,01,0001,001,7.295,EA
100,N,00000182,02,0002,001,92.876,EA
100,N,00000183,03,0003,001,62.448,EA
100,N,00000184,01,0004,001,17.388,EA
100,N,00000185,02,0005,001,75.578,EA
100,N,00000186,03,0006,001,34.971,EA
100,N,00000187,01,0007,001,78.15,EA
100,N,00000188,02,0008,001,23.809,EA
100,N,00000189,03,0009,001,31.878,EA
100,N,00000190,01,0010,001,26.144,EA
100,N,00000191,02,0001,001,80.225,EA
100,N,00000192,03,0002,001,75.408,EA
100,N,00000193,01,0003,001,40.77,EA
100,N,00000194,02,0004,001,52.804,EA
100,N,00000195,03,0005,001,28.073,EA
100,N,00000196,01,0006,001,57.868,EA
100,N,00000197,02,0007,001,23.221,EA
100,N,00000198,03,0008,001,90.08,EA
100,N,00000199,01,0009,001,17.958,EA
100,N,00000200,02,0010,001,34.68,EA
