MANDT,QMNUM,MATNR,WERKS,QMDAT,QMART,ERNAM
100,QM00000001,MAT000071,1200,20220422,Q1,USER033
100,QM00000002,MAT000035,1200,20220510,Q3,USER014
100,QM00000003,MAT000229,1200,20220604,Q1,USER046
100,QM00000004,MAT000436,1200,20230119,Q3,USER014
100,QM00000005,MAT000196,1000,20231128,Q2,USER028
100,QM00000006,MAT000173,1000,20230227,Q3,USER050
100,QM00000007,MAT000336,1100,20230109,Q2,USER015
100,QM00000008,MAT000351,1200,20220412,Q1,USER038
100,QM00000009,MAT000250,1000,20240307,Q2,USER026
100,QM00000010,MAT000202,1100,20231001,Q3,USER001
100,QM00000011,MAT000121,1100,20231207,Q3,USER032
100,QM00000012,MAT000121,1200,20221024,Q2,USER001
100,QM00000013,MAT000321,1100,20240930,Q3,USER039
100,QM00000014,MAT000044,1100,20230221,Q1,USER018
100,QM00000015,MAT000159,1100,20221228,Q1,USER002
100,QM00000016,MAT000111,1200,20240815,Q3,USER023
100,QM00000017,MAT000275,1000,20250917,Q1,USER005
100,QM00000018,MAT000150,1200,20250325,Q1,USER008
100,QM00000019,MAT000167,1200,20250317,Q3,USER012
100,QM00000020,MAT000376,1100,20240312,Q2,USER018
100,QM00000021,MAT000105,1100,20240825,Q1,USER001
100,QM00000022,MAT000346,1200,20251217,Q2,USER049
100,QM00000023,MAT000436,1200,20250602,Q3,USER018
100,QM00000024,MAT000354,1100,20230404,Q2,USER034
100,QM00000025,MAT000437,1200,20231007,Q2,USER016
100,QM00000026,MAT000424,1000,20230124,Q2,USER022
100,QM00000027,MAT000053,1100,20250802,Q1,USER033
100,QM00000028,MAT000375,1000,20231208,Q3,USER027
100,QM00000029,MAT000135,1000,20220609,Q2,USER027
100,QM00000030,MAT000472,1000,20220813,Q3,USER021
100,QM00000031,MAT000329,1200,20251019,Q2,USER018
100,QM00000032,MAT000330,1200,20240117,Q3,USER040
100,QM00000033,MAT000355,1200,20240619,Q2,USER034
100,QM00000034,MAT000460,1100,20221124,Q3,USER032
100,QM00000035,MAT000330,1200,20221008,Q3,USER002
100,QM00000036,MAT000034,1100,20251201,Q1,USER045
100,QM00000037,MAT000352,1200,20220923,Q1,USER032
100,QM00000038,MAT000269,1200,20230421,Q3,USER029
100,QM00000039,MAT000033,1200,20220728,Q3,USER039
100,QM00000040,MAT000201,1000,20230322,Q1,USER035
100,QM00000041,MAT000084,1100,20250106,Q1,USER032
100,QM00000042,MAT000153,1000,20250416,Q1,USER043
100,QM00000043,MAT000345,1000,20230125,Q3,USER044
100,QM00000044,MAT000257,1100,20250916,Q1,USER003
100,QM00000045,MAT000451,1200,20220605,Q2,USER020
100,QM00000046,MAT000489,1000,20230713,Q2,USER019
100,QM00000047,MAT000117,1200,20240519,Q3,USER001
100,QM00000048,MAT000467,1000,20220126,Q1,USER043
100,QM00000049,MAT000144,1100,20251210,Q3,USER024
100,QM00000050,MAT000117,1100,20241013,Q3,USER043
100,QM00000051,MAT000453,1100,20250811,Q2,USER018
100,QM00000052,MAT000400,1200,20240305,Q2,USER010
100,QM00000053,MAT000015,1000,20220522,Q1,USER037
100,QM00000054,MAT000395,1100,20250825,Q2,USER044
100,QM00000055,MAT000070,1000,20221227,Q3,USER010
100,QM00000056,MAT000046,1100,20250912,Q2,USER024
100,QM00000057,MAT000014,1000,20220929,Q3,USER029
100,QM00000058,MAT000227,1100,20230929,Q1,USER043
100,QM00000059,MAT000116,1000,20251030,Q1,USER046
100,QM00000060,MAT000274,1100,20220405,Q3,USER025
100,QM00000061,MAT000384,1200,20250210,Q2,USER006
100,QM00000062,MAT000430,1200,20251027,Q2,USER030
100,QM00000063,MAT000040,1200,20230930,Q3,USER017
100,QM00000064,MAT000206,1000,20220623,Q2,USER013
